val/loss,val/acc,epoch,step,train/acc,lr-SGD/pg1,lr-SGD/pg2,train/loss,test/loss,test/acc,test/bacc
2.3042733669281006,0.1120000034570694,0,5,,,,,,,
,,0,5,0.15218181908130646,,,,,,
2.2975151538848877,0.12800000607967377,1,11,,,,,,,
,,1,11,0.18090909719467163,,,,,,
2.271557092666626,0.1679999977350235,2,17,,,,,,,
,,2,17,0.2136363685131073,,,,,,
2.3287417888641357,0.19599999487400055,3,23,,,,,,,
,,3,23,0.25672727823257446,,,,,,
3.531554698944092,0.12800000607967377,4,29,,,,,,,
,,4,29,0.2858181893825531,,,,,,
4.415150165557861,0.14000000059604645,5,35,,,,,,,
,,5,35,0.3510909080505371,,,,,,
3.1016697883605957,0.18799999356269836,6,41,,,,,,,
,,6,41,0.3965454399585724,,,,,,
4.821493625640869,0.19200000166893005,7,47,,,,,,,
,,7,47,0.34890908002853394,,,,,,
,,,49,,0.08166666666666667,0.08166666666666667,,,,
,,8,49,,,,1.5576590299606323,,,
3.3994336128234863,0.20000000298023224,8,53,,,,,,,
,,8,53,0.4583636224269867,,,,,,
2.747192859649658,0.2720000147819519,9,59,,,,,,,
,,9,59,0.46454545855522156,,,,,,
2.835101842880249,0.23600000143051147,10,65,,,,,,,
,,10,65,0.4750909209251404,,,,,,
4.458970546722412,0.23999999463558197,11,71,,,,,,,
,,11,71,0.47145453095436096,,,,,,
2.95245361328125,0.2879999876022339,12,77,,,,,,,
,,12,77,0.5361818075180054,,,,,,
2.770850896835327,0.2720000147819519,13,83,,,,,,,
,,13,83,0.5703636407852173,,,,,,
2.7662353515625,0.2840000092983246,14,89,,,,,,,
,,14,89,0.5867272615432739,,,,,,
2.88012957572937,0.23999999463558197,15,95,,,,,,,
,,15,95,0.6270909309387207,,,,,,
,,,99,,0.09362480035363986,0.09362480035363986,,,,
,,16,99,,,,1.274061918258667,,,
2.640324592590332,0.2199999988079071,16,101,,,,,,,
,,16,101,0.6210908889770508,,,,,,
3.064537763595581,0.2160000056028366,17,107,,,,,,,
,,17,107,0.6601818203926086,,,,,,
3.436310052871704,0.2639999985694885,18,113,,,,,,,
,,18,113,0.6978181600570679,,,,,,
