val/loss,val/acc,epoch,step,train/acc,lr-SGD/pg1,lr-SGD/pg2,train/loss,test/loss,test/acc,test/bacc
2.29571533203125,0.15199999511241913,0,5,,,,,,,
,,0,5,0.10763636231422424,,,,,,
2.2662720680236816,0.18000000715255737,1,11,,,,,,,
,,1,11,0.14181818068027496,,,,,,
2.2338314056396484,0.18400000035762787,2,17,,,,,,,
,,2,17,0.1836363673210144,,,,,,
2.4449925422668457,0.21199999749660492,3,23,,,,,,,
,,3,23,0.22490909695625305,,,,,,
2.7166051864624023,0.20399999618530273,4,29,,,,,,,
,,4,29,0.24400000274181366,,,,,,
2.7569472789764404,0.23999999463558197,5,35,,,,,,,
,,5,35,0.26763635873794556,,,,,,
2.5651533603668213,0.24799999594688416,6,41,,,,,,,
,,6,41,0.3130909204483032,,,,,,
2.8424267768859863,0.25999999046325684,7,47,,,,,,,
,,7,47,0.3429090976715088,,,,,,
,,,49,,0.08166666666666667,0.08166666666666667,,,,
,,8,49,,,,2.0005645751953125,,,
2.1870462894439697,0.30799999833106995,8,53,,,,,,,
,,8,53,0.34909090399742126,,,,,,
2.8698041439056396,0.1720000058412552,9,59,,,,,,,
,,9,59,0.373090922832489,,,,,,
1.9153019189834595,0.31200000643730164,10,65,,,,,,,
,,10,65,0.4123636484146118,,,,,,
2.63680362701416,0.2720000147819519,11,71,,,,,,,
,,11,71,0.3763636350631714,,,,,,
2.2396645545959473,0.2840000092983246,12,77,,,,,,,
,,12,77,0.4320000112056732,,,,,,
1.8477399349212646,0.3799999952316284,13,83,,,,,,,
,,13,83,0.42472726106643677,,,,,,
1.9945918321609497,0.2919999957084656,14,89,,,,,,,
,,14,89,0.4498181939125061,,,,,,
1.9901984930038452,0.31200000643730164,15,95,,,,,,,
,,15,95,0.4758181869983673,,,,,,
,,,99,,0.09971150308006689,0.09971150308006689,,,,
,,16,99,,,,1.3882954120635986,,,
2.3587450981140137,0.2720000147819519,16,101,,,,,,,
,,16,101,0.4883636236190796,,,,,,
2.243842840194702,0.3240000009536743,17,107,,,,,,,
,,17,107,0.49799999594688416,,,,,,
2.2208428382873535,0.3479999899864197,18,113,,,,,,,
,,18,113,0.5216363668441772,,,,,,
1.9194754362106323,0.37599998712539673,19,119,,,,,,,
,,19,119,0.5136363506317139,,,,,,
2.520040512084961,0.2680000066757202,20,125,,,,,,,
,,20,125,0.5638181567192078,,,,,,
2.1274850368499756,0.335999995470047,21,131,,,,,,,
,,21,131,0.5507272481918335,,,,,,
1.9806886911392212,0.3720000088214874,22,137,,,,,,,
,,22,137,0.5672727227210999,,,,,,
2.3863937854766846,0.3160000145435333,23,143,,,,,,,
,,23,143,0.5912727117538452,,,,,,
,,,149,,0.09850365444235881,0.09850365444235881,,,,
,,24,149,,,,1.2517080307006836,,,
2.475245714187622,0.2800000011920929,24,149,,,,,,,
,,24,149,0.5981818437576294,,,,,,
2.3398637771606445,0.30799999833106995,25,155,,,,,,,
,,25,155,0.610909104347229,,,,,,
2.1306910514831543,0.3479999899864197,26,161,,,,,,,
,,26,161,0.6140000224113464,,,,,,
2.818030834197998,0.25200000405311584,27,167,,,,,,,
,,27,167,0.6378181576728821,,,,,,
2.6952240467071533,0.2680000066757202,28,173,,,,,,,
,,28,173,0.6190909147262573,,,,,,
2.18166184425354,0.3919999897480011,29,179,,,,,,,
,,29,179,0.6409090757369995,,,,,,
1.9570313692092896,0.4320000112056732,30,185,,,,,,,
,,30,185,0.6480000019073486,,,,,,
2.5678365230560303,0.31200000643730164,31,191,,,,,,,
,,31,191,0.6898182034492493,,,,,,
2.8868472576141357,0.31200000643730164,32,197,,,,,,,
,,32,197,0.6876363754272461,,,,,,
,,,199,,0.09637637874149779,0.09637637874149779,,,,
,,33,199,,,,1.1252461671829224,,,
3.279045820236206,0.2759999930858612,33,203,,,,,,,
,,33,203,0.667090892791748,,,,,,
3.0947699546813965,0.3240000009536743,34,209,,,,,,,
,,34,209,0.712181806564331,,,,,,
2.1158900260925293,0.42800000309944153,35,215,,,,,,,
,,35,215,0.6552727222442627,,,,,,
2.151883840560913,0.3959999978542328,36,221,,,,,,,
,,36,221,0.7158181667327881,,,,,,
2.807265043258667,0.3199999928474426,37,227,,,,,,,
,,37,227,0.7436363697052002,,,,,,
2.1663906574249268,0.3799999952316284,38,233,,,,,,,
,,38,233,0.7056363821029663,,,,,,
2.625540018081665,0.36000001430511475,39,239,,,,,,,
,,39,239,0.7501817941665649,,,,,,
2.2537004947662354,0.40799999237060547,40,245,,,,,,,
,,40,245,0.7239999771118164,,,,,,
,,,249,,0.09337000025557476,0.09337000025557476,,,,
,,41,249,,,,0.7777283787727356,,,
2.8788843154907227,0.29600000381469727,41,251,,,,,,,
,,41,251,0.7505454421043396,,,,,,
4.3348259925842285,0.2840000092983246,42,257,,,,,,,
,,42,257,0.76218181848526,,,,,,
3.7313809394836426,0.2800000011920929,43,263,,,,,,,
,,43,263,0.7279999852180481,,,,,,
3.15690016746521,0.328000009059906,44,269,,,,,,,
,,44,269,0.7861818075180054,,,,,,
2.075732469558716,0.3959999978542328,45,275,,,,,,,
,,45,275,0.7776363492012024,,,,,,
2.282289505004883,0.40400001406669617,46,281,,,,,,,
,,46,281,0.8176363706588745,,,,,,
2.235398530960083,0.40799999237060547,47,287,,,,,,,
,,47,287,0.7809090614318848,,,,,,
4.410818576812744,0.23199999332427979,48,293,,,,,,,
,,48,293,0.8214545249938965,,,,,,
,,,299,,0.08954150738626414,0.08954150738626414,,,,
,,49,299,,,,0.6006736159324646,,,
2.4237163066864014,0.4359999895095825,49,299,,,,,,,
,,49,299,0.8078181743621826,,,,,,
3.1931076049804688,0.335999995470047,50,305,,,,,,,
,,50,305,0.8174545168876648,,,,,,
3.0692338943481445,0.3319999873638153,51,311,,,,,,,
,,51,311,0.7765454649925232,,,,,,
3.4597840309143066,0.3400000035762787,52,317,,,,,,,
,,52,317,0.7947272658348083,,,,,,
2.427654266357422,0.41200000047683716,53,323,,,,,,,
,,53,323,0.8109090924263,,,,,,
2.1718311309814453,0.4519999921321869,54,329,,,,,,,
,,54,329,0.8345454335212708,,,,,,
3.1010968685150146,0.41200000047683716,55,335,,,,,,,
,,55,335,0.8478181958198547,,,,,,
3.077781915664673,0.35600000619888306,56,341,,,,,,,
,,56,341,0.8496363759040833,,,,,,
3.1586642265319824,0.3400000035762787,57,347,,,,,,,
,,57,347,0.8607272505760193,,,,,,
,,,349,,0.0849634723963284,0.0849634723963284,,,,
,,58,349,,,,1.029610514640808,,,
3.4279284477233887,0.30000001192092896,58,353,,,,,,,
,,58,353,0.7267272472381592,,,,,,
2.379964590072632,0.3919999897480011,59,359,,,,,,,
,,59,359,0.7852727174758911,,,,,,
2.3803608417510986,0.4359999895095825,60,365,,,,,,,
,,60,365,0.7892727255821228,,,,,,
2.402219772338867,0.4399999976158142,61,371,,,,,,,
,,61,371,0.8427272439002991,,,,,,
2.6278998851776123,0.40799999237060547,62,377,,,,,,,
,,62,377,0.8536363840103149,,,,,,
2.562653064727783,0.4440000057220459,63,383,,,,,,,
,,63,383,0.8674545288085938,,,,,,
2.4916470050811768,0.46799999475479126,64,389,,,,,,,
,,64,389,0.8587272763252258,,,,,,
2.438349723815918,0.4000000059604645,65,395,,,,,,,
,,65,395,0.8698182106018066,,,,,,
,,,399,,0.07972267574208991,0.07972267574208991,,,,
,,66,399,,,,0.36787402629852295,,,
2.412062883377075,0.4480000138282776,66,401,,,,,,,
,,66,401,0.8579999804496765,,,,,,
2.2975735664367676,0.4399999976158142,67,407,,,,,,,
,,67,407,0.8712727427482605,,,,,,
1.8004664182662964,0.5239999890327454,68,413,,,,,,,
,,68,413,0.8799999952316284,,,,,,
2.0704667568206787,0.46799999475479126,69,419,,,,,,,
,,69,419,0.8792726993560791,,,,,,
2.308351993560791,0.46799999475479126,70,425,,,,,,,
,,70,425,0.8892727494239807,,,,,,
3.16742205619812,0.3400000035762787,71,431,,,,,,,
,,71,431,0.8947272896766663,,,,,,
2.6646103858947754,0.4000000059604645,72,437,,,,,,,
,,72,437,0.8759999871253967,,,,,,
1.802242636680603,0.515999972820282,73,443,,,,,,,
,,73,443,0.8930909037590027,,,,,,
,,,449,,0.07391846107779047,0.07391846107779047,,,,
,,74,449,,,,0.30702129006385803,,,
