val/loss,val/acc,epoch,step,train/acc,lr-SGD/pg1,lr-SGD/pg2,train/loss,test/loss,test/acc,test/bacc
2.31296443939209,0.1096000000834465,0,5,,,,,,,
,,0,5,0.0981818214058876,,,,,,
2.288628101348877,0.10559999942779541,1,11,,,,,,,
,,1,11,0.12254545092582703,,,,,,
2.2581393718719482,0.15559999644756317,2,17,,,,,,,
,,2,17,0.13345454633235931,,,,,,
2.3381712436676025,0.15240000188350677,3,23,,,,,,,
,,3,23,0.13781818747520447,,,,,,
2.50357723236084,0.17319999635219574,4,29,,,,,,,
,,4,29,0.15981818735599518,,,,,,
3.6559929847717285,0.13760000467300415,5,35,,,,,,,
,,5,35,0.15981818735599518,,,,,,
2.821928024291992,0.20160000026226044,6,41,,,,,,,
,,6,41,0.16672727465629578,,,,,,
2.178206443786621,0.20720000565052032,7,47,,,,,,,
,,7,47,0.17581817507743835,,,,,,
,,,49,,0.08166666666666667,0.08166666666666667,,,,
,,8,49,,,,2.129237651824951,,,
1.9286154508590698,0.24040000140666962,8,53,,,,,,,
,,8,53,0.18909090757369995,,,,,,
1.861985683441162,0.2648000121116638,9,59,,,,,,,
,,9,59,0.19381818175315857,,,,,,
1.828067421913147,0.30399999022483826,10,65,,,,,,,
,,10,65,0.1887272745370865,,,,,,
2.0834996700286865,0.23240000009536743,11,71,,,,,,,
,,11,71,0.2032727301120758,,,,,,
1.805418610572815,0.3131999969482422,12,77,,,,,,,
,,12,77,0.21199999749660492,,,,,,
1.8301050662994385,0.31520000100135803,13,83,,,,,,,
,,13,83,0.21618181467056274,,,,,,
1.8067033290863037,0.2955999970436096,14,89,,,,,,,
,,14,89,0.21509091556072235,,,,,,
1.7627812623977661,0.3012000024318695,15,95,,,,,,,
,,15,95,0.22490909695625305,,,,,,
,,,99,,0.09971150308006689,0.09971150308006689,,,,
,,16,99,,,,2.050670862197876,,,
1.997952938079834,0.2639999985694885,16,101,,,,,,,
,,16,101,0.22727273404598236,,,,,,
1.8730833530426025,0.3027999997138977,17,107,,,,,,,
,,17,107,0.2250909060239792,,,,,,
2.0660502910614014,0.2624000012874603,18,113,,,,,,,
,,18,113,0.2269090861082077,,,,,,
1.8315242528915405,0.30320000648498535,19,119,,,,,,,
,,19,119,0.2390909045934677,,,,,,
1.970709204673767,0.2680000066757202,20,125,,,,,,,
,,20,125,0.23818181455135345,,,,,,
1.7940601110458374,0.30480000376701355,21,131,,,,,,,
,,21,131,0.23927272856235504,,,,,,
2.148679256439209,0.2176000028848648,22,137,,,,,,,
,,22,137,0.23854544758796692,,,,,,
1.9468375444412231,0.24959999322891235,23,143,,,,,,,
,,23,143,0.24618181586265564,,,,,,
,,,149,,0.09850365444235881,0.09850365444235881,,,,
,,24,149,,,,1.9552024602890015,,,
1.700801968574524,0.3783999979496002,24,149,,,,,,,
,,24,149,0.24690909683704376,,,,,,
1.9361375570297241,0.27639999985694885,25,155,,,,,,,
,,25,155,0.2512727379798889,,,,,,
1.7280640602111816,0.3643999993801117,26,161,,,,,,,
,,26,161,0.25436362624168396,,,,,,
1.723516583442688,0.36000001430511475,27,167,,,,,,,
,,27,167,0.2550909221172333,,,,,,
1.8339167833328247,0.30399999022483826,28,173,,,,,,,
,,28,173,0.25999999046325684,,,,,,
1.7485746145248413,0.3792000114917755,29,179,,,,,,,
,,29,179,0.2758181691169739,,,,,,
1.6417481899261475,0.38280001282691956,30,185,,,,,,,
,,30,185,0.26472726464271545,,,,,,
1.7030582427978516,0.36719998717308044,31,191,,,,,,,
,,31,191,0.27745455503463745,,,,,,
1.7196580171585083,0.34360000491142273,32,197,,,,,,,
,,32,197,0.28490909934043884,,,,,,
,,,199,,0.09637637874149779,0.09637637874149779,,,,
,,33,199,,,,1.9462299346923828,,,
1.9839086532592773,0.27239999175071716,33,203,,,,,,,
,,33,203,0.27618181705474854,,,,,,
1.7936855554580688,0.319599986076355,34,209,,,,,,,
,,34,209,0.27109089493751526,,,,,,
1.76290762424469,0.3467999994754791,35,215,,,,,,,
,,35,215,0.27690908312797546,,,,,,
