val/loss,val/acc,epoch,step,train/acc,lr-SGD/pg1,lr-SGD/pg2,train/loss,test/loss,test/acc,test/bacc
2.305795431137085,0.1088000014424324,0,5,,,,,,,
,,0,5,0.10981818288564682,,,,,,
2.2683017253875732,0.1316000074148178,1,11,,,,,,,
,,1,11,0.13309091329574585,,,,,,
2.1506130695343018,0.19840000569820404,2,17,,,,,,,
,,2,17,0.16836363077163696,,,,,,
2.5473694801330566,0.21400000154972076,3,23,,,,,,,
,,3,23,0.25,,,,,,
3.4821557998657227,0.19200000166893005,4,29,,,,,,,
,,4,29,0.27454546093940735,,,,,,
6.0840678215026855,0.18320000171661377,5,35,,,,,,,
,,5,35,0.27963635325431824,,,,,,
3.9714977741241455,0.21879999339580536,6,41,,,,,,,
,,6,41,0.3370909094810486,,,,,,
2.325148344039917,0.295199990272522,7,47,,,,,,,
,,7,47,0.37145453691482544,,,,,,
,,,49,,0.08166666666666667,0.08166666666666667,,,,
,,8,49,,,,1.593644142150879,,,
3.146495819091797,0.2587999999523163,8,53,,,,,,,
,,8,53,0.45527273416519165,,,,,,
3.042603015899658,0.2540000081062317,9,59,,,,,,,
,,9,59,0.46272727847099304,,,,,,
1.9202908277511597,0.3336000144481659,10,65,,,,,,,
,,10,65,0.47018182277679443,,,,,,
2.3884024620056152,0.33399999141693115,11,71,,,,,,,
,,11,71,0.48636364936828613,,,,,,
2.5788867473602295,0.29840001463890076,12,77,,,,,,,
,,12,77,0.5392727255821228,,,,,,
1.9137201309204102,0.38359999656677246,13,83,,,,,,,
,,13,83,0.5427272915840149,,,,,,
2.9188172817230225,0.2515999972820282,14,89,,,,,,,
,,14,89,0.5809090733528137,,,,,,
1.8994615077972412,0.37599998712539673,15,95,,,,,,,
,,15,95,0.5532727241516113,,,,,,
,,,99,,0.09971150308006689,0.09971150308006689,,,,
,,16,99,,,,1.2103297710418701,,,
2.155714273452759,0.36399999260902405,16,101,,,,,,,
,,16,101,0.5981818437576294,,,,,,
1.978074073791504,0.35600000619888306,17,107,,,,,,,
,,17,107,0.6201817989349365,,,,,,
