val/loss,val/acc,epoch,step,train/acc,lr-SGD/pg1,lr-SGD/pg2,train/loss,test/loss,test/acc,test/bacc
2.249199390411377,0.14000000059604645,0,5,,,,,,,
,,0,5,0.11618182063102722,,,,,,
2.252305746078491,0.19200000166893005,1,11,,,,,,,
,,1,11,0.09436363726854324,,,,,,
2.3081881999969482,0.20399999618530273,2,17,,,,,,,
,,2,17,0.1345454603433609,,,,,,
2.8136377334594727,0.1599999964237213,3,23,,,,,,,
,,3,23,0.14327272772789001,,,,,,
2.6701478958129883,0.19599999487400055,4,29,,,,,,,
,,4,29,0.16581818461418152,,,,,,
4.033777236938477,0.20399999618530273,5,35,,,,,,,
,,5,35,0.20363636314868927,,,,,,
3.5273473262786865,0.2240000069141388,6,41,,,,,,,
,,6,41,0.22018182277679443,,,,,,
3.044994592666626,0.23600000143051147,7,47,,,,,,,
,,7,47,0.27000001072883606,,,,,,
,,,49,,0.08166666666666667,0.08166666666666667,,,,
,,8,49,,,,1.9479434490203857,,,
3.536731004714966,0.20800000429153442,8,53,,,,,,,
,,8,53,0.2718181908130646,,,,,,
2.685270071029663,0.19200000166893005,9,59,,,,,,,
,,9,59,0.2934545576572418,,,,,,
,,10,60,,,,,3.1239943504333496,0.2526000142097473,0.2526000142097473
