lr-Adam/pg1,lr-Adam/pg2,step,val/loss,val/acc,epoch,train/acc,train/loss,test/loss,test/acc,test/bacc
0.0001442986898059786,0.0001442986898059786,0,,,,,,,,
,,6,1.5593619346618652,0.7377049326896667,0,,,,,
,,6,,,0,0.47999998927116394,,,,
0.0001442986898059786,0.0001442986898059786,7,,,,,,,,
,,13,1.457045316696167,0.44262295961380005,1,,,,,
,,13,,,1,0.7599999904632568,,,,
0.0001442986898059786,0.0001442986898059786,14,,,,,,,,
,,20,1.2911354303359985,0.5901639461517334,2,,,,,
,,20,,,2,0.8799999952316284,,,,
0.0001442986898059786,0.0001442986898059786,21,,,,,,,,
,,27,0.960126519203186,0.7868852615356445,3,,,,,
,,27,,,3,0.8399999737739563,,,,
1.442986898059786e-05,1.442986898059786e-05,28,,,,,,,,
,,34,0.7699226140975952,0.8032786846160889,4,,,,,
,,34,,,4,0.8399999737739563,,,,
1.442986898059786e-05,1.442986898059786e-05,35,,,,,,,,
,,41,0.6921902894973755,0.8032786846160889,5,,,,,
,,41,,,5,0.8999999761581421,,,,
1.442986898059786e-05,1.442986898059786e-05,42,,,,,,,,
,,48,0.6361087560653687,0.8032786846160889,6,,,,,
,,48,,,6,0.8999999761581421,,,,
1.442986898059786e-05,1.442986898059786e-05,49,,,,,,,,
,,49,,,7,,1.0745590925216675,,,
,,55,0.6158576011657715,0.8032786846160889,7,,,,,
,,55,,,7,0.8799999952316284,,,,
1.4429868980597862e-06,1.4429868980597862e-06,56,,,,,,,,
,,62,0.5906977653503418,0.8032786846160889,8,,,,,
,,62,,,8,0.8600000143051147,,,,
1.4429868980597862e-06,1.4429868980597862e-06,63,,,,,,,,
,,69,0.5912473201751709,0.8032786846160889,9,,,,,
,,69,,,9,0.8399999737739563,,,,
1.4429868980597862e-06,1.4429868980597862e-06,70,,,,,,,,
,,76,0.5956294536590576,0.8032786846160889,10,,,,,
,,76,,,10,0.8600000143051147,,,,
1.4429868980597862e-06,1.4429868980597862e-06,77,,,,,,,,
,,83,0.5994328260421753,0.8032786846160889,11,,,,,
,,83,,,11,0.8999999761581421,,,,
1.4429868980597863e-07,1.4429868980597863e-07,84,,,,,,,,
,,90,0.5880711078643799,0.8032786846160889,12,,,,,
,,90,,,12,0.8799999952316284,,,,
1.4429868980597863e-07,1.4429868980597863e-07,91,,,,,,,,
,,97,0.5949094295501709,0.8032786846160889,13,,,,,
,,97,,,13,0.8799999952316284,,,,
1.4429868980597863e-07,1.4429868980597863e-07,98,,,,,,,,
,,99,,,14,,0.24544674158096313,,,
,,104,0.5929768085479736,0.8032786846160889,14,,,,,
,,104,,,14,0.8999999761581421,,,,
1.4429868980597863e-07,1.4429868980597863e-07,105,,,,,,,,
,,111,0.5847461819648743,0.8032786846160889,15,,,,,
,,111,,,15,0.8399999737739563,,,,
1.4429868980597864e-08,1.4429868980597864e-08,112,,,,,,,,
,,118,0.5945112705230713,0.8032786846160889,16,,,,,
,,118,,,16,0.8399999737739563,,,,
,,119,,,17,,,0.5757851600646973,0.9120000004768372,0.39099979400634766
