lr-Adam/pg1,lr-Adam/pg2,step,val/loss,val/auroc,val/av_prec,val/acc,val/w_acc,val/av_f1,epoch,train/auroc,train/av_prec,train/acc,train/w_acc,train/av_f1,train/loss,test/loss,test/auroc,test/av_prec,test/acc,test/w_acc,test/av_f1,test/bacc
0.0001442986898059786,0.0001442986898059786,0,,,,,,,,,,,,,,,,,,,,
,,12,1.5654054880142212,0.6678594946861267,nan,0.5799999833106995,0.29704397916793823,0.20629628002643585,0,,,,,,,,,,,,,
,,12,,,,,,,0,0.5217048525810242,0.2554505467414856,0.3700000047683716,0.2206432819366455,0.21828830242156982,,,,,,,,
0.0001442986898059786,0.0001442986898059786,13,,,,,,,,,,,,,,,,,,,,
,,25,1.486739993095398,0.7299537658691406,nan,0.5120000243186951,0.4479596018791199,0.2409735471010208,1,,,,,,,,,,,,,
,,25,,,,,,,1,0.658519446849823,0.3748398721218109,0.5199999809265137,0.3419632613658905,0.32618674635887146,,,,,,,,
0.0001442986898059786,0.0001442986898059786,26,,,,,,,,,,,,,,,,,,,,
,,38,1.0652461051940918,0.7996081709861755,0.4930240511894226,0.9039999842643738,0.5271729230880737,0.48097705841064453,2,,,,,,,,,,,,,
,,38,,,,,,,2,0.8490080237388611,0.4907960891723633,0.5400000214576721,0.46075186133384705,0.37055063247680664,,,,,,,,
0.0001442986898059786,0.0001442986898059786,39,,,,,,,,,,,,,,,,,,,,
,,49,,,,,,,3,,,,,,1.3128910064697266,,,,,,,
,,51,0.6437569260597229,0.8564996719360352,nan,0.9100000262260437,0.3872958719730377,0.3751607835292816,3,,,,,,,,,,,,,
,,51,,,,,,,3,0.8270621299743652,0.5879086256027222,0.6800000071525574,0.5645697712898254,0.5285024642944336,,,,,,,,
1.442986898059786e-05,1.442986898059786e-05,52,,,,,,,,,,,,,,,,,,,,
,,64,0.5344699621200562,0.8713042140007019,0.546992301940918,0.9179999828338623,0.41919201612472534,0.4227635860443115,4,,,,,,,,,,,,,
,,64,,,,,,,4,0.8953371047973633,0.6662272214889526,0.7699999809265137,0.5647451877593994,0.5864197015762329,,,,,,,,
1.442986898059786e-05,1.442986898059786e-05,65,,,,,,,,,,,,,,,,,,,,
,,77,0.5001837015151978,0.872276246547699,0.5529336333274841,0.9240000247955322,0.4216918349266052,0.4266735017299652,5,,,,,,,,,,,,,
,,77,,,,,,,5,0.9078965187072754,0.7497040629386902,0.8199999928474426,0.6558312177658081,0.674199104309082,,,,,,,,
1.442986898059786e-05,1.442986898059786e-05,78,,,,,,,,,,,,,,,,,,,,
,,90,0.48559167981147766,0.8703598380088806,nan,0.9259999990463257,0.43185049295425415,0.4308399260044098,6,,,,,,,,,,,,,
,,90,,,,,,,6,0.8401193618774414,0.5611598491668701,0.75,0.5411779880523682,0.5438922643661499,,,,,,,,
1.442986898059786e-05,1.442986898059786e-05,91,,,,,,,,,,,,,,,,,,,,
,,99,,,,,,,7,,,,,,1.2426220178604126,,,,,,,
,,103,0.4930645823478699,0.8658132553100586,nan,0.9259999990463257,0.45072054862976074,0.4474145770072937,7,,,,,,,,,,,,,
,,103,,,,,,,7,0.8849554061889648,0.633085310459137,0.8100000023841858,0.6680535078048706,0.6348168849945068,,,,,,,,
1.4429868980597862e-06,1.4429868980597862e-06,104,,,,,,,,,,,,,,,,,,,,
,,116,0.4925870895385742,0.8650144934654236,nan,0.9259999990463257,0.4511655271053314,0.4510827958583832,8,,,,,,,,,,,,,
,,116,,,,,,,8,0.9074591994285583,0.585045337677002,0.75,0.5494569540023804,0.5429950952529907,,,,,,,,
1.4429868980597862e-06,1.4429868980597862e-06,117,,,,,,,,,,,,,,,,,,,,
,,129,0.4851963520050049,0.8652450442314148,nan,0.9279999732971191,0.4518504738807678,0.45191851258277893,9,,,,,,,,,,,,,
,,129,,,,,,,9,0.9268389940261841,0.6608962416648865,0.7799999713897705,0.6258312463760376,0.5864818692207336,,,,,,,,
1.4429868980597862e-06,1.4429868980597862e-06,130,,,,,,,,,,,,,,,,,,,,
,,142,0.49037566781044006,0.8651224374771118,nan,0.9259999990463257,0.45072054862976074,0.4474145770072937,10,,,,,,,,,,,,,
,,142,,,,,,,10,0.8924589157104492,0.6236884593963623,0.7699999809265137,0.5966833829879761,0.585198700428009,,,,,,,,
1.4429868980597862e-06,1.4429868980597862e-06,143,,,,,,,,,,,,,,,,,,,,
,,149,,,,,,,11,,,,,,0.5113955140113831,,,,,,,
,,155,0.47487303614616394,0.8662253618240356,nan,0.9240000247955322,0.4495905935764313,0.4433203637599945,11,,,,,,,,,,,,,
,,155,,,,,,,11,0.8944464921951294,0.6436153054237366,0.7900000214576721,0.6416791677474976,0.6172768473625183,,,,,,,,
1.4429868980597863e-07,1.4429868980597863e-07,156,,,,,,,,,,,,,,,,,,,,
,,168,0.4805580973625183,0.864871621131897,nan,0.9259999990463257,0.45072054862976074,0.4475700259208679,12,,,,,,,,,,,,,
,,168,,,,,,,12,0.9142026901245117,0.6687524318695068,0.7799999713897705,0.711679220199585,0.679112434387207,,,,,,,,
1.4429868980597863e-07,1.4429868980597863e-07,169,,,,,,,,,,,,,,,,,,,,
,,181,0.4819990396499634,0.8657659888267517,nan,0.9259999990463257,0.45072054862976074,0.4474145770072937,13,,,,,,,,,,,,,
,,181,,,,,,,13,0.9051448702812195,0.6200178861618042,0.7699999809265137,0.6319715976715088,0.598767101764679,,,,,,,,
1.4429868980597863e-07,1.4429868980597863e-07,182,,,,,,,,,,,,,,,,,,,,
,,194,0.48552650213241577,0.8652529120445251,nan,0.9259999990463257,0.4511655271053314,0.4510827958583832,14,,,,,,,,,,,,,
,,194,,,,,,,14,0.9453724026679993,0.7259117364883423,0.8100000023841858,0.7676858901977539,0.7215327024459839,,,,,,,,
1.4429868980597863e-07,1.4429868980597863e-07,195,,,,,,,,,,,,,,,,,,,,
,,199,,,,,,,15,,,,,,1.1509228944778442,,,,,,,
,,207,0.47727271914482117,0.8658190965652466,nan,0.9259999990463257,0.45072054862976074,0.4475700259208679,15,,,,,,,,,,,,,
,,207,,,,,,,15,0.890026867389679,0.6277391910552979,0.7799999713897705,0.6324728727340698,0.5969337224960327,,,,,,,,
1.4429868980597864e-08,1.4429868980597864e-08,208,,,,,,,,,,,,,,,,,,,,
,,220,0.4739522635936737,0.8658798336982727,nan,0.9279999732971191,0.4518504738807678,0.45191851258277893,16,,,,,,,,,,,,,
,,220,,,,,,,16,0.9094266891479492,0.7181863784790039,0.800000011920929,0.5060902833938599,0.5433343648910522,,,,,,,,
,,221,,,,,,,17,,,,,,,1.0860743522644043,0.7848564386367798,0.4603695869445801,0.8730000257492065,0.4737852215766907,0.4402093291282654,0.4737851619720459
