lr-Adam/pg1,lr-Adam/pg2,step,val/loss,val/acc,epoch,train/acc,train/loss,test/loss,test/acc,test/bacc
0.0001442986898059786,0.0001442986898059786,0,,,,,,,,
,,2,1.5395556688308716,0.4464285671710968,0,,,,,
,,2,,,0,0.30000001192092896,,,,
0.0001442986898059786,0.0001442986898059786,3,,,,,,,,
,,5,1.5327731370925903,0.4464285671710968,1,,,,,
,,5,,,1,0.6000000238418579,,,,
0.0001442986898059786,0.0001442986898059786,6,,,,,,,,
,,8,1.5173484086990356,0.4464285671710968,2,,,,,
,,8,,,2,0.8500000238418579,,,,
0.0001442986898059786,0.0001442986898059786,9,,,,,,,,
,,11,1.4834119081497192,0.4464285671710968,3,,,,,
,,11,,,3,0.800000011920929,,,,
1.442986898059786e-05,1.442986898059786e-05,12,,,,,,,,
,,14,1.4365999698638916,0.6964285969734192,4,,,,,
,,14,,,4,0.800000011920929,,,,
1.442986898059786e-05,1.442986898059786e-05,15,,,,,,,,
,,17,1.3772536516189575,0.7678571343421936,5,,,,,
,,17,,,5,0.8999999761581421,,,,
1.442986898059786e-05,1.442986898059786e-05,18,,,,,,,,
,,20,1.3049986362457275,0.7857142686843872,6,,,,,
,,20,,,6,0.8999999761581421,,,,
1.442986898059786e-05,1.442986898059786e-05,21,,,,,,,,
,,23,1.2229846715927124,0.7857142686843872,7,,,,,
,,23,,,7,0.8500000238418579,,,,
1.4429868980597862e-06,1.4429868980597862e-06,24,,,,,,,,
,,26,1.1405394077301025,0.7857142686843872,8,,,,,
,,26,,,8,0.6499999761581421,,,,
1.4429868980597862e-06,1.4429868980597862e-06,27,,,,,,,,
,,29,1.062261939048767,0.8035714030265808,9,,,,,
,,29,,,9,0.8500000238418579,,,,
1.4429868980597862e-06,1.4429868980597862e-06,30,,,,,,,,
,,32,0.9848686456680298,0.8035714030265808,10,,,,,
,,32,,,10,0.8500000238418579,,,,
1.4429868980597862e-06,1.4429868980597862e-06,33,,,,,,,,
,,35,0.9221145510673523,0.8035714030265808,11,,,,,
,,35,,,11,0.8999999761581421,,,,
1.4429868980597863e-07,1.4429868980597863e-07,36,,,,,,,,
,,38,0.8730686902999878,0.8214285969734192,12,,,,,
,,38,,,12,1.0,,,,
1.4429868980597863e-07,1.4429868980597863e-07,39,,,,,,,,
,,41,0.830974280834198,0.8214285969734192,13,,,,,
,,41,,,13,0.8500000238418579,,,,
1.4429868980597863e-07,1.4429868980597863e-07,42,,,,,,,,
,,44,0.8009465336799622,0.8214285969734192,14,,,,,
,,44,,,14,1.0,,,,
1.4429868980597863e-07,1.4429868980597863e-07,45,,,,,,,,
,,47,0.7808399200439453,0.8214285969734192,15,,,,,
,,47,,,15,0.800000011920929,,,,
1.4429868980597864e-08,1.4429868980597864e-08,48,,,,,,,,
,,49,,,16,,0.45657429099082947,,,
,,50,0.7612990140914917,0.8214285969734192,16,,,,,
,,50,,,16,0.949999988079071,,,,
,,51,,,17,,,0.7505696415901184,0.9006666541099548,0.38637226819992065
