lr-Adam/pg1,lr-Adam/pg2,step,val/loss,val/acc,epoch,train/acc,train/loss,test/loss,test/acc,test/bacc
0.0001442986898059786,0.0001442986898059786,0,,,,,,,,
,,3,1.6238011121749878,0.11999999731779099,0,,,,,
,,3,,,0,0.46666666865348816,,,,
0.0001442986898059786,0.0001442986898059786,4,,,,,,,,
,,7,1.5773814916610718,0.4000000059604645,1,,,,,
,,7,,,1,0.6666666865348816,,,,
0.0001442986898059786,0.0001442986898059786,8,,,,,,,,
,,11,1.5283998250961304,0.4000000059604645,2,,,,,
,,11,,,2,0.8333333134651184,,,,
0.0001442986898059786,0.0001442986898059786,12,,,,,,,,
,,15,1.4793281555175781,0.4000000059604645,3,,,,,
,,15,,,3,0.8666666746139526,,,,
1.442986898059786e-05,1.442986898059786e-05,16,,,,,,,,
,,19,1.4367570877075195,0.4000000059604645,4,,,,,
,,19,,,4,0.800000011920929,,,,
1.442986898059786e-05,1.442986898059786e-05,20,,,,,,,,
,,23,1.3791700601577759,0.4000000059604645,5,,,,,
,,23,,,5,0.8666666746139526,,,,
1.442986898059786e-05,1.442986898059786e-05,24,,,,,,,,
,,27,1.2977659702301025,0.5199999809265137,6,,,,,
,,27,,,6,0.8999999761581421,,,,
1.442986898059786e-05,1.442986898059786e-05,28,,,,,,,,
,,31,1.2022356986999512,0.699999988079071,7,,,,,
,,31,,,7,0.8666666746139526,,,,
1.4429868980597862e-06,1.4429868980597862e-06,32,,,,,,,,
,,35,1.1133259534835815,0.7200000286102295,8,,,,,
,,35,,,8,0.8666666746139526,,,,
1.4429868980597862e-06,1.4429868980597862e-06,36,,,,,,,,
,,39,1.0407376289367676,0.7599999904632568,9,,,,,
,,39,,,9,0.8666666746139526,,,,
1.4429868980597862e-06,1.4429868980597862e-06,40,,,,,,,,
,,43,0.9889833927154541,0.7599999904632568,10,,,,,
,,43,,,10,0.8999999761581421,,,,
1.4429868980597862e-06,1.4429868980597862e-06,44,,,,,,,,
,,47,0.956952691078186,0.7599999904632568,11,,,,,
,,47,,,11,0.8666666746139526,,,,
1.4429868980597863e-07,1.4429868980597863e-07,48,,,,,,,,
,,49,,,12,,0.32299309968948364,,,
,,51,0.935478687286377,0.7599999904632568,12,,,,,
,,51,,,12,0.8999999761581421,,,,
1.4429868980597863e-07,1.4429868980597863e-07,52,,,,,,,,
,,55,0.9206773638725281,0.7599999904632568,13,,,,,
,,55,,,13,0.8999999761581421,,,,
1.4429868980597863e-07,1.4429868980597863e-07,56,,,,,,,,
,,59,0.9110727906227112,0.7599999904632568,14,,,,,
,,59,,,14,0.800000011920929,,,,
1.4429868980597863e-07,1.4429868980597863e-07,60,,,,,,,,
,,63,0.9021613597869873,0.7599999904632568,15,,,,,
,,63,,,15,0.8333333134651184,,,,
1.4429868980597864e-08,1.4429868980597864e-08,64,,,,,,,,
,,67,0.8954471349716187,0.7599999904632568,16,,,,,
,,67,,,16,0.8666666746139526,,,,
,,68,,,17,,,0.7842886447906494,0.9188888669013977,0.393359899520874
