lr-Adam/pg1,lr-Adam/pg2,step,val/loss,val/auroc,val/av_prec,val/acc,val/w_acc,val/av_f1,epoch,train/auroc,train/av_prec,train/acc,train/w_acc,train/av_f1,train/loss,test/loss,test/auroc,test/av_prec,test/acc,test/w_acc,test/av_f1,test/bacc
0.0001442986898059786,0.0001442986898059786,0,,,,,,,,,,,,,,,,,,,,
,,6,1.6051132678985596,0.553709864616394,nan,0.057999998331069946,0.18372881412506104,0.03285743668675423,0,,,,,,,,,,,,,
,,6,,,,,,,0,0.5440959334373474,0.21193927526474,0.18000000715255737,0.09377777576446533,0.1066666692495346,,,,,,,,
0.0001442986898059786,0.0001442986898059786,7,,,,,,,,,,,,,,,,,,,,
,,13,1.607454776763916,0.6214167475700378,nan,0.06199999898672104,0.20485875010490417,0.04261333495378494,1,,,,,,,,,,,,,
,,13,,,,,,,1,0.7057153582572937,0.3800452947616577,0.41999998688697815,0.2911111116409302,0.2498108148574829,,,,,,,,
0.0001442986898059786,0.0001442986898059786,14,,,,,,,,,,,,,,,,,,,,
,,20,1.5885485410690308,0.6028505563735962,nan,0.07999999821186066,0.17728812992572784,0.0410388745367527,2,,,,,,,,,,,,,
,,20,,,,,,,2,0.8542378544807434,0.465329647064209,0.5,0.47377777099609375,0.36525094509124756,,,,,,,,
0.0001442986898059786,0.0001442986898059786,21,,,,,,,,,,,,,,,,,,,,
,,27,1.566880702972412,0.5894397497177124,nan,0.2240000069141388,0.2366589605808258,0.10019688308238983,3,,,,,,,,,,,,,
,,27,,,,,,,3,0.9006099104881287,0.5411112308502197,0.5799999833106995,0.5373333692550659,0.43325239419937134,,,,,,,,
1.442986898059786e-05,1.442986898059786e-05,28,,,,,,,,,,,,,,,,,,,,
,,34,1.5007879734039307,0.5935556292533875,nan,0.22599999606609344,0.34751877188682556,0.12874864041805267,4,,,,,,,,,,,,,
,,34,,,,,,,4,0.8737506866455078,0.524326503276825,0.6600000262260437,0.5724444389343262,0.4651353359222412,,,,,,,,
