lr-Adam/pg1,lr-Adam/pg2,step,val/loss,val/acc,epoch,train/acc,train/loss,test/loss,test/acc,test/bacc
0.0001442986898059786,0.0001442986898059786,0,,,,,,,,
,,7,1.516956090927124,0.4464285671710968,0,,,,,
,,7,,,0,0.4833333194255829,,,,
0.0001442986898059786,0.0001442986898059786,8,,,,,,,,
,,15,1.302205204963684,0.4464285671710968,1,,,,,
,,15,,,1,0.7333333492279053,,,,
0.0001442986898059786,0.0001442986898059786,16,,,,,,,,
,,23,0.9625303149223328,0.7857142686843872,2,,,,,
,,23,,,2,0.8500000238418579,,,,
0.0001442986898059786,0.0001442986898059786,24,,,,,,,,
,,31,0.5308460593223572,0.875,3,,,,,
,,31,,,3,0.7833333611488342,,,,
1.442986898059786e-05,1.442986898059786e-05,32,,,,,,,,
,,39,0.42714637517929077,0.875,4,,,,,
,,39,,,4,0.8666666746139526,,,,
1.442986898059786e-05,1.442986898059786e-05,40,,,,,,,,
,,47,0.38025784492492676,0.8928571343421936,5,,,,,
,,47,,,5,0.8166666626930237,,,,
1.442986898059786e-05,1.442986898059786e-05,48,,,,,,,,
,,49,,,6,,0.8239799737930298,,,
,,55,0.3500191271305084,0.8928571343421936,6,,,,,
,,55,,,6,0.800000011920929,,,,
1.442986898059786e-05,1.442986898059786e-05,56,,,,,,,,
,,63,0.34015581011772156,0.8928571343421936,7,,,,,
,,63,,,7,0.8833333253860474,,,,
1.4429868980597862e-06,1.4429868980597862e-06,64,,,,,,,,
,,71,0.3348179757595062,0.8928571343421936,8,,,,,
,,71,,,8,0.8666666746139526,,,,
1.4429868980597862e-06,1.4429868980597862e-06,72,,,,,,,,
,,79,0.33129915595054626,0.8928571343421936,9,,,,,
,,79,,,9,0.8500000238418579,,,,
1.4429868980597862e-06,1.4429868980597862e-06,80,,,,,,,,
,,87,0.33336448669433594,0.8928571343421936,10,,,,,
,,87,,,10,0.8500000238418579,,,,
1.4429868980597862e-06,1.4429868980597862e-06,88,,,,,,,,
,,95,0.33584651350975037,0.8928571343421936,11,,,,,
,,95,,,11,0.800000011920929,,,,
1.4429868980597863e-07,1.4429868980597863e-07,96,,,,,,,,
,,99,,,12,,0.4268041253089905,,,
,,103,0.33466440439224243,0.8928571343421936,12,,,,,
,,103,,,12,0.8666666746139526,,,,
1.4429868980597863e-07,1.4429868980597863e-07,104,,,,,,,,
,,111,0.3280731737613678,0.8928571343421936,13,,,,,
,,111,,,13,0.8666666746139526,,,,
1.4429868980597863e-07,1.4429868980597863e-07,112,,,,,,,,
,,119,0.3317200243473053,0.8928571343421936,14,,,,,
,,119,,,14,0.7833333611488342,,,,
1.4429868980597863e-07,1.4429868980597863e-07,120,,,,,,,,
,,127,0.33298712968826294,0.8928571343421936,15,,,,,
,,127,,,15,0.8666666746139526,,,,
1.4429868980597864e-08,1.4429868980597864e-08,128,,,,,,,,
,,135,0.3281133472919464,0.8928571343421936,16,,,,,
,,135,,,16,0.8500000238418579,,,,
,,136,,,17,,,0.33133190870285034,0.9131110906600952,0.42846259474754333
