lr-Adam/pg1,lr-Adam/pg2,step,val/loss,val/acc,epoch,train/acc,train/loss,test/loss,test/acc,test/bacc
0.0001442986898059786,0.0001442986898059786,0,,,,,,,,
,,6,1.5732097625732422,0.4098360538482666,0,,,,,
,,6,,,0,0.3199999928474426,,,,
0.0001442986898059786,0.0001442986898059786,7,,,,,,,,
,,13,1.4495093822479248,0.4098360538482666,1,,,,,
,,13,,,1,0.7799999713897705,,,,
0.0001442986898059786,0.0001442986898059786,14,,,,,,,,
,,20,1.263210654258728,0.7540983557701111,2,,,,,
,,20,,,2,0.7200000286102295,,,,
0.0001442986898059786,0.0001442986898059786,21,,,,,,,,
,,27,1.036487340927124,0.8196721076965332,3,,,,,
,,27,,,3,0.8199999928474426,,,,
1.442986898059786e-05,1.442986898059786e-05,28,,,,,,,,
,,34,0.8646572232246399,0.8196721076965332,4,,,,,
,,34,,,4,0.8600000143051147,,,,
1.442986898059786e-05,1.442986898059786e-05,35,,,,,,,,
,,41,0.7471213340759277,0.8196721076965332,5,,,,,
,,41,,,5,0.8199999928474426,,,,
1.442986898059786e-05,1.442986898059786e-05,42,,,,,,,,
,,48,0.6864875555038452,0.8196721076965332,6,,,,,
,,48,,,6,0.8600000143051147,,,,
1.442986898059786e-05,1.442986898059786e-05,49,,,,,,,,
,,49,,,7,,0.4706372618675232,,,
,,55,0.6528566479682922,0.8196721076965332,7,,,,,
,,55,,,7,0.8199999928474426,,,,
1.4429868980597862e-06,1.4429868980597862e-06,56,,,,,,,,
,,62,0.6297850012779236,0.8196721076965332,8,,,,,
,,62,,,8,0.8799999952316284,,,,
1.4429868980597862e-06,1.4429868980597862e-06,63,,,,,,,,
,,69,0.6168591976165771,0.8196721076965332,9,,,,,
,,69,,,9,0.8199999928474426,,,,
1.4429868980597862e-06,1.4429868980597862e-06,70,,,,,,,,
,,76,0.6148416996002197,0.8196721076965332,10,,,,,
,,76,,,10,0.8399999737739563,,,,
1.4429868980597862e-06,1.4429868980597862e-06,77,,,,,,,,
,,83,0.6096242070198059,0.8196721076965332,11,,,,,
,,83,,,11,0.8600000143051147,,,,
1.4429868980597863e-07,1.4429868980597863e-07,84,,,,,,,,
,,90,0.6143813729286194,0.8196721076965332,12,,,,,
,,90,,,12,0.8199999928474426,,,,
1.4429868980597863e-07,1.4429868980597863e-07,91,,,,,,,,
,,97,0.6120737195014954,0.8196721076965332,13,,,,,
,,97,,,13,0.8199999928474426,,,,
1.4429868980597863e-07,1.4429868980597863e-07,98,,,,,,,,
,,99,,,14,,0.9048796892166138,,,
,,104,0.6184052228927612,0.8196721076965332,14,,,,,
,,104,,,14,0.8600000143051147,,,,
1.4429868980597863e-07,1.4429868980597863e-07,105,,,,,,,,
,,111,0.6119316816329956,0.8196721076965332,15,,,,,
,,111,,,15,0.8600000143051147,,,,
1.4429868980597864e-08,1.4429868980597864e-08,112,,,,,,,,
,,118,0.614262044429779,0.8196721076965332,16,,,,,
,,118,,,16,0.8399999737739563,,,,
,,119,,,17,,,0.8734003901481628,0.9106666445732117,0.38518041372299194
