lr-Adam/pg1,lr-Adam/pg2,step,val/loss,val/auroc,val/av_prec,val/acc,val/w_acc,val/av_f1,epoch,train/auroc,train/av_prec,train/acc,train/w_acc,train/av_f1,train/loss,test/loss,test/auroc,test/av_prec,test/acc,test/w_acc,test/av_f1,test/bacc
0.0001442986898059786,0.0001442986898059786,0,,,,,,,,,,,,,,,,,,,,
,,3,1.620280385017395,0.5208708643913269,nan,0.024000000208616257,0.20136985182762146,0.010617002844810486,0,,,,,,,,,,,,,
,,3,,,,,,,0,0.5331467986106873,0.2124835103750229,0.2666666805744171,0.15666666626930237,0.1343589723110199,,,,,,,,
0.0001442986898059786,0.0001442986898059786,4,,,,,,,,,,,,,,,,,,,,
,,7,1.5896503925323486,0.5785602331161499,nan,0.5839999914169312,0.20000000298023224,0.1486005038022995,1,,,,,,,,,,,,,
,,7,,,,,,,1,0.5495014190673828,0.33276426792144775,0.3333333432674408,0.2566666603088379,0.2341269701719284,,,,,,,,
0.0001442986898059786,0.0001442986898059786,8,,,,,,,,,,,,,,,,,,,,
,,11,1.57744300365448,0.6585572361946106,nan,0.4860000014305115,0.16643835604190826,0.13613446056842804,2,,,,,,,,,,,,,
,,11,,,,,,,2,0.7295397520065308,0.4697631597518921,0.36666667461395264,0.28333336114883423,0.324444442987442,,,,,,,,
0.0001442986898059786,0.0001442986898059786,12,,,,,,,,,,,,,,,,,,,,
,,15,1.5673412084579468,0.7166737914085388,nan,0.17399999499320984,0.2582191824913025,0.0907193198800087,3,,,,,,,,,,,,,
,,15,,,,,,,3,0.8365485072135925,0.6349417567253113,0.6000000238418579,0.5333333611488342,0.5062207579612732,,,,,,,,
1.442986898059786e-05,1.442986898059786e-05,16,,,,,,,,,,,,,,,,,,,,
,,19,1.5661652088165283,0.7376732230186462,nan,0.11999999731779099,0.2495674192905426,0.07389089465141296,4,,,,,,,,,,,,,
,,19,,,,,,,4,0.6973596811294556,0.46814101934432983,0.4333333373069763,0.35333335399627686,0.3556083142757416,,,,,,,,
1.442986898059786e-05,1.442986898059786e-05,20,,,,,,,,,,,,,,,,,,,,
,,23,1.5581694841384888,0.7522458434104919,nan,0.14800000190734863,0.28640443086624146,0.10693097114562988,5,,,,,,,,,,,,,
,,23,,,,,,,5,0.8298088312149048,0.5598875284194946,0.5333333611488342,0.6233333349227905,0.48441559076309204,,,,,,,,
1.442986898059786e-05,1.442986898059786e-05,24,,,,,,,,,,,,,,,,,,,,
,,27,1.5353769063949585,0.7637205719947815,0.38615700602531433,0.22599999606609344,0.3394746780395508,0.1564279943704605,6,,,,,,,,,,,,,
,,27,,,,,,,6,0.8857055902481079,0.6742299199104309,0.5666666626930237,0.6566666960716248,0.5326695442199707,,,,,,,,
1.442986898059786e-05,1.442986898059786e-05,28,,,,,,,,,,,,,,,,,,,,
,,31,1.510657787322998,0.7751039266586304,0.38839036226272583,0.2720000147819519,0.35250693559646606,0.18358153104782104,7,,,,,,,,,,,,,
,,31,,,,,,,7,0.9013304710388184,0.6342494487762451,0.5666666626930237,0.6466666460037231,0.5049639344215393,,,,,,,,
1.4429868980597862e-06,1.4429868980597862e-06,32,,,,,,,,,,,,,,,,,,,,
,,35,1.4829951524734497,0.7842411398887634,0.3898222744464874,0.2919999957084656,0.36830759048461914,0.1918761283159256,8,,,,,,,,,,,,,
,,35,,,,,,,8,0.9084112048149109,0.7103603482246399,0.6666666865348816,0.746666669845581,0.6408354640007019,,,,,,,,
1.4429868980597862e-06,1.4429868980597862e-06,36,,,,,,,,,,,,,,,,,,,,
,,39,1.4462748765945435,0.7934376001358032,0.3884100615978241,0.3319999873638153,0.38245123624801636,0.20754137635231018,9,,,,,,,,,,,,,
,,39,,,,,,,9,0.9392469525337219,0.6744214296340942,0.5333333611488342,0.6599999666213989,0.49238094687461853,,,,,,,,
1.4429868980597862e-06,1.4429868980597862e-06,40,,,,,,,,,,,,,,,,,,,,
,,43,1.4169868230819702,0.802015483379364,0.3869844079017639,0.3540000021457672,0.38998550176620483,0.21412423253059387,10,,,,,,,,,,,,,
