lr-Adam/pg1,lr-Adam/pg2,step,val/loss,val/acc,epoch,train/acc,train/loss,test/loss,test/acc,test/bacc
0.0001442986898059786,0.0001442986898059786,0,,,,,,,,
,,2,1.6143732070922852,0.05999999865889549,0,,,,,
,,2,,,0,0.15000000596046448,,,,
0.0001442986898059786,0.0001442986898059786,3,,,,,,,,
,,5,1.6021041870117188,0.05999999865889549,1,,,,,
,,5,,,1,0.699999988079071,,,,
0.0001442986898059786,0.0001442986898059786,6,,,,,,,,
,,8,1.5820919275283813,0.4000000059604645,2,,,,,
,,8,,,2,0.8500000238418579,,,,
0.0001442986898059786,0.0001442986898059786,9,,,,,,,,
,,11,1.5450574159622192,0.4000000059604645,3,,,,,
,,11,,,3,0.949999988079071,,,,
1.442986898059786e-05,1.442986898059786e-05,12,,,,,,,,
,,14,1.5065220594406128,0.4000000059604645,4,,,,,
,,14,,,4,0.949999988079071,,,,
1.442986898059786e-05,1.442986898059786e-05,15,,,,,,,,
,,17,1.4636778831481934,0.4000000059604645,5,,,,,
,,17,,,5,0.949999988079071,,,,
1.442986898059786e-05,1.442986898059786e-05,18,,,,,,,,
,,20,1.4167195558547974,0.4000000059604645,6,,,,,
,,20,,,6,1.0,,,,
1.442986898059786e-05,1.442986898059786e-05,21,,,,,,,,
,,23,1.3635945320129395,0.41999998688697815,7,,,,,
,,23,,,7,0.8999999761581421,,,,
1.4429868980597862e-06,1.4429868980597862e-06,24,,,,,,,,
,,26,1.3057438135147095,0.46000000834465027,8,,,,,
,,26,,,8,0.949999988079071,,,,
1.4429868980597862e-06,1.4429868980597862e-06,27,,,,,,,,
,,29,1.2457101345062256,0.5600000023841858,9,,,,,
,,29,,,9,0.8999999761581421,,,,
1.4429868980597862e-06,1.4429868980597862e-06,30,,,,,,,,
,,32,1.1818724870681763,0.6000000238418579,10,,,,,
,,32,,,10,0.949999988079071,,,,
1.4429868980597862e-06,1.4429868980597862e-06,33,,,,,,,,
,,35,1.1246227025985718,0.6800000071525574,11,,,,,
,,35,,,11,0.949999988079071,,,,
1.4429868980597863e-07,1.4429868980597863e-07,36,,,,,,,,
,,38,1.0784038305282593,0.699999988079071,12,,,,,
,,38,,,12,0.949999988079071,,,,
1.4429868980597863e-07,1.4429868980597863e-07,39,,,,,,,,
,,41,1.0424727201461792,0.699999988079071,13,,,,,
,,41,,,13,0.8999999761581421,,,,
1.4429868980597863e-07,1.4429868980597863e-07,42,,,,,,,,
,,44,1.0059552192687988,0.7400000095367432,14,,,,,
,,44,,,14,0.949999988079071,,,,
1.4429868980597863e-07,1.4429868980597863e-07,45,,,,,,,,
,,47,0.9872117042541504,0.7400000095367432,15,,,,,
,,47,,,15,0.8999999761581421,,,,
1.4429868980597864e-08,1.4429868980597864e-08,48,,,,,,,,
,,49,,,16,,0.5170249342918396,,,
,,50,0.9766297936439514,0.7599999904632568,16,,,,,
,,50,,,16,0.949999988079071,,,,
,,51,,,17,,,0.7130544185638428,0.8717777729034424,0.3701193332672119
