lr-Adam/pg1,lr-Adam/pg2,step,val/loss,val/auroc,val/av_prec,val/acc,val/w_acc,val/av_f1,epoch,train/auroc,train/av_prec,train/acc,train/w_acc,train/av_f1,train/loss,test/loss,test/auroc,test/av_prec,test/acc,test/w_acc,test/av_f1,test/bacc
0.0001442986898059786,0.0001442986898059786,0,,,,,,,,,,,,,,,,,,,,
,,11,1.5447540283203125,0.7103627920150757,nan,0.5920000076293945,0.2049647867679596,0.16257092356681824,0,,,,,,,,,,,,,
,,11,,,,,,,0,0.6199173927307129,0.3525349497795105,0.4000000059604645,0.41484594345092773,0.27583685517311096,,,,,,,,
0.0001442986898059786,0.0001442986898059786,12,,,,,,,,,,,,,,,,,,,,
,,23,1.2939801216125488,0.7702102065086365,nan,0.8240000009536743,0.4173371195793152,0.40784722566604614,1,,,,,,,,,,,,,
,,23,,,,,,,1,0.8505756258964539,0.5588213205337524,0.7555555701255798,0.6929271817207336,0.536309540271759,,,,,,,,
0.0001442986898059786,0.0001442986898059786,24,,,,,,,,,,,,,,,,,,,,
,,35,0.8790379166603088,0.7934760451316833,nan,0.8240000009536743,0.4182271361351013,0.4050273895263672,2,,,,,,,,,,,,,
,,35,,,,,,,2,0.8727998733520508,0.6197420954704285,0.8111110925674438,0.5471988916397095,0.5645684003829956,,,,,,,,
0.0001442986898059786,0.0001442986898059786,36,,,,,,,,,,,,,,,,,,,,
,,47,0.7396019697189331,0.803043782711029,nan,0.8159999847412109,0.4329451620578766,0.40632668137550354,3,,,,,,,,,,,,,
,,47,,,,,,,3,0.9112368822097778,0.5980887413024902,0.8333333134651184,0.5728991627693176,0.5713853240013123,,,,,,,,
1.442986898059786e-05,1.442986898059786e-05,48,,,,,,,,,,,,,,,,,,,,
,,49,,,,,,,4,,,,,,0.48065996170043945,,,,,,,
,,59,0.6284307837486267,0.8229061365127563,0.43070024251937866,0.8479999899864197,0.4430140554904938,0.41939839720726013,4,,,,,,,,,,,,,
,,59,,,,,,,4,0.9825165867805481,0.7136203050613403,0.8666666746139526,0.7147058844566345,0.6487234234809875,,,,,,,,
1.442986898059786e-05,1.442986898059786e-05,60,,,,,,,,,,,,,,,,,,,,
,,71,0.6047077775001526,0.8176354765892029,0.42879804968833923,0.8460000157356262,0.4423291087150574,0.4220019280910492,5,,,,,,,,,,,,,
,,71,,,,,,,5,0.9823762774467468,0.7366076111793518,0.8777777552604675,0.7154061794281006,0.6478275060653687,,,,,,,,
1.442986898059786e-05,1.442986898059786e-05,72,,,,,,,,,,,,,,,,,,,,
,,83,0.5808413028717041,0.8234571814537048,0.43348658084869385,0.8539999723434448,0.44462379813194275,0.4287119507789612,6,,,,,,,,,,,,,
,,83,,,,,,,6,0.9837570190429688,0.8581937551498413,0.8999999761581421,0.9225490689277649,0.7962701320648193,,,,,,,,
1.442986898059786e-05,1.442986898059786e-05,84,,,,,,,,,,,,,,,,,,,,
,,95,0.5556721687316895,0.8295038342475891,0.43396908044815063,0.8619999885559082,0.44647350907325745,0.43149104714393616,7,,,,,,,,,,,,,
,,95,,,,,,,7,0.9722842574119568,nan,0.8999999761581421,0.7378851175308228,0.6587070226669312,,,,,,,,
1.4429868980597862e-06,1.4429868980597862e-06,96,,,,,,,,,,,,,,,,,,,,
,,99,,,,,,,8,,,,,,0.41898423433303833,,,,,,,
,,107,0.5645439624786377,0.8276414275169373,0.43361765146255493,0.8579999804496765,0.44510364532470703,0.4292258322238922,8,,,,,,,,,,,,,
,,107,,,,,,,8,0.9729238748550415,0.8969993591308594,0.9222221970558167,0.9093137979507446,0.8478614091873169,,,,,,,,
1.4429868980597862e-06,1.4429868980597862e-06,108,,,,,,,,,,,,,,,,,,,,
,,119,0.544115424156189,0.830692708492279,0.4364103078842163,0.8659999966621399,0.4576847553253174,0.43846145272254944,9,,,,,,,,,,,,,
,,119,,,,,,,9,0.9747492074966431,0.6922740340232849,0.8333333134651184,0.6332632899284363,0.5996414422988892,,,,,,,,
1.4429868980597862e-06,1.4429868980597862e-06,120,,,,,,,,,,,,,,,,,,,,
,,131,0.556404173374176,0.8300361633300781,0.4361090660095215,0.8619999885559082,0.45631489157676697,0.43769580125808716,10,,,,,,,,,,,,,
,,131,,,,,,,10,0.9863748550415039,0.7849408388137817,0.9333333373069763,0.7382352948188782,0.7418304681777954,,,,,,,,
1.4429868980597862e-06,1.4429868980597862e-06,132,,,,,,,,,,,,,,,,,,,,
,,143,0.5288340449333191,0.8322842717170715,0.4361029863357544,0.8759999871253967,0.461109459400177,0.44035181403160095,11,,,,,,,,,,,,,
,,143,,,,,,,11,0.9798006415367126,0.8892470598220825,0.8999999761581421,0.8200280070304871,0.8418201208114624,,,,,,,,
1.4429868980597863e-07,1.4429868980597863e-07,144,,,,,,,,,,,,,,,,,,,,
,,149,,,,,,,12,,,,,,0.3671492636203766,,,,,,,
,,155,0.5545145273208618,0.8291427493095398,0.4359472692012787,0.8640000224113464,0.45699983835220337,0.438079297542572,12,,,,,,,,,,,,,
,,155,,,,,,,12,0.9902868270874023,nan,0.9111111164093018,0.745028018951416,0.7156132459640503,,,,,,,,
1.4429868980597863e-07,1.4429868980597863e-07,156,,,,,,,,,,,,,,,,,,,,
,,167,0.5726931095123291,0.827147901058197,0.43389469385147095,0.8519999980926514,0.44349390268325806,0.42762699723243713,13,,,,,,,,,,,,,
