lr-Adam/pg1,lr-Adam/pg2,step,val/loss,val/acc,epoch,train/acc,train/loss,test/loss,test/acc,test/bacc
0.0001442986898059786,0.0001442986898059786,0,,,,,,,,
,,6,1.6125574111938477,0.0535714291036129,0,,,,,
,,6,,,0,0.30000001192092896,,,,
0.0001442986898059786,0.0001442986898059786,7,,,,,,,,
,,13,1.5598796606063843,0.0535714291036129,1,,,,,
,,13,,,1,0.5400000214576721,,,,
0.0001442986898059786,0.0001442986898059786,14,,,,,,,,
,,20,1.4350128173828125,0.2678571343421936,2,,,,,
,,20,,,2,0.699999988079071,,,,
0.0001442986898059786,0.0001442986898059786,21,,,,,,,,
,,27,1.1857366561889648,0.8392857313156128,3,,,,,
,,27,,,3,0.7400000095367432,,,,
1.442986898059786e-05,1.442986898059786e-05,28,,,,,,,,
,,34,0.9483190774917603,0.875,4,,,,,
,,34,,,4,0.800000011920929,,,,
1.442986898059786e-05,1.442986898059786e-05,35,,,,,,,,
,,41,0.7895264625549316,0.875,5,,,,,
,,41,,,5,0.7599999904632568,,,,
1.442986898059786e-05,1.442986898059786e-05,42,,,,,,,,
,,48,0.6878336071968079,0.875,6,,,,,
,,48,,,6,0.7799999713897705,,,,
1.442986898059786e-05,1.442986898059786e-05,49,,,,,,,,
,,49,,,7,,0.6995751261711121,,,
,,55,0.6282285451889038,0.875,7,,,,,
,,55,,,7,0.7799999713897705,,,,
1.4429868980597862e-06,1.4429868980597862e-06,56,,,,,,,,
,,62,0.5982681512832642,0.875,8,,,,,
,,62,,,8,0.7799999713897705,,,,
1.4429868980597862e-06,1.4429868980597862e-06,63,,,,,,,,
,,69,0.5702350735664368,0.875,9,,,,,
,,69,,,9,0.800000011920929,,,,
1.4429868980597862e-06,1.4429868980597862e-06,70,,,,,,,,
,,76,0.5694759488105774,0.875,10,,,,,
,,76,,,10,0.800000011920929,,,,
1.4429868980597862e-06,1.4429868980597862e-06,77,,,,,,,,
,,83,0.5683940649032593,0.875,11,,,,,
,,83,,,11,0.8399999737739563,,,,
1.4429868980597863e-07,1.4429868980597863e-07,84,,,,,,,,
,,90,0.5485385656356812,0.875,12,,,,,
,,90,,,12,0.7799999713897705,,,,
1.4429868980597863e-07,1.4429868980597863e-07,91,,,,,,,,
,,97,0.5569968223571777,0.875,13,,,,,
,,97,,,13,0.8199999928474426,,,,
1.4429868980597863e-07,1.4429868980597863e-07,98,,,,,,,,
,,99,,,14,,0.9485054016113281,,,
,,104,0.5680069923400879,0.875,14,,,,,
,,104,,,14,0.800000011920929,,,,
1.4429868980597863e-07,1.4429868980597863e-07,105,,,,,,,,
,,111,0.5745170712471008,0.875,15,,,,,
,,111,,,15,0.800000011920929,,,,
1.4429868980597864e-08,1.4429868980597864e-08,112,,,,,,,,
,,118,0.568021297454834,0.875,16,,,,,
,,118,,,16,0.7799999713897705,,,,
,,119,,,17,,,0.910060465335846,0.9255555272102356,0.39789336919784546
