lr-Adam/pg1,lr-Adam/pg2,step,val/loss,val/auroc,val/av_prec,val/acc,val/w_acc,val/av_f1,epoch,train/auroc,train/av_prec,train/acc,train/w_acc,train/av_f1,train/loss,test/loss,test/auroc,test/av_prec,test/acc,test/w_acc,test/av_f1,test/bacc
0.0001442986898059786,0.0001442986898059786,0,,,,,,,,,,,,,,,,,,,,
,,6,1.5768378973007202,0.5464453101158142,nan,0.004000000189989805,0.20000000298023224,0.0015936255222186446,0,,,,,,,,,,,,,
,,6,,,,,,,0,0.5329180955886841,nan,0.25999999046325684,0.20529413223266602,0.18620967864990234,,,,,,,,
0.0001442986898059786,0.0001442986898059786,7,,,,,,,,,,,,,,,,,,,,
,,13,1.5611653327941895,0.5761076807975769,nan,0.03200000151991844,0.21581920981407166,0.02344777062535286,1,,,,,,,,,,,,,
,,13,,,,,,,1,0.8004235625267029,nan,0.5199999809265137,0.42588233947753906,0.38309234380722046,,,,,,,,
0.0001442986898059786,0.0001442986898059786,14,,,,,,,,,,,,,,,,,,,,
,,20,1.5808988809585571,0.5770871639251709,nan,0.23800000548362732,0.13446328043937683,0.07765089720487595,2,,,,,,,,,,,,,
,,20,,,,,,,2,0.8390609622001648,0.46207553148269653,0.5400000214576721,0.4274509847164154,0.37304991483688354,,,,,,,,
0.0001442986898059786,0.0001442986898059786,21,,,,,,,,,,,,,,,,,,,,
,,27,1.5088779926300049,0.5752922892570496,nan,0.2199999988079071,0.12340375036001205,0.07532612979412079,3,,,,,,,,,,,,,
,,27,,,,,,,3,0.8426921963691711,nan,0.5400000214576721,0.4525490403175354,0.39699506759643555,,,,,,,,
1.442986898059786e-05,1.442986898059786e-05,28,,,,,,,,,,,,,,,,,,,,
,,34,1.4320077896118164,0.5869483351707458,nan,0.2199999988079071,0.11049841344356537,0.09734531491994858,4,,,,,,,,,,,,,
,,34,,,,,,,4,0.8806453943252563,0.7127070426940918,0.7200000286102295,0.6296077966690063,0.6141849756240845,,,,,,,,
1.442986898059786e-05,1.442986898059786e-05,35,,,,,,,,,,,,,,,,,,,,
,,41,1.2796165943145752,0.607275664806366,nan,0.4819999933242798,0.20066945254802704,0.22028160095214844,5,,,,,,,,,,,,,
,,41,,,,,,,5,0.7755358815193176,0.4817342758178711,0.5400000214576721,0.434509813785553,0.38542693853378296,,,,,,,,
1.442986898059786e-05,1.442986898059786e-05,42,,,,,,,,,,,,,,,,,,,,
,,48,1.1898573637008667,0.6239941716194153,nan,0.593999981880188,0.24214069545269012,0.26097559928894043,6,,,,,,,,,,,,,
,,48,,,,,,,6,0.8240787386894226,0.5142574310302734,0.5799999833106995,0.4927450716495514,0.4738738536834717,,,,,,,,
1.442986898059786e-05,1.442986898059786e-05,49,,,,,,,,,,,,,,,,,,,,
,,49,,,,,,,7,,,,,,1.2722715139389038,,,,,,,
,,55,1.1099046468734741,0.6438929438591003,nan,0.6620000004768372,0.2649833559989929,0.28512150049209595,7,,,,,,,,,,,,,
,,55,,,,,,,7,0.8549027442932129,0.5681807398796082,0.5,0.522549033164978,0.4643492102622986,,,,,,,,
1.4429868980597862e-06,1.4429868980597862e-06,56,,,,,,,,,,,,,,,,,,,,
,,62,1.1415863037109375,0.6400357484817505,nan,0.6179999709129333,0.24234966933727264,0.26602527499198914,8,,,,,,,,,,,,,
,,62,,,,,,,8,0.8500778079032898,0.5439357757568359,0.6200000047683716,0.5478430986404419,0.46625733375549316,,,,,,,,
1.4429868980597862e-06,1.4429868980597862e-06,63,,,,,,,,,,,,,,,,,,,,
,,69,1.1127430200576782,0.6459676027297974,nan,0.6579999923706055,0.2596083879470825,0.2817762494087219,9,,,,,,,,,,,,,
,,69,,,,,,,9,0.8764384388923645,nan,0.5199999809265137,0.3462744951248169,0.3413119912147522,,,,,,,,
1.4429868980597862e-06,1.4429868980597862e-06,70,,,,,,,,,,,,,,,,,,,,
,,76,1.1051149368286133,0.6451639533042908,nan,0.6600000262260437,0.26029330492019653,0.2824774980545044,10,,,,,,,,,,,,,
,,76,,,,,,,10,0.8766171336174011,0.6231820583343506,0.699999988079071,0.6578431129455566,0.6007843613624573,,,,,,,,
1.4429868980597862e-06,1.4429868980597862e-06,77,,,,,,,,,,,,,,,,,,,,
,,83,1.0836831331253052,0.6507008671760559,nan,0.6779999732971191,0.2700178027153015,0.2906646132469177,11,,,,,,,,,,,,,
,,83,,,,,,,11,0.9348503351211548,nan,0.7599999904632568,0.6831372380256653,0.5925793647766113,,,,,,,,
1.4429868980597863e-07,1.4429868980597863e-07,84,,,,,,,,,,,,,,,,,,,,
,,90,1.047008991241455,0.6610704660415649,nan,0.7039999961853027,0.2793669104576111,0.29956549406051636,12,,,,,,,,,,,,,
,,90,,,,,,,12,0.8633125424385071,0.6763454079627991,0.6800000071525574,0.6778431534767151,0.6333333253860474,,,,,,,,
1.4429868980597863e-07,1.4429868980597863e-07,91,,,,,,,,,,,,,,,,,,,,
,,97,1.0659704208374023,0.6565715074539185,nan,0.6880000233650208,0.2716624140739441,0.2933850884437561,13,,,,,,,,,,,,,
,,97,,,,,,,13,0.8987040519714355,0.7369706630706787,0.699999988079071,0.6447058916091919,0.6292851567268372,,,,,,,,
