lr-Adam/pg1,lr-Adam/pg2,step,train/loss,epoch,val/loss,val/auroc,val/av_prec,val/acc,val/w_acc,val/av_f1,train/auroc,train/av_prec,train/acc,train/w_acc,train/av_f1,test/loss,test/auroc,test/av_prec,test/acc,test/w_acc,test/av_f1,test/bacc
0.0001442986898059786,0.0001442986898059786,0,,,,,,,,,,,,,,,,,,,,
,,49,0.8655111193656921,0,,,,,,,,,,,,,,,,,,
,,99,1.1071054935455322,0,,,,,,,,,,,,,,,,,,
,,149,1.0072767734527588,0,,,,,,,,,,,,,,,,,,
,,156,,0,0.4097621440887451,0.922132134437561,nan,0.9300000071525574,0.47154125571250916,0.4693814814090729,,,,,,,,,,,,
,,156,,0,,,,,,,0.7409748435020447,0.42078807950019836,0.7160000205039978,0.42354074120521545,0.42220553755760193,,,,,,,
0.0001442986898059786,0.0001442986898059786,157,,,,,,,,,,,,,,,,,,,,
,,199,0.9910497069358826,1,,,,,,,,,,,,,,,,,,
,,249,1.4717979431152344,1,,,,,,,,,,,,,,,,,,
,,299,2.924100875854492,1,,,,,,,,,,,,,,,,,,
,,313,,1,0.3631419837474823,0.8093559145927429,nan,0.9319999814033508,0.5292813777923584,0.5362054705619812,,,,,,,,,,,,
,,313,,1,,,,,,,0.7930828332901001,0.46115148067474365,0.7599999904632568,0.47549447417259216,0.46063604950904846,,,,,,,
0.0001442986898059786,0.0001442986898059786,314,,,,,,,,,,,,,,,,,,,,
,,349,1.2930529117584229,2,,,,,,,,,,,,,,,,,,
,,399,0.376589298248291,2,,,,,,,,,,,,,,,,,,
,,449,1.1281263828277588,2,,,,,,,,,,,,,,,,,,
,,470,,2,0.38940179347991943,0.6968637704849243,nan,0.9419999718666077,0.488239586353302,0.5131387114524841,,,,,,,,,,,,
,,470,,2,,,,,,,0.847251832485199,0.5223621726036072,0.774399995803833,0.5152736902236938,0.5038820505142212,,,,,,,
0.0001442986898059786,0.0001442986898059786,471,,,,,,,,,,,,,,,,,,,,
,,499,1.092703938484192,3,,,,,,,,,,,,,,,,,,
,,549,0.5406967401504517,3,,,,,,,,,,,,,,,,,,
,,599,1.4174730777740479,3,,,,,,,,,,,,,,,,,,
,,627,,3,0.3069378137588501,0.8345401883125305,nan,0.9520000219345093,0.5877172946929932,0.6088279485702515,,,,,,,,,,,,
,,627,,3,,,,,,,0.843910813331604,0.5107452273368835,0.7767999768257141,0.5397646427154541,0.5044824481010437,,,,,,,
1.442986898059786e-05,1.442986898059786e-05,628,,,,,,,,,,,,,,,,,,,,
