lr-Adam/pg1,lr-Adam/pg2,step,train/loss,epoch,val/loss,val/auroc,val/av_prec,val/acc,val/w_acc,val/av_f1,train/auroc,train/av_prec,train/acc,train/w_acc,train/av_f1,test/loss,test/auroc,test/av_prec,test/acc,test/w_acc,test/av_f1,test/bacc
0.0001442986898059786,0.0001442986898059786,0,,,,,,,,,,,,,,,,,,,,
,,49,0.85881108045578,0,,,,,,,,,,,,,,,,,,
,,99,0.6534122228622437,0,,,,,,,,,,,,,,,,,,
,,124,,0,0.6815330982208252,0.9067674875259399,nan,0.8960000276565552,0.46706873178482056,0.4380691647529602,,,,,,,,,,,,
,,124,,0,,,,,,,0.6963155269622803,nan,0.6809999942779541,0.352731317281723,0.3475685715675354,,,,,,,
0.0001442986898059786,0.0001442986898059786,125,,,,,,,,,,,,,,,,,,,,
,,149,2.3568453788757324,1,,,,,,,,,,,,,,,,,,
,,199,0.6679947972297668,1,,,,,,,,,,,,,,,,,,
,,249,0.9296806454658508,1,,,,,,,,,,,,,,,,,,
,,249,,1,0.3928923010826111,0.9111462831497192,nan,0.9340000152587891,0.4084715247154236,0.4019947946071625,,,,,,,,,,,,
,,249,,1,,,,,,,0.8066582083702087,0.4278333783149719,0.7829999923706055,0.4357859194278717,0.42540135979652405,,,,,,,
0.0001442986898059786,0.0001442986898059786,250,,,,,,,,,,,,,,,,,,,,
,,299,0.9650833606719971,2,,,,,,,,,,,,,,,,,,
,,349,0.5540550351142883,2,,,,,,,,,,,,,,,,,,
,,374,,2,0.5091737508773804,0.9691402316093445,nan,0.9459999799728394,0.5577637553215027,0.5753011703491211,,,,,,,,,,,,
,,374,,2,,,,,,,0.8231412172317505,nan,0.8050000071525574,0.4381271004676819,0.43543925881385803,,,,,,,
0.0001442986898059786,0.0001442986898059786,375,,,,,,,,,,,,,,,,,,,,
,,399,0.9331853985786438,3,,,,,,,,,,,,,,,,,,
,,449,1.0354868173599243,3,,,,,,,,,,,,,,,,,,
,,499,0.6437046527862549,3,,,,,,,,,,,,,,,,,,
,,499,,3,0.35825014114379883,0.883841335773468,nan,0.9359999895095825,0.4181850850582123,0.4210602343082428,,,,,,,,,,,,
,,499,,3,,,,,,,0.8102596402168274,0.44181275367736816,0.7960000038146973,0.4497993588447571,0.44230788946151733,,,,,,,
1.442986898059786e-05,1.442986898059786e-05,500,,,,,,,,,,,,,,,,,,,,
,,549,0.6774956583976746,4,,,,,,,,,,,,,,,,,,
,,599,0.4547293484210968,4,,,,,,,,,,,,,,,,,,
,,624,,4,0.34755975008010864,0.953868567943573,0.6996631622314453,0.9380000233650208,0.5284715294837952,0.5693048238754272,,,,,,,,,,,,
,,624,,4,,,,,,,0.8392184376716614,0.44083669781684875,0.8259999752044678,0.4311036467552185,0.42865148186683655,,,,,,,
1.442986898059786e-05,1.442986898059786e-05,625,,,,,,,,,,,,,,,,,,,,
,,649,0.4511829912662506,5,,,,,,,,,,,,,,,,,,
,,699,0.8235927820205688,5,,,,,,,,,,,,,,,,,,
,,749,0.9212172627449036,5,,,,,,,,,,,,,,,,,,
,,749,,5,0.3367263078689575,0.9604476094245911,0.7391985654830933,0.9399999976158142,0.5672642588615417,0.6261366009712219,,,,,,,,,,,,
,,749,,5,,,,,,,0.8662586212158203,0.5074833631515503,0.828000009059906,0.49511709809303284,0.49869170784950256,,,,,,,
1.442986898059786e-05,1.442986898059786e-05,750,,,,,,,,,,,,,,,,,,,,
,,799,0.5037320256233215,6,,,,,,,,,,,,,,,,,,
,,849,0.3055053949356079,6,,,,,,,,,,,,,,,,,,
,,874,,6,0.31250348687171936,0.9595592617988586,0.7531465888023376,0.9539999961853027,0.640948474407196,0.6978493332862854,,,,,,,,,,,,
,,874,,6,,,,,,,0.8914356231689453,0.561735987663269,0.8399999737739563,0.5339464545249939,0.5463870763778687,,,,,,,
1.442986898059786e-05,1.442986898059786e-05,875,,,,,,,,,,,,,,,,,,,,
,,899,0.3586943745613098,7,,,,,,,,,,,,,,,,,,
,,949,0.2653997242450714,7,,,,,,,,,,,,,,,,,,
,,999,0.5483232140541077,7,,,,,,,,,,,,,,,,,,
,,999,,7,0.30582550168037415,0.9547271728515625,0.7593445777893066,0.9559999704360962,0.6703448295593262,0.7212985754013062,,,,,,,,,,,,
,,999,,7,,,,,,,0.8579593896865845,0.5226251482963562,0.8299999833106995,0.5203233361244202,0.5232425928115845,,,,,,,
1.4429868980597862e-06,1.4429868980597862e-06,1000,,,,,,,,,,,,,,,,,,,,
,,1049,0.6098922491073608,8,,,,,,,,,,,,,,,,,,
