lr-Adam/pg1,lr-Adam/pg2,step,train/loss,epoch,val/loss,val/auroc,val/av_prec,val/acc,val/w_acc,val/av_f1,train/auroc,train/av_prec,train/acc,train/w_acc,train/av_f1,test/loss,test/auroc,test/av_prec,test/acc,test/w_acc,test/av_f1,test/bacc
0.0001442986898059786,0.0001442986898059786,0,,,,,,,,,,,,,,,,,,,,
,,49,1.0738801956176758,0,,,,,,,,,,,,,,,,,,
,,99,1.5517542362213135,0,,,,,,,,,,,,,,,,,,
,,149,0.5688413381576538,0,,,,,,,,,,,,,,,,,,
,,156,,0,0.49190425872802734,0.6791146397590637,nan,0.9179999828338623,0.3931506872177124,0.3758693337440491,,,,,,,,,,,,
,,156,,0,,,,,,,0.765405535697937,0.41018396615982056,0.8568000197410583,0.40080922842025757,0.4032215178012848,,,,,,,
0.0001442986898059786,0.0001442986898059786,157,,,,,,,,,,,,,,,,,,,,
,,199,0.392581582069397,1,,,,,,,,,,,,,,,,,,
,,249,1.2412811517715454,1,,,,,,,,,,,,,,,,,,
,,299,2.9871811866760254,1,,,,,,,,,,,,,,,,,,
,,313,,1,0.3942897915840149,0.8155741095542908,nan,0.9300000071525574,0.6134730577468872,0.5919552445411682,,,,,,,,,,,,
,,313,,1,,,,,,,0.869175136089325,nan,0.9143999814987183,0.4836643636226654,0.49965739250183105,,,,,,,
0.0001442986898059786,0.0001442986898059786,314,,,,,,,,,,,,,,,,,,,,
,,349,0.24358849227428436,2,,,,,,,,,,,,,,,,,,
,,399,0.3698369264602661,2,,,,,,,,,,,,,,,,,,
,,449,1.258739948272705,2,,,,,,,,,,,,,,,,,,
,,470,,2,0.31576281785964966,0.8086552023887634,nan,0.9380000233650208,0.5039597749710083,0.5245071649551392,,,,,,,,,,,,
,,470,,2,,,,,,,0.8895372748374939,nan,0.9016000032424927,0.4968198239803314,0.49789848923683167,,,,,,,
0.0001442986898059786,0.0001442986898059786,471,,,,,,,,,,,,,,,,,,,,
,,499,0.30037227272987366,3,,,,,,,,,,,,,,,,,,
,,549,0.34432393312454224,3,,,,,,,,,,,,,,,,,,
,,599,1.9360305070877075,3,,,,,,,,,,,,,,,,,,
,,627,,3,0.4039095342159271,0.7488859295845032,nan,0.9259999990463257,0.4710614085197449,0.4737619459629059,,,,,,,,,,,,
,,627,,3,,,,,,,0.8713205456733704,nan,0.909600019454956,0.510636568069458,0.5033011436462402,,,,,,,
1.442986898059786e-05,1.442986898059786e-05,628,,,,,,,,,,,,,,,,,,,,
,,649,0.3708765506744385,4,,,,,,,,,,,,,,,,,,
,,699,0.9065330624580383,4,,,,,,,,,,,,,,,,,,
,,749,1.1620196104049683,4,,,,,,,,,,,,,,,,,,
,,784,,4,0.2765240967273712,0.8319517374038696,nan,0.9319999814033508,0.5383100509643555,0.5460451245307922,,,,,,,,,,,,
,,784,,4,,,,,,,0.926221489906311,nan,0.9143999814987183,0.5149296522140503,0.5069872140884399,,,,,,,
1.442986898059786e-05,1.442986898059786e-05,785,,,,,,,,,,,,,,,,,,,,
,,799,0.20104403793811798,5,,,,,,,,,,,,,,,,,,
,,849,1.9992365837097168,5,,,,,,,,,,,,,,,,,,
,,899,0.3856830298900604,5,,,,,,,,,,,,,,,,,,
,,941,,5,0.30093470215797424,0.7927067875862122,nan,0.9279999732971191,0.4987550377845764,0.5084731578826904,,,,,,,,,,,,
,,941,,5,,,,,,,0.9228519797325134,nan,0.91839998960495,0.5536037683486938,0.5362453460693359,,,,,,,
1.442986898059786e-05,1.442986898059786e-05,942,,,,,,,,,,,,,,,,,,,,
,,949,1.0893738269805908,6,,,,,,,,,,,,,,,,,,
,,999,0.2692390978336334,6,,,,,,,,,,,,,,,,,,
,,1049,0.295772522687912,6,,,,,,,,,,,,,,,,,,
,,1098,,6,0.2989512085914612,0.8051708340644836,nan,0.9279999732971191,0.49831002950668335,0.5082141160964966,,,,,,,,,,,,
,,1098,,6,,,,,,,0.927684485912323,0.6806247234344482,0.9136000275611877,0.5865388512611389,0.5855771899223328,,,,,,,
1.442986898059786e-05,1.442986898059786e-05,1099,,,,,,,,,,,,,,,,,,,,
,,1099,0.23019076883792877,7,,,,,,,,,,,,,,,,,,
,,1149,0.13912680745124817,7,,,,,,,,,,,,,,,,,,
,,1199,0.16006696224212646,7,,,,,,,,,,,,,,,,,,
,,1249,0.29426348209381104,7,,,,,,,,,,,,,,,,,,
,,1255,,7,0.30128785967826843,0.7971314191818237,nan,0.9240000247955322,0.49649515748023987,0.5034254789352417,,,,,,,,,,,,
,,1255,,7,,,,,,,0.9352827072143555,nan,0.9200000166893005,0.5882855653762817,0.5566603541374207,,,,,,,
1.4429868980597862e-06,1.4429868980597862e-06,1256,,,,,,,,,,,,,,,,,,,,
,,1299,0.4780990183353424,8,,,,,,,,,,,,,,,,,,
,,1349,0.13353082537651062,8,,,,,,,,,,,,,,,,,,
,,1399,0.22895550727844238,8,,,,,,,,,,,,,,,,,,
,,1412,,8,0.294986754655838,0.8267766237258911,nan,0.921999990940094,0.5038715600967407,0.5044436454772949,,,,,,,,,,,,
,,1412,,8,,,,,,,0.9456472396850586,0.6290163397789001,0.9136000275611877,0.6092345118522644,0.5916067957878113,,,,,,,
1.4429868980597862e-06,1.4429868980597862e-06,1413,,,,,,,,,,,,,,,,,,,,
,,1449,0.3875276744365692,9,,,,,,,,,,,,,,,,,,
,,1499,0.9082711935043335,9,,,,,,,,,,,,,,,,,,
,,1549,0.4250257611274719,9,,,,,,,,,,,,,,,,,,
,,1569,,9,0.29928058385849,0.8279571533203125,nan,0.9200000166893005,0.5027416348457336,0.5022729635238647,,,,,,,,,,,,
