lr-Adam/pg1,lr-Adam/pg2,step,val/loss,val/auroc,val/av_prec,val/acc,val/w_acc,val/av_f1,epoch,train/auroc,train/av_prec,train/acc,train/w_acc,train/av_f1,train/loss,test/loss,test/auroc,test/av_prec,test/acc,test/w_acc,test/av_f1,test/bacc
0.0001442986898059786,0.0001442986898059786,0,,,,,,,,,,,,,,,,,,,,
,,12,1.4733834266662598,0.6696670651435852,nan,0.5839999914169312,0.20000000298023224,0.14993581175804138,0,,,,,,,,,,,,,
,,12,,,,,,,0,0.5776418447494507,nan,0.2800000011920929,0.2703535854816437,0.2027289867401123,,,,,,,,
0.0001442986898059786,0.0001442986898059786,13,,,,,,,,,,,,,,,,,,,,
,,25,1.2677472829818726,0.82183438539505,nan,0.8840000033378601,0.41791191697120667,0.4081290364265442,1,,,,,,,,,,,,,
,,25,,,,,,,1,0.7272973656654358,nan,0.5400000214576721,0.29084262251853943,0.2981322109699249,,,,,,,,
0.0001442986898059786,0.0001442986898059786,26,,,,,,,,,,,,,,,,,,,,
,,38,0.8521149754524231,0.8926050066947937,nan,0.9039999842643738,0.44229626655578613,0.4171287417411804,2,,,,,,,,,,,,,
,,38,,,,,,,2,0.761182427406311,nan,0.6600000262260437,0.473177045583725,0.4098953306674957,,,,,,,,
0.0001442986898059786,0.0001442986898059786,39,,,,,,,,,,,,,,,,,,,,
,,49,,,,,,,3,,,,,,0.981521487236023,,,,,,,
,,51,0.6827516555786133,0.9058493971824646,nan,0.9179999828338623,0.4493158459663391,0.42955201864242554,3,,,,,,,,,,,,,
,,51,,,,,,,3,0.7315557599067688,nan,0.6899999976158142,0.3742169141769409,0.37017279863357544,,,,,,,,
1.442986898059786e-05,1.442986898059786e-05,52,,,,,,,,,,,,,,,,,,,,
,,64,0.5316915512084961,0.9149262309074402,nan,0.9340000152587891,0.4368152618408203,0.4401644766330719,4,,,,,,,,,,,,,
,,64,,,,,,,4,0.938271701335907,nan,0.8100000023841858,0.58012855052948,0.5446078181266785,,,,,,,,
1.442986898059786e-05,1.442986898059786e-05,65,,,,,,,,,,,,,,,,,,,,
,,77,0.5032277703285217,0.9189667701721191,nan,0.9319999814033508,0.4172602593898773,0.41574710607528687,5,,,,,,,,,,,,,
,,77,,,,,,,5,0.8374832272529602,0.4871850609779358,0.7200000286102295,0.46310582756996155,0.44647058844566345,,,,,,,,
1.442986898059786e-05,1.442986898059786e-05,78,,,,,,,,,,,,,,,,,,,,
,,90,0.49305444955825806,0.921431839466095,nan,0.9340000152587891,0.43637028336524963,0.4405919909477234,6,,,,,,,,,,,,,
,,90,,,,,,,6,0.88125079870224,nan,0.7799999713897705,0.5021239519119263,0.4728943705558777,,,,,,,,
1.442986898059786e-05,1.442986898059786e-05,91,,,,,,,,,,,,,,,,,,,,
,,99,,,,,,,7,,,,,,0.6232989430427551,,,,,,,
,,103,0.4867977499961853,0.9214321970939636,nan,0.9319999814033508,0.43568530678749084,0.44414839148521423,7,,,,,,,,,,,,,
,,103,,,,,,,7,0.835422933101654,nan,0.75,0.5057414770126343,0.4883245527744293,,,,,,,,
1.4429868980597862e-06,1.4429868980597862e-06,104,,,,,,,,,,,,,,,,,,,,
,,116,0.4873770773410797,0.9217840433120728,nan,0.9300000071525574,0.4354453980922699,0.4391341805458069,8,,,,,,,,,,,,,
,,116,,,,,,,8,0.8357395529747009,nan,0.7900000214576721,0.5590344667434692,0.5406007170677185,,,,,,,,
1.4429868980597862e-06,1.4429868980597862e-06,117,,,,,,,,,,,,,,,,,,,,
,,129,0.47523802518844604,0.92291259765625,nan,0.9319999814033508,0.4361303448677063,0.43997329473495483,9,,,,,,,,,,,,,
,,129,,,,,,,9,0.9266952872276306,nan,0.7599999904632568,0.516171932220459,0.4957661032676697,,,,,,,,
1.4429868980597862e-06,1.4429868980597862e-06,130,,,,,,,,,,,,,,,,,,,,
,,142,0.4695063829421997,0.9233466386795044,nan,0.9340000152587891,0.4359252452850342,0.4452578127384186,10,,,,,,,,,,,,,
,,142,,,,,,,10,0.9323549270629883,nan,0.8199999928474426,0.5681162476539612,0.5579866170883179,,,,,,,,
1.4429868980597862e-06,1.4429868980597862e-06,143,,,,,,,,,,,,,,,,,,,,
,,149,,,,,,,11,,,,,,0.8121680021286011,,,,,,,
,,155,0.47943079471588135,0.9231996536254883,nan,0.9319999814033508,0.43524032831192017,0.44441738724708557,11,,,,,,,,,,,,,
,,155,,,,,,,11,0.8774358630180359,0.5603323578834534,0.800000011920929,0.5754773616790771,0.5383843779563904,,,,,,,,
1.4429868980597863e-07,1.4429868980597863e-07,156,,,,,,,,,,,,,,,,,,,,
,,168,0.47833019495010376,0.9226611256599426,nan,0.9319999814033508,0.43568530678749084,0.44414839148521423,12,,,,,,,,,,,,,
,,168,,,,,,,12,0.8595250248908997,nan,0.7900000214576721,0.5356841087341309,0.49795976281166077,,,,,,,,
1.4429868980597863e-07,1.4429868980597863e-07,169,,,,,,,,,,,,,,,,,,,,
,,181,0.4832945466041565,0.9234104156494141,nan,0.9319999814033508,0.43568530678749084,0.44414839148521423,13,,,,,,,,,,,,,
,,181,,,,,,,13,0.9208683967590332,nan,0.7799999713897705,0.519694983959198,0.4865485727787018,,,,,,,,
1.4429868980597863e-07,1.4429868980597863e-07,182,,,,,,,,,,,,,,,,,,,,
,,194,0.4756001830101013,0.9234365820884705,nan,0.9340000152587891,0.4359252452850342,0.4452578127384186,14,,,,,,,,,,,,,
,,194,,,,,,,14,0.9170584082603455,nan,0.7900000214576721,0.5181130170822144,0.4781949520111084,,,,,,,,
1.4429868980597863e-07,1.4429868980597863e-07,195,,,,,,,,,,,,,,,,,,,,
,,199,,,,,,,15,,,,,,0.7116109132766724,,,,,,,
,,207,0.4664149880409241,0.924185574054718,nan,0.9319999814033508,0.43524032831192017,0.44441738724708557,15,,,,,,,,,,,,,
,,207,,,,,,,15,0.8402208685874939,nan,0.75,0.4883973002433777,0.4497486650943756,,,,,,,,
1.4429868980597864e-08,1.4429868980597864e-08,208,,,,,,,,,,,,,,,,,,,,
,,220,0.4824184775352478,0.9235638976097107,nan,0.9279999732971191,0.43431544303894043,0.4385673403739929,16,,,,,,,,,,,,,
,,220,,,,,,,16,0.8935878872871399,nan,0.7699999809265137,0.47570428252220154,0.46679314970970154,,,,,,,,
,,221,,,,,,,17,,,,,,,0.6561273336410522,0.8594066500663757,nan,0.9150000214576721,0.44159215688705444,0.42532283067703247,0.44159218668937683
