lr-Adam/pg1,lr-Adam/pg2,step,val/loss,val/auroc,val/av_prec,val/acc,val/w_acc,val/av_f1,epoch,train/auroc,train/av_prec,train/acc,train/w_acc,train/av_f1,train/loss,test/loss,test/auroc,test/av_prec,test/acc,test/w_acc,test/av_f1,test/bacc
0.0001442986898059786,0.0001442986898059786,0,,,,,,,,,,,,,,,,,,,,
,,12,1.6020346879959106,0.6316903233528137,nan,0.3540000021457672,0.20000000298023224,0.10457901656627655,0,,,,,,,,,,,,,
,,12,,,,,,,0,0.7763204574584961,0.4528956413269043,0.5,0.4996759295463562,0.3677397668361664,,,,,,,,
0.0001442986898059786,0.0001442986898059786,13,,,,,,,,,,,,,,,,,,,,
,,25,1.4072307348251343,0.5997850298881531,nan,0.4659999907016754,0.2379111498594284,0.1807393580675125,1,,,,,,,,,,,,,
,,25,,,,,,,1,0.7077121138572693,nan,0.6800000071525574,0.5075463056564331,0.4146503806114197,,,,,,,,
0.0001442986898059786,0.0001442986898059786,26,,,,,,,,,,,,,,,,,,,,
,,38,1.0621236562728882,0.6477424502372742,nan,0.7540000081062317,0.35828590393066406,0.36500242352485657,2,,,,,,,,,,,,,
,,38,,,,,,,2,0.8552806973457336,0.43952178955078125,0.7799999713897705,0.4340972304344177,0.41404038667678833,,,,,,,,
0.0001442986898059786,0.0001442986898059786,39,,,,,,,,,,,,,,,,,,,,
,,49,,,,,,,3,,,,,,0.5518675446510315,,,,,,,
,,51,1.022515892982483,0.6004552245140076,nan,0.765999972820282,0.34475821256637573,0.33882075548171997,3,,,,,,,,,,,,,
,,51,,,,,,,3,0.8684889078140259,nan,0.7400000095367432,0.45847219228744507,0.41996946930885315,,,,,,,,
1.442986898059786e-05,1.442986898059786e-05,52,,,,,,,,,,,,,,,,,,,,
,,64,0.7833991050720215,0.7191913723945618,nan,0.6579999923706055,0.29056984186172485,0.2707034945487976,4,,,,,,,,,,,,,
