lr-Adam/pg1,lr-Adam/pg2,step,val/loss,val/acc,epoch,train/acc,train/loss,test/loss,test/acc,test/bacc
0.0001442986898059786,0.0001442986898059786,0,,,,,,,,
,,31,0.7368850708007812,0.7599999904632568,0,,,,,
,,31,,,0,0.7599999904632568,,,,
0.0001442986898059786,0.0001442986898059786,32,,,,,,,,
,,49,,,1,,0.1602121740579605,,,
,,63,0.6113452315330505,0.800000011920929,1,,,,,
,,63,,,1,0.8799999952316284,,,,
0.0001442986898059786,0.0001442986898059786,64,,,,,,,,
,,95,0.6189538836479187,0.800000011920929,2,,,,,
,,95,,,2,0.8920000195503235,,,,
0.0001442986898059786,0.0001442986898059786,96,,,,,,,,
,,99,,,3,,0.3364028334617615,,,
,,127,0.5803563594818115,0.800000011920929,3,,,,,
,,127,,,3,0.9039999842643738,,,,
1.442986898059786e-05,1.442986898059786e-05,128,,,,,,,,
,,149,,,4,,0.3237990140914917,,,
,,159,0.5739781856536865,0.800000011920929,4,,,,,
,,159,,,4,0.9120000004768372,,,,
1.442986898059786e-05,1.442986898059786e-05,160,,,,,,,,
,,191,0.5802268385887146,0.800000011920929,5,,,,,
,,191,,,5,0.9160000085830688,,,,
1.442986898059786e-05,1.442986898059786e-05,192,,,,,,,,
,,199,,,6,,0.06526055186986923,,,
,,223,0.6088747978210449,0.800000011920929,6,,,,,
,,223,,,6,0.9079999923706055,,,,
1.442986898059786e-05,1.442986898059786e-05,224,,,,,,,,
,,249,,,7,,0.10002298653125763,,,
,,255,0.5648841857910156,0.800000011920929,7,,,,,
,,255,,,7,0.9039999842643738,,,,
1.4429868980597862e-06,1.4429868980597862e-06,256,,,,,,,,
,,287,0.5678936243057251,0.800000011920929,8,,,,,
,,287,,,8,0.9120000004768372,,,,
1.4429868980597862e-06,1.4429868980597862e-06,288,,,,,,,,
,,299,,,9,,0.3001401126384735,,,
,,319,0.5782629251480103,0.800000011920929,9,,,,,
,,319,,,9,0.9200000166893005,,,,
1.4429868980597862e-06,1.4429868980597862e-06,320,,,,,,,,
,,349,,,10,,0.2325979471206665,,,
,,351,0.5679094791412354,0.800000011920929,10,,,,,
,,351,,,10,0.9120000004768372,,,,
1.4429868980597862e-06,1.4429868980597862e-06,352,,,,,,,,
,,383,0.5990265011787415,0.800000011920929,11,,,,,
,,383,,,11,0.9279999732971191,,,,
1.4429868980597863e-07,1.4429868980597863e-07,384,,,,,,,,
,,399,,,12,,0.1033048927783966,,,
,,415,0.5832645297050476,0.800000011920929,12,,,,,
,,415,,,12,0.9039999842643738,,,,
1.4429868980597863e-07,1.4429868980597863e-07,416,,,,,,,,
,,447,0.5759825706481934,0.800000011920929,13,,,,,
,,447,,,13,0.9240000247955322,,,,
1.4429868980597863e-07,1.4429868980597863e-07,448,,,,,,,,
,,449,,,14,,0.06714430451393127,,,
,,479,0.610630989074707,0.800000011920929,14,,,,,
,,479,,,14,0.8920000195503235,,,,
1.4429868980597863e-07,1.4429868980597863e-07,480,,,,,,,,
,,499,,,15,,0.16651058197021484,,,
,,511,0.5812529921531677,0.800000011920929,15,,,,,
,,511,,,15,0.9079999923706055,,,,
1.4429868980597864e-08,1.4429868980597864e-08,512,,,,,,,,
,,543,0.588143527507782,0.800000011920929,16,,,,,
,,543,,,16,0.9200000166893005,,,,
,,544,,,17,,,0.2948495149612427,0.9131110906600952,0.3865143954753876
