lr-Adam/pg1,lr-Adam/pg2,step,val/loss,val/auroc,val/av_prec,val/acc,val/w_acc,val/av_f1,epoch,train/auroc,train/av_prec,train/acc,train/w_acc,train/av_f1,train/loss,test/loss,test/auroc,test/av_prec,test/acc,test/w_acc,test/av_f1,test/bacc
0.0001442986898059786,0.0001442986898059786,0,,,,,,,,,,,,,,,,,,,,
,,18,1.3645861148834229,0.6752642393112183,nan,0.3540000021457672,0.20000000298023224,0.10457901656627655,0,,,,,,,,,,,,,
,,18,,,,,,,0,0.5304790735244751,nan,0.4333333373069763,0.2433003932237625,0.2125157117843628,,,,,,,,
0.0001442986898059786,0.0001442986898059786,19,,,,,,,,,,,,,,,,,,,,
,,37,0.7967242002487183,0.8781988024711609,nan,0.9100000262260437,0.38952094316482544,0.37267887592315674,1,,,,,,,,,,,,,
,,37,,,,,,,1,0.7239190340042114,nan,0.6133333444595337,0.3721626400947571,0.3637551963329315,,,,,,,,
0.0001442986898059786,0.0001442986898059786,38,,,,,,,,,,,,,,,,,,,,
,,49,,,,,,,2,,,,,,0.7847111225128174,,,,,,,
,,56,0.4553675949573517,0.8741049766540527,nan,0.9279999732971191,0.3956853151321411,0.3801029324531555,2,,,,,,,,,,,,,
,,56,,,,,,,2,0.7725577354431152,nan,0.653333306312561,0.3734189569950104,0.3503439128398895,,,,,,,,
0.0001442986898059786,0.0001442986898059786,57,,,,,,,,,,,,,,,,,,,,
,,75,0.38490477204322815,0.8927878737449646,nan,0.9440000057220459,0.5166101455688477,0.5190725922584534,3,,,,,,,,,,,,,
,,75,,,,,,,3,0.8317155838012695,nan,0.6733333468437195,0.3793337047100067,0.34995216131210327,,,,,,,,
1.442986898059786e-05,1.442986898059786e-05,76,,,,,,,,,,,,,,,,,,,,
,,94,0.3470322787761688,0.9092618823051453,nan,0.9359999895095825,0.4375001788139343,0.4492504596710205,4,,,,,,,,,,,,,
,,94,,,,,,,4,0.7975109219551086,nan,0.6800000071525574,0.3980180621147156,0.37978607416152954,,,,,,,,
1.442986898059786e-05,1.442986898059786e-05,95,,,,,,,,,,,,,,,,,,,,
,,99,,,,,,,5,,,,,,0.6810461282730103,,,,,,,
,,113,0.356894850730896,0.9015496373176575,nan,0.9340000152587891,0.43637028336524963,0.44355612993240356,5,,,,,,,,,,,,,
,,113,,,,,,,5,0.8500745892524719,nan,0.7266666889190674,0.4504636824131012,0.44874686002731323,,,,,,,,
1.442986898059786e-05,1.442986898059786e-05,114,,,,,,,,,,,,,,,,,,,,
,,132,0.3532634675502777,0.9049189686775208,nan,0.9419999718666077,0.49705520272254944,0.5094666481018066,6,,,,,,,,,,,,,
,,132,,,,,,,6,0.8337993621826172,nan,0.7400000095367432,0.4509175419807434,0.43492579460144043,,,,,,,,
1.442986898059786e-05,1.442986898059786e-05,133,,,,,,,,,,,,,,,,,,,,
,,149,,,,,,,7,,,,,,0.5960421562194824,,,,,,,
,,151,0.32891613245010376,0.9065374732017517,nan,0.9380000233650208,0.457500159740448,0.475375235080719,7,,,,,,,,,,,,,
,,151,,,,,,,7,0.8469335436820984,nan,0.7266666889190674,0.44370976090431213,0.42900991439819336,,,,,,,,
1.4429868980597862e-06,1.4429868980597862e-06,152,,,,,,,,,,,,,,,,,,,,
,,170,0.3247467875480652,0.9073547720909119,nan,0.9440000057220459,0.49818509817123413,0.5182115435600281,8,,,,,,,,,,,,,
,,170,,,,,,,8,0.8548397421836853,nan,0.7333333492279053,0.4524054527282715,0.4392344355583191,,,,,,,,
1.4429868980597862e-06,1.4429868980597862e-06,171,,,,,,,,,,,,,,,,,,,,
,,189,0.3291459083557129,0.9059379696846008,nan,0.9419999718666077,0.47818511724472046,0.4986724853515625,9,,,,,,,,,,,,,
,,189,,,,,,,9,0.8281590342521667,nan,0.746666669845581,0.4646075367927551,0.45027661323547363,,,,,,,,
1.4429868980597862e-06,1.4429868980597862e-06,190,,,,,,,,,,,,,,,,,,,,
,,199,,,,,,,10,,,,,,0.6899324059486389,,,,,,,
,,208,0.32908833026885986,0.9084147810935974,nan,0.9440000057220459,0.5170552134513855,0.5259814858436584,10,,,,,,,,,,,,,
,,208,,,,,,,10,0.8422908782958984,nan,0.7400000095367432,0.4559768736362457,0.44236597418785095,,,,,,,,
1.4429868980597862e-06,1.4429868980597862e-06,209,,,,,,,,,,,,,,,,,,,,
,,227,0.32856065034866333,0.9057133793830872,nan,0.9440000057220459,0.49818509817123413,0.5182115435600281,11,,,,,,,,,,,,,
,,227,,,,,,,11,0.8452984094619751,nan,0.7666666507720947,0.4602738320827484,0.44229164719581604,,,,,,,,
1.4429868980597863e-07,1.4429868980597863e-07,228,,,,,,,,,,,,,,,,,,,,
,,246,0.328891396522522,0.9078351855278015,nan,0.9399999976158142,0.47750020027160645,0.49783945083618164,12,,,,,,,,,,,,,
,,246,,,,,,,12,0.8193117380142212,nan,0.7200000286102295,0.4400084614753723,0.4232015609741211,,,,,,,,
1.4429868980597863e-07,1.4429868980597863e-07,247,,,,,,,,,,,,,,,,,,,,
,,249,,,,,,,13,,,,,,0.9179680943489075,,,,,,,
,,265,0.3298463821411133,0.9060735106468201,nan,0.9399999976158142,0.47750020027160645,0.49783945083618164,13,,,,,,,,,,,,,
,,265,,,,,,,13,0.8471124768257141,nan,0.7733333110809326,0.4740287661552429,0.457685649394989,,,,,,,,
1.4429868980597863e-07,1.4429868980597863e-07,266,,,,,,,,,,,,,,,,,,,,
,,284,0.32312121987342834,0.9057702422142029,nan,0.9399999976158142,0.47750020027160645,0.49783945083618164,14,,,,,,,,,,,,,
,,284,,,,,,,14,0.8638208508491516,nan,0.7066666483879089,0.41755786538124084,0.4001089930534363,,,,,,,,
1.4429868980597863e-07,1.4429868980597863e-07,285,,,,,,,,,,,,,,,,,,,,
,,299,,,,,,,15,,,,,,0.7492386102676392,,,,,,,
,,303,0.3232373595237732,0.9053789377212524,nan,0.9419999718666077,0.47818511724472046,0.4986724853515625,15,,,,,,,,,,,,,
,,303,,,,,,,15,0.8531975150108337,nan,0.7200000286102295,0.41970640420913696,0.3968415856361389,,,,,,,,
1.4429868980597864e-08,1.4429868980597864e-08,304,,,,,,,,,,,,,,,,,,,,
,,322,0.33022063970565796,0.9068161845207214,nan,0.9440000057220459,0.5170552134513855,0.5259814858436584,16,,,,,,,,,,,,,
,,322,,,,,,,16,0.880671501159668,nan,0.7933333516120911,0.48993223905563354,0.47302350401878357,,,,,,,,
,,323,,,,,,,17,,,,,,,0.3542260229587555,0.8438091278076172,nan,0.9350000023841858,0.48895278573036194,0.48149219155311584,0.48895275592803955
