lr-Adam/pg1,lr-Adam/pg2,step,val/loss,val/acc,epoch,train/acc,train/loss,test/loss,test/acc,test/bacc
0.0001442986898059786,0.0001442986898059786,0,,,,,,,,
,,9,1.580910325050354,0.4098360538482666,0,,,,,
,,9,,,0,0.54666668176651,,,,
0.0001442986898059786,0.0001442986898059786,10,,,,,,,,
,,19,1.374140977859497,0.7868852615356445,1,,,,,
,,19,,,1,0.7866666913032532,,,,
0.0001442986898059786,0.0001442986898059786,20,,,,,,,,
,,29,0.9121597409248352,0.8032786846160889,2,,,,,
,,29,,,2,0.8133333325386047,,,,
0.0001442986898059786,0.0001442986898059786,30,,,,,,,,
,,39,0.7292420864105225,0.7704917788505554,3,,,,,
,,39,,,3,0.8399999737739563,,,,
1.442986898059786e-05,1.442986898059786e-05,40,,,,,,,,
,,49,,,4,,0.5979874730110168,,,
,,49,0.6210711598396301,0.8196721076965332,4,,,,,
,,49,,,4,0.8533333539962769,,,,
1.442986898059786e-05,1.442986898059786e-05,50,,,,,,,,
,,59,0.5731450915336609,0.8196721076965332,5,,,,,
,,59,,,5,0.8266666531562805,,,,
1.442986898059786e-05,1.442986898059786e-05,60,,,,,,,,
,,69,0.5625483989715576,0.8196721076965332,6,,,,,
,,69,,,6,0.8533333539962769,,,,
1.442986898059786e-05,1.442986898059786e-05,70,,,,,,,,
,,79,0.5552898645401001,0.8196721076965332,7,,,,,
,,79,,,7,0.8533333539962769,,,,
1.4429868980597862e-06,1.4429868980597862e-06,80,,,,,,,,
,,89,0.5511283278465271,0.8196721076965332,8,,,,,
,,89,,,8,0.8666666746139526,,,,
1.4429868980597862e-06,1.4429868980597862e-06,90,,,,,,,,
,,99,,,9,,0.20684266090393066,,,
,,99,0.5551731586456299,0.8196721076965332,9,,,,,
,,99,,,9,0.9200000166893005,,,,
1.4429868980597862e-06,1.4429868980597862e-06,100,,,,,,,,
,,109,0.5535379648208618,0.8196721076965332,10,,,,,
,,109,,,10,0.8799999952316284,,,,
1.4429868980597862e-06,1.4429868980597862e-06,110,,,,,,,,
,,119,0.5544543862342834,0.8196721076965332,11,,,,,
,,119,,,11,0.8799999952316284,,,,
1.4429868980597863e-07,1.4429868980597863e-07,120,,,,,,,,
,,129,0.5517886281013489,0.8196721076965332,12,,,,,
,,129,,,12,0.8799999952316284,,,,
1.4429868980597863e-07,1.4429868980597863e-07,130,,,,,,,,
,,139,0.5538820028305054,0.8196721076965332,13,,,,,
,,139,,,13,0.9066666960716248,,,,
1.4429868980597863e-07,1.4429868980597863e-07,140,,,,,,,,
,,149,,,14,,0.49630507826805115,,,
,,149,0.5546992421150208,0.8196721076965332,14,,,,,
,,149,,,14,0.8666666746139526,,,,
1.4429868980597863e-07,1.4429868980597863e-07,150,,,,,,,,
,,159,0.5611888766288757,0.8196721076965332,15,,,,,
,,159,,,15,0.9066666960716248,,,,
1.4429868980597864e-08,1.4429868980597864e-08,160,,,,,,,,
,,169,0.5602954626083374,0.8196721076965332,16,,,,,
,,169,,,16,0.8799999952316284,,,,
,,170,,,17,,,0.3669952154159546,0.933555543422699,0.42859888076782227
