lr-Adam/pg1,lr-Adam/pg2,step,val/loss,val/acc,epoch,train/acc,train/loss,test/loss,test/acc,test/bacc
0.0001442986898059786,0.0001442986898059786,0,,,,,,,,
,,3,1.6142042875289917,0.4000000059604645,0,,,,,
,,3,,,0,0.6800000071525574,,,,
0.0001442986898059786,0.0001442986898059786,4,,,,,,,,
,,7,1.5572413206100464,0.4000000059604645,1,,,,,
,,7,,,1,0.6399999856948853,,,,
0.0001442986898059786,0.0001442986898059786,8,,,,,,,,
,,11,1.4894077777862549,0.4000000059604645,2,,,,,
,,11,,,2,0.7599999904632568,,,,
0.0001442986898059786,0.0001442986898059786,12,,,,,,,,
,,15,1.4084255695343018,0.7200000286102295,3,,,,,
,,15,,,3,0.8399999737739563,,,,
1.442986898059786e-05,1.442986898059786e-05,16,,,,,,,,
,,19,1.3403507471084595,0.7200000286102295,4,,,,,
,,19,,,4,0.8799999952316284,,,,
1.442986898059786e-05,1.442986898059786e-05,20,,,,,,,,
,,23,1.2727261781692505,0.699999988079071,5,,,,,
,,23,,,5,0.8399999737739563,,,,
1.442986898059786e-05,1.442986898059786e-05,24,,,,,,,,
,,27,1.1890459060668945,0.7400000095367432,6,,,,,
,,27,,,6,0.7599999904632568,,,,
1.442986898059786e-05,1.442986898059786e-05,28,,,,,,,,
,,31,1.1101717948913574,0.7599999904632568,7,,,,,
,,31,,,7,0.8799999952316284,,,,
1.4429868980597862e-06,1.4429868980597862e-06,32,,,,,,,,
,,35,1.0651037693023682,0.7599999904632568,8,,,,,
,,35,,,8,0.8399999737739563,,,,
1.4429868980597862e-06,1.4429868980597862e-06,36,,,,,,,,
,,39,1.0274863243103027,0.7599999904632568,9,,,,,
,,39,,,9,0.8799999952316284,,,,
1.4429868980597862e-06,1.4429868980597862e-06,40,,,,,,,,
,,43,1.012890100479126,0.7599999904632568,10,,,,,
,,43,,,10,0.8399999737739563,,,,
1.4429868980597862e-06,1.4429868980597862e-06,44,,,,,,,,
,,47,0.9987626075744629,0.7400000095367432,11,,,,,
,,47,,,11,0.8399999737739563,,,,
1.4429868980597863e-07,1.4429868980597863e-07,48,,,,,,,,
,,49,,,12,,0.6461880803108215,,,
,,51,0.9984577894210815,0.699999988079071,12,,,,,
,,51,,,12,0.8399999737739563,,,,
1.4429868980597863e-07,1.4429868980597863e-07,52,,,,,,,,
,,55,0.9887679815292358,0.7200000286102295,13,,,,,
,,55,,,13,0.800000011920929,,,,
1.4429868980597863e-07,1.4429868980597863e-07,56,,,,,,,,
,,59,0.9796302318572998,0.7400000095367432,14,,,,,
,,59,,,14,0.8799999952316284,,,,
1.4429868980597863e-07,1.4429868980597863e-07,60,,,,,,,,
,,63,0.9741724133491516,0.7400000095367432,15,,,,,
,,63,,,15,0.8799999952316284,,,,
1.4429868980597864e-08,1.4429868980597864e-08,64,,,,,,,,
,,67,0.9736700654029846,0.7400000095367432,16,,,,,
,,67,,,16,0.8799999952316284,,,,
,,68,,,17,,,0.8804622292518616,0.8744444251060486,0.36964261531829834
