lr-Adam/pg1,lr-Adam/pg2,step,val/loss,val/auroc,val/av_prec,val/acc,val/w_acc,val/av_f1,epoch,train/auroc,train/av_prec,train/acc,train/w_acc,train/av_f1,train/loss,test/loss,test/auroc,test/av_prec,test/acc,test/w_acc,test/av_f1,test/bacc
0.0001442986898059786,0.0001442986898059786,0,,,,,,,,,,,,,,,,,,,,
,,24,1.192111611366272,0.704411506652832,nan,0.9340000152587891,0.39863014221191406,0.38266557455062866,0,,,,,,,,,,,,,
,,24,,,,,,,0,0.5656394362449646,0.2592313587665558,0.49000000953674316,0.28014233708381653,0.25932449102401733,,,,,,,,
0.0001442986898059786,0.0001442986898059786,25,,,,,,,,,,,,,,,,,,,,
,,49,,,,,,,1,,,,,,1.1529403924942017,,,,,,,
,,49,0.4684184193611145,0.8312110900878906,nan,0.9340000152587891,0.39863014221191406,0.38266557455062866,1,,,,,,,,,,,,,
,,49,,,,,,,1,0.7098867297172546,nan,0.625,0.334176242351532,0.28633052110671997,,,,,,,,
0.0001442986898059786,0.0001442986898059786,50,,,,,,,,,,,,,,,,,,,,
,,74,0.5112962126731873,0.8558153510093689,nan,0.9319999814033508,0.3970552086830139,0.38202348351478577,2,,,,,,,,,,,,,
,,74,,,,,,,2,0.7433499693870544,nan,0.6549999713897705,0.35971540212631226,0.31693848967552185,,,,,,,,
0.0001442986898059786,0.0001442986898059786,75,,,,,,,,,,,,,,,,,,,,
,,99,,,,,,,3,,,,,,1.255741834640503,,,,,,,
,,99,0.3078594505786896,0.8397412300109863,nan,0.9340000152587891,0.39863014221191406,0.38266557455062866,3,,,,,,,,,,,,,
,,99,,,,,,,3,0.7276017069816589,nan,0.6700000166893005,0.3700602054595947,0.32419130206108093,,,,,,,,
1.442986898059786e-05,1.442986898059786e-05,100,,,,,,,,,,,,,,,,,,,,
,,124,0.313020795583725,0.8792834281921387,nan,0.9380000233650208,0.4000000059604645,0.3844662308692932,4,,,,,,,,,,,,,
,,124,,,,,,,4,0.863912045955658,nan,0.6800000071525574,0.37401968240737915,0.33525797724723816,,,,,,,,
1.442986898059786e-05,1.442986898059786e-05,125,,,,,,,,,,,,,,,,,,,,
,,149,,,,,,,5,,,,,,0.45890018343925476,,,,,,,
,,149,0.3456818759441376,0.8631210327148438,nan,0.9380000233650208,0.4000000059604645,0.3844662308692932,5,,,,,,,,,,,,,
,,149,,,,,,,5,0.7838250398635864,nan,0.6899999976158142,0.37566882371902466,0.3304682970046997,,,,,,,,
1.442986898059786e-05,1.442986898059786e-05,150,,,,,,,,,,,,,,,,,,,,
,,174,0.327545702457428,0.8619775176048279,nan,0.9359999895095825,0.398870050907135,0.38356536626815796,6,,,,,,,,,,,,,
,,174,,,,,,,6,0.8270773887634277,nan,0.7099999785423279,0.3894619345664978,0.33940112590789795,,,,,,,,
1.442986898059786e-05,1.442986898059786e-05,175,,,,,,,,,,,,,,,,,,,,
,,199,,,,,,,7,,,,,,0.4539315104484558,,,,,,,
,,199,0.3503562808036804,0.8274523019790649,nan,0.9380000233650208,0.4000000059604645,0.38417381048202515,7,,,,,,,,,,,,,
,,199,,,,,,,7,0.8298249244689941,nan,0.7099999785423279,0.39513957500457764,0.3574144244194031,,,,,,,,
1.4429868980597862e-06,1.4429868980597862e-06,200,,,,,,,,,,,,,,,,,,,,
,,224,0.3317629098892212,0.8477700352668762,nan,0.9380000233650208,0.4000000059604645,0.38417381048202515,8,,,,,,,,,,,,,
,,224,,,,,,,8,0.8470317125320435,nan,0.699999988079071,0.3914361894130707,0.361724317073822,,,,,,,,
1.4429868980597862e-06,1.4429868980597862e-06,225,,,,,,,,,,,,,,,,,,,,
,,249,,,,,,,9,,,,,,1.022798776626587,,,,,,,
,,249,0.3219150900840759,0.8599487543106079,nan,0.9380000233650208,0.4000000059604645,0.38417381048202515,9,,,,,,,,,,,,,
,,249,,,,,,,9,0.8365451097488403,nan,0.7099999785423279,0.39833274483680725,0.3670610189437866,,,,,,,,
1.4429868980597862e-06,1.4429868980597862e-06,250,,,,,,,,,,,,,,,,,,,,
