lr-Adam/pg1,lr-Adam/pg2,step,val/loss,val/acc,epoch,train/acc,train/loss,test/loss,test/acc,test/bacc
0.0001442986898059786,0.0001442986898059786,0,,,,,,,,
,,31,0.995746374130249,0.699999988079071,0,,,,,
,,31,,,0,0.7720000147819519,,,,
0.0001442986898059786,0.0001442986898059786,32,,,,,,,,
,,49,,,1,,0.20583975315093994,,,
,,63,0.6480039954185486,0.7799999713897705,1,,,,,
,,63,,,1,0.8999999761581421,,,,
0.0001442986898059786,0.0001442986898059786,64,,,,,,,,
,,95,0.7332488298416138,0.7400000095367432,2,,,,,
,,95,,,2,0.9200000166893005,,,,
0.0001442986898059786,0.0001442986898059786,96,,,,,,,,
,,99,,,3,,0.38647690415382385,,,
,,127,0.6151134967803955,0.7799999713897705,3,,,,,
,,127,,,3,0.8999999761581421,,,,
1.442986898059786e-05,1.442986898059786e-05,128,,,,,,,,
,,149,,,4,,0.07164766639471054,,,
,,159,0.6476907134056091,0.7599999904632568,4,,,,,
,,159,,,4,0.9079999923706055,,,,
1.442986898059786e-05,1.442986898059786e-05,160,,,,,,,,
,,191,0.6186811923980713,0.7799999713897705,5,,,,,
,,191,,,5,0.9200000166893005,,,,
1.442986898059786e-05,1.442986898059786e-05,192,,,,,,,,
,,199,,,6,,0.0705040842294693,,,
,,223,0.5910640954971313,0.800000011920929,6,,,,,
,,223,,,6,0.9279999732971191,,,,
1.442986898059786e-05,1.442986898059786e-05,224,,,,,,,,
,,249,,,7,,0.348835289478302,,,
,,255,0.6001805663108826,0.800000011920929,7,,,,,
,,255,,,7,0.9240000247955322,,,,
1.4429868980597862e-06,1.4429868980597862e-06,256,,,,,,,,
,,287,0.586101770401001,0.800000011920929,8,,,,,
,,287,,,8,0.9160000085830688,,,,
1.4429868980597862e-06,1.4429868980597862e-06,288,,,,,,,,
,,299,,,9,,0.07840535789728165,,,
,,319,0.5817685127258301,0.800000011920929,9,,,,,
,,319,,,9,0.9200000166893005,,,,
1.4429868980597862e-06,1.4429868980597862e-06,320,,,,,,,,
,,349,,,10,,0.06521552056074142,,,
,,351,0.5906062126159668,0.800000011920929,10,,,,,
,,351,,,10,0.9240000247955322,,,,
1.4429868980597862e-06,1.4429868980597862e-06,352,,,,,,,,
,,383,0.5901458859443665,0.800000011920929,11,,,,,
,,383,,,11,0.9200000166893005,,,,
1.4429868980597863e-07,1.4429868980597863e-07,384,,,,,,,,
,,399,,,12,,0.08966843783855438,,,
,,415,0.5846120715141296,0.800000011920929,12,,,,,
,,415,,,12,0.9200000166893005,,,,
1.4429868980597863e-07,1.4429868980597863e-07,416,,,,,,,,
,,447,0.5958774089813232,0.800000011920929,13,,,,,
,,447,,,13,0.9200000166893005,,,,
1.4429868980597863e-07,1.4429868980597863e-07,448,,,,,,,,
,,449,,,14,,0.06809648871421814,,,
,,479,0.5957515239715576,0.800000011920929,14,,,,,
,,479,,,14,0.9240000247955322,,,,
1.4429868980597863e-07,1.4429868980597863e-07,480,,,,,,,,
,,499,,,15,,0.05432320013642311,,,
,,511,0.5854442715644836,0.800000011920929,15,,,,,
,,511,,,15,0.9279999732971191,,,,
1.4429868980597864e-08,1.4429868980597864e-08,512,,,,,,,,
,,543,0.5846982002258301,0.800000011920929,16,,,,,
,,543,,,16,0.9279999732971191,,,,
,,544,,,17,,,0.24098841845989227,0.9315555691719055,0.39715325832366943
