lr-Adam/pg1,lr-Adam/pg2,step,val/loss,val/auroc,val/av_prec,val/acc,val/w_acc,val/av_f1,epoch,train/auroc,train/av_prec,train/acc,train/w_acc,train/av_f1,train/loss,test/loss,test/auroc,test/av_prec,test/acc,test/w_acc,test/av_f1,test/bacc
0.0001442986898059786,0.0001442986898059786,0,,,,,,,,,,,,,,,,,,,,
,,12,1.6150867938995361,0.5519387125968933,nan,0.019999999552965164,0.20000000298023224,0.007843137718737125,0,,,,,,,,,,,,,
,,12,,,,,,,0,0.6163712739944458,nan,0.3199999928474426,0.29671716690063477,0.24012413620948792,,,,,,,,
0.0001442986898059786,0.0001442986898059786,13,,,,,,,,,,,,,,,,,,,,
,,25,1.5582205057144165,0.6177665591239929,nan,0.3540000021457672,0.30935996770858765,0.1779295951128006,1,,,,,,,,,,,,,
,,25,,,,,,,1,0.6873673796653748,0.4297316074371338,0.44999998807907104,0.42353540658950806,0.38749298453330994,,,,,,,,
0.0001442986898059786,0.0001442986898059786,26,,,,,,,,,,,,,,,,,,,,
,,38,1.397390365600586,0.6959732174873352,nan,0.46000000834465027,0.35322657227516174,0.23050089180469513,2,,,,,,,,,,,,,
,,38,,,,,,,2,0.7540532350540161,0.46311646699905396,0.5099999904632568,0.43259018659591675,0.38514435291290283,,,,,,,,
0.0001442986898059786,0.0001442986898059786,39,,,,,,,,,,,,,,,,,,,,
,,49,,,,,,,3,,,,,,1.3014910221099854,,,,,,,
,,51,0.9850295782089233,0.7400814890861511,0.40294140577316284,0.6740000247955322,0.36666053533554077,0.30371588468551636,3,,,,,,,,,,,,,
,,51,,,,,,,3,0.7713019847869873,0.5184985399246216,0.5799999833106995,0.5045742988586426,0.48759278655052185,,,,,,,,
1.442986898059786e-05,1.442986898059786e-05,52,,,,,,,,,,,,,,,,,,,,
,,64,0.9537548422813416,0.746792733669281,0.41039061546325684,0.6740000247955322,0.3850082755088806,0.32279929518699646,4,,,,,,,,,,,,,
,,64,,,,,,,4,0.8157721757888794,0.5431833267211914,0.6100000143051147,0.5988744497299194,0.5583709478378296,,,,,,,,
1.442986898059786e-05,1.442986898059786e-05,65,,,,,,,,,,,,,,,,,,,,
,,77,0.9298141598701477,0.747024416923523,0.41609686613082886,0.6880000233650208,0.3929179012775421,0.33699554204940796,5,,,,,,,,,,,,,
,,77,,,,,,,5,0.8296769261360168,0.5726318359375,0.6600000262260437,0.5957720279693604,0.5606160163879395,,,,,,,,
1.442986898059786e-05,1.442986898059786e-05,78,,,,,,,,,,,,,,,,,,,,
,,90,0.9103969931602478,0.7452432513237,0.41990113258361816,0.6959999799728394,0.39699265360832214,0.35079464316368103,6,,,,,,,,,,,,,
,,90,,,,,,,6,0.8557119369506836,0.567338228225708,0.6499999761581421,0.5768759250640869,0.5536487698554993,,,,,,,,
1.442986898059786e-05,1.442986898059786e-05,91,,,,,,,,,,,,,,,,,,,,
,,99,,,,,,,7,,,,,,1.4549640417099,,,,,,,
,,103,0.831171452999115,0.7700967192649841,0.4244329333305359,0.6899999976158142,0.39315780997276306,0.3493610918521881,7,,,,,,,,,,,,,
,,103,,,,,,,7,0.8462010622024536,0.5053822994232178,0.5899999737739563,0.4779004156589508,0.46117910742759705,,,,,,,,
1.4429868980597862e-06,1.4429868980597862e-06,104,,,,,,,,,,,,,,,,,,,,
,,116,0.8523908257484436,0.7617473602294922,0.4216576814651489,0.6899999976158142,0.39360281825065613,0.34685018658638,8,,,,,,,,,,,,,
,,116,,,,,,,8,0.8422775268554688,0.5743646025657654,0.6299999952316284,0.5475108027458191,0.5365086793899536,,,,,,,,
1.4429868980597862e-06,1.4429868980597862e-06,117,,,,,,,,,,,,,,,,,,,,
,,129,0.8538604378700256,0.7573341131210327,0.4247976541519165,0.7059999704360962,0.4026423394680023,0.35927215218544006,9,,,,,,,,,,,,,
,,129,,,,,,,9,0.877522885799408,0.5687975883483887,0.6700000166893005,0.5610173344612122,0.539094090461731,,,,,,,,
1.4429868980597862e-06,1.4429868980597862e-06,130,,,,,,,,,,,,,,,,,,,,
,,142,0.8472565412521362,0.7685145735740662,0.4228847026824951,0.6759999990463257,0.38561588525772095,0.33522194623947144,10,,,,,,,,,,,,,
,,142,,,,,,,10,0.8528351783752441,0.5520553588867188,0.5899999737739563,0.5315512418746948,0.512662410736084,,,,,,,,
1.4429868980597862e-06,1.4429868980597862e-06,143,,,,,,,,,,,,,,,,,,,,
,,149,,,,,,,11,,,,,,0.9738049507141113,,,,,,,
,,155,0.8575202226638794,0.7692083716392517,0.42191416025161743,0.6759999990463257,0.38561588525772095,0.33522194623947144,11,,,,,,,,,,,,,
,,155,,,,,,,11,0.8249130249023438,0.5239326357841492,0.6299999952316284,0.4803679585456848,0.4619571268558502,,,,,,,,
1.4429868980597863e-07,1.4429868980597863e-07,156,,,,,,,,,,,,,,,,,,,,
,,168,0.8706374168395996,0.7658644318580627,0.4251268208026886,0.6779999732971191,0.405615895986557,0.3446047902107239,12,,,,,,,,,,,,,
,,168,,,,,,,12,0.8575018048286438,0.5949482321739197,0.7200000286102295,0.6403824090957642,0.6168943643569946,,,,,,,,
1.4429868980597863e-07,1.4429868980597863e-07,169,,,,,,,,,,,,,,,,,,,,
,,181,0.8587965965270996,0.7623707056045532,0.4238491654396057,0.6919999718666077,0.375862717628479,0.3474617004394531,13,,,,,,,,,,,,,
,,181,,,,,,,13,0.8635503053665161,0.616991400718689,0.6600000262260437,0.5772799253463745,0.5577726364135742,,,,,,,,
1.4429868980597863e-07,1.4429868980597863e-07,182,,,,,,,,,,,,,,,,,,,,
,,194,0.8589449524879456,0.7651088833808899,0.42584845423698425,0.6840000152587891,0.3807393014431,0.3454180359840393,14,,,,,,,,,,,,,
,,194,,,,,,,14,0.8327563405036926,0.5670585632324219,0.6299999952316284,0.5793434381484985,0.5388197898864746,,,,,,,,
1.4429868980597863e-07,1.4429868980597863e-07,195,,,,,,,,,,,,,,,,,,,,
,,199,,,,,,,15,,,,,,1.230843424797058,,,,,,,
,,207,0.8549111485481262,0.7699609994888306,0.4295768737792969,0.6779999732971191,0.3867458403110504,0.3468937277793884,15,,,,,,,,,,,,,
,,207,,,,,,,15,0.8996681571006775,0.6008480787277222,0.6499999761581421,0.6033982634544373,0.5544224977493286,,,,,,,,
1.4429868980597864e-08,1.4429868980597864e-08,208,,,,,,,,,,,,,,,,,,,,
,,220,0.8565649390220642,0.7682890892028809,0.42360830307006836,0.6800000071525574,0.3784794211387634,0.338582307100296,16,,,,,,,,,,,,,
,,220,,,,,,,16,0.8368997573852539,0.5323082804679871,0.6000000238418579,0.5207575559616089,0.4939046800136566,,,,,,,,
,,221,,,,,,,17,,,,,,,0.8597988486289978,0.7963010668754578,0.42978256940841675,0.6890000104904175,0.40932542085647583,0.3536173105239868,0.40932542085647583
