lr-Adam/pg1,lr-Adam/pg2,step,val/loss,val/acc,epoch,train/acc,train/loss,test/loss,test/acc,test/bacc
0.0001442986898059786,0.0001442986898059786,0,,,,,,,,
,,18,1.3677051067352295,0.5178571343421936,0,,,,,
,,18,,,0,0.41999998688697815,,,,
0.0001442986898059786,0.0001442986898059786,19,,,,,,,,
,,37,0.6407313942909241,0.875,1,,,,,
,,37,,,1,0.8333333134651184,,,,
0.0001442986898059786,0.0001442986898059786,38,,,,,,,,
,,49,,,2,,0.21921096742153168,,,
,,56,0.5377142429351807,0.8571428656578064,2,,,,,
,,56,,,2,0.8600000143051147,,,,
0.0001442986898059786,0.0001442986898059786,57,,,,,,,,
,,75,0.39339661598205566,0.875,3,,,,,
,,75,,,3,0.8733333349227905,,,,
1.442986898059786e-05,1.442986898059786e-05,76,,,,,,,,
,,94,0.40999120473861694,0.875,4,,,,,
,,94,,,4,0.8866666555404663,,,,
1.442986898059786e-05,1.442986898059786e-05,95,,,,,,,,
,,99,,,5,,0.12327174842357635,,,
,,113,0.3893483579158783,0.875,5,,,,,
,,113,,,5,0.8266666531562805,,,,
1.442986898059786e-05,1.442986898059786e-05,114,,,,,,,,
,,132,0.3836454451084137,0.875,6,,,,,
,,132,,,6,0.8999999761581421,,,,
1.442986898059786e-05,1.442986898059786e-05,133,,,,,,,,
,,149,,,7,,0.521257758140564,,,
,,151,0.35278695821762085,0.8928571343421936,7,,,,,
,,151,,,7,0.9066666960716248,,,,
1.4429868980597862e-06,1.4429868980597862e-06,152,,,,,,,,
,,170,0.3513631224632263,0.8928571343421936,8,,,,,
,,170,,,8,0.9066666960716248,,,,
1.4429868980597862e-06,1.4429868980597862e-06,171,,,,,,,,
,,189,0.35448354482650757,0.875,9,,,,,
,,189,,,9,0.9066666960716248,,,,
1.4429868980597862e-06,1.4429868980597862e-06,190,,,,,,,,
,,199,,,10,,0.5132836103439331,,,
,,208,0.3631618618965149,0.875,10,,,,,
,,208,,,10,0.9066666960716248,,,,
1.4429868980597862e-06,1.4429868980597862e-06,209,,,,,,,,
,,227,0.3591737151145935,0.875,11,,,,,
,,227,,,11,0.8866666555404663,,,,
1.4429868980597863e-07,1.4429868980597863e-07,228,,,,,,,,
,,246,0.3407740890979767,0.8928571343421936,12,,,,,
,,246,,,12,0.9133333563804626,,,,
1.4429868980597863e-07,1.4429868980597863e-07,247,,,,,,,,
,,249,,,13,,0.32049664855003357,,,
,,265,0.34818509221076965,0.8928571343421936,13,,,,,
,,265,,,13,0.9200000166893005,,,,
1.4429868980597863e-07,1.4429868980597863e-07,266,,,,,,,,
,,284,0.3545530140399933,0.875,14,,,,,
,,284,,,14,0.9066666960716248,,,,
1.4429868980597863e-07,1.4429868980597863e-07,285,,,,,,,,
,,299,,,15,,0.7722768783569336,,,
,,303,0.3476766049861908,0.8928571343421936,15,,,,,
,,303,,,15,0.8933333158493042,,,,
1.4429868980597864e-08,1.4429868980597864e-08,304,,,,,,,,
,,322,0.35006412863731384,0.875,16,,,,,
,,322,,,16,0.8999999761581421,,,,
,,323,,,17,,,0.2654303014278412,0.9306666851043701,0.39781615138053894
