lr-Adam/pg1,lr-Adam/pg2,step,train/loss,epoch,val/loss,val/auroc,val/av_prec,val/acc,val/w_acc,val/av_f1,train/auroc,train/av_prec,train/acc,train/w_acc,train/av_f1,test/loss,test/auroc,test/av_prec,test/acc,test/w_acc,test/av_f1,test/bacc
0.0001442986898059786,0.0001442986898059786,0,,,,,,,,,,,,,,,,,,,,
,,49,0.823695957660675,0,,,,,,,,,,,,,,,,,,
,,49,,0,0.4262741208076477,0.8753485679626465,nan,0.9240000247955322,0.392090380191803,0.378775417804718,,,,,,,,,,,,
,,49,,0,,,,,,,0.6573860049247742,0.35868823528289795,0.6000000238418579,0.3462352156639099,0.34208399057388306,,,,,,,
0.0001442986898059786,0.0001442986898059786,50,,,,,,,,,,,,,,,,,,,,
,,99,0.8273556232452393,1,,,,,,,,,,,,,,,,,,
,,99,,1,0.28164026141166687,0.840533435344696,nan,0.9399999976158142,0.43916043639183044,0.45385438203811646,,,,,,,,,,,,
,,99,,1,,,,,,,0.8038854002952576,nan,0.7425000071525574,0.39576512575149536,0.3812205195426941,,,,,,,
0.0001442986898059786,0.0001442986898059786,100,,,,,,,,,,,,,,,,,,,,
,,149,0.39850425720214844,2,,,,,,,,,,,,,,,,,,
,,149,,2,0.31536710262298584,0.900311291217804,nan,0.9359999895095825,0.44629693031311035,0.4510869085788727,,,,,,,,,,,,
,,149,,2,,,,,,,0.8181897401809692,nan,0.7549999952316284,0.40838533639907837,0.3941211700439453,,,,,,,
0.0001442986898059786,0.0001442986898059786,150,,,,,,,,,,,,,,,,,,,,
,,199,0.16625386476516724,3,,,,,,,,,,,,,,,,,,
,,199,,3,0.231173574924469,0.9001294374465942,nan,0.9459999799728394,0.47037166357040405,0.49959373474121094,,,,,,,,,,,,
,,199,,3,,,,,,,0.8270936012268066,nan,0.7875000238418579,0.4426245093345642,0.43208616971969604,,,,,,,
1.442986898059786e-05,1.442986898059786e-05,200,,,,,,,,,,,,,,,,,,,,
,,249,0.9353537559509277,4,,,,,,,,,,,,,,,,,,
,,249,,4,0.22216837108135223,0.9042760133743286,nan,0.9440000057220459,0.4503716826438904,0.4628928601741791,,,,,,,,,,,,
,,249,,4,,,,,,,0.8814720511436462,nan,0.7950000166893005,0.468254953622818,0.4521307945251465,,,,,,,
1.442986898059786e-05,1.442986898059786e-05,250,,,,,,,,,,,,,,,,,,,,
,,299,0.19294999539852142,5,,,,,,,,,,,,,,,,,,
