lr-Adam/pg1,lr-Adam/pg2,step,val/loss,val/auroc,val/av_prec,val/acc,val/w_acc,val/av_f1,epoch,train/auroc,train/av_prec,train/acc,train/w_acc,train/av_f1,train/loss,test/loss,test/auroc,test/av_prec,test/acc,test/w_acc,test/av_f1,test/bacc
0.0001442986898059786,0.0001442986898059786,0,,,,,,,,,,,,,,,,,,,,
,,24,1.3364676237106323,0.7274669408798218,nan,0.7440000176429749,0.3854897618293762,0.36424654722213745,0,,,,,,,,,,,,,
,,24,,,,,,,0,0.4808329641819,0.28722116351127625,0.5049999952316284,0.26907533407211304,0.2727711796760559,,,,,,,,
0.0001442986898059786,0.0001442986898059786,25,,,,,,,,,,,,,,,,,,,,
,,49,,,,,,,1,,,,,,1.1358630657196045,,,,,,,
,,49,0.6626031398773193,0.805764377117157,0.555943489074707,0.9100000262260437,0.4697154462337494,0.4724704623222351,1,,,,,,,,,,,,,
,,49,,,,,,,1,0.8114411234855652,nan,0.6100000143051147,0.3850172758102417,0.3633812367916107,,,,,,,,
0.0001442986898059786,0.0001442986898059786,50,,,,,,,,,,,,,,,,,,,,
,,74,0.700941801071167,0.7652878165245056,nan,0.8960000276565552,0.4950447678565979,0.5070865750312805,2,,,,,,,,,,,,,
,,74,,,,,,,2,0.825156033039093,0.5604484677314758,0.7950000166893005,0.6511490941047668,0.6032968163490295,,,,,,,,
0.0001442986898059786,0.0001442986898059786,75,,,,,,,,,,,,,,,,,,,,
,,99,,,,,,,3,,,,,,0.8259910941123962,,,,,,,
,,99,0.4957641065120697,0.8494780659675598,0.5299234390258789,0.9079999923706055,0.506770670413971,0.5188011527061462,3,,,,,,,,,,,,,
,,99,,,,,,,3,0.855738639831543,nan,0.7799999713897705,0.5583856105804443,0.5109821557998657,,,,,,,,
1.442986898059786e-05,1.442986898059786e-05,100,,,,,,,,,,,,,,,,,,,,
,,124,0.4893457293510437,0.85499507188797,0.5216161608695984,0.906000018119812,0.4867706894874573,0.4941118657588959,4,,,,,,,,,,,,,
,,124,,,,,,,4,0.8673874735832214,0.5526161193847656,0.7250000238418579,0.5802320241928101,0.5337857007980347,,,,,,,,
1.442986898059786e-05,1.442986898059786e-05,125,,,,,,,,,,,,,,,,,,,,
,,149,,,,,,,5,,,,,,0.7284703850746155,,,,,,,
,,149,0.5030229091644287,0.8368778228759766,0.5244359970092773,0.906000018119812,0.4867706894874573,0.4933062195777893,5,,,,,,,,,,,,,
,,149,,,,,,,5,0.9029636383056641,0.5938230752944946,0.7799999713897705,0.6200339198112488,0.585423469543457,,,,,,,,
1.442986898059786e-05,1.442986898059786e-05,150,,,,,,,,,,,,,,,,,,,,
,,174,0.4554038941860199,0.8433206677436829,0.5359410047531128,0.9100000262260437,0.507455587387085,0.5203369855880737,6,,,,,,,,,,,,,
,,174,,,,,,,6,0.9422255754470825,0.6889665722846985,0.8050000071525574,0.7110639810562134,0.6690778732299805,,,,,,,,
1.442986898059786e-05,1.442986898059786e-05,175,,,,,,,,,,,,,,,,,,,,
,,199,,,,,,,7,,,,,,1.2493598461151123,,,,,,,
,,199,0.4509817063808441,0.8491695523262024,0.5217401385307312,0.9100000262260437,0.507455587387085,0.515139102935791,7,,,,,,,,,,,,,
,,199,,,,,,,7,0.9133622050285339,0.6360057592391968,0.800000011920929,0.6742454171180725,0.6255757808685303,,,,,,,,
1.4429868980597862e-06,1.4429868980597862e-06,200,,,,,,,,,,,,,,,,,,,,
,,224,0.4442143440246582,0.8410183191299438,0.5105117559432983,0.9079999923706055,0.4874556064605713,0.4909123480319977,8,,,,,,,,,,,,,
,,224,,,,,,,8,0.9491073489189148,0.6453787684440613,0.8050000071525574,0.6785612106323242,0.6215048432350159,,,,,,,,
1.4429868980597862e-06,1.4429868980597862e-06,225,,,,,,,,,,,,,,,,,,,,
,,249,,,,,,,9,,,,,,0.9798552989959717,,,,,,,
,,249,0.43569865822792053,0.842078685760498,0.5280203223228455,0.9079999923706055,0.4874556064605713,0.49564772844314575,9,,,,,,,,,,,,,
,,249,,,,,,,9,0.9345019459724426,0.6421063542366028,0.8199999928474426,0.7082155346870422,0.6395943760871887,,,,,,,,
1.4429868980597862e-06,1.4429868980597862e-06,250,,,,,,,,,,,,,,,,,,,,
,,274,0.43879562616348267,0.8513336181640625,0.5224298238754272,0.9100000262260437,0.507455587387085,0.515139102935791,10,,,,,,,,,,,,,
,,274,,,,,,,10,0.9233318567276001,0.6596795320510864,0.8299999833106995,0.6639319658279419,0.6410402655601501,,,,,,,,
1.4429868980597862e-06,1.4429868980597862e-06,275,,,,,,,,,,,,,,,,,,,,
,,299,,,,,,,11,,,,,,0.7608347535133362,,,,,,,
,,299,0.4462837278842926,0.8504318594932556,0.5218453407287598,0.9100000262260437,0.507455587387085,0.5142858624458313,11,,,,,,,,,,,,,
,,299,,,,,,,11,0.9181421399116516,0.6593658328056335,0.8100000023841858,0.7498432397842407,0.6653746366500854,,,,,,,,
1.4429868980597863e-07,1.4429868980597863e-07,300,,,,,,,,,,,,,,,,,,,,
,,324,0.44295525550842285,0.8459758758544922,0.5217600464820862,0.9100000262260437,0.507455587387085,0.5142858624458313,12,,,,,,,,,,,,,
,,324,,,,,,,12,0.9333597421646118,0.7231956720352173,0.8050000071525574,0.7290837168693542,0.6882778406143188,,,,,,,,
1.4429868980597863e-07,1.4429868980597863e-07,325,,,,,,,,,,,,,,,,,,,,
,,349,,,,,,,13,,,,,,0.7383894324302673,,,,,,,
,,349,0.4420287311077118,0.8442491888999939,0.5277745127677917,0.9079999923706055,0.4874556064605713,0.49479445815086365,13,,,,,,,,,,,,,
,,349,,,,,,,13,0.936132550239563,0.5763723850250244,0.7850000262260437,0.6346590518951416,0.5672811269760132,,,,,,,,
1.4429868980597863e-07,1.4429868980597863e-07,350,,,,,,,,,,,,,,,,,,,,
,,374,0.4439307451248169,0.8437681198120117,0.5216450095176697,0.9100000262260437,0.507455587387085,0.5142858624458313,14,,,,,,,,,,,,,
,,374,,,,,,,14,0.9372460246086121,0.6068315505981445,0.7850000262260437,0.6518610715866089,0.5767424702644348,,,,,,,,
1.4429868980597863e-07,1.4429868980597863e-07,375,,,,,,,,,,,,,,,,,,,,
,,399,,,,,,,15,,,,,,0.8593155145645142,,,,,,,
,,399,0.45574751496315,0.8408021926879883,0.5273669958114624,0.9079999923706055,0.4874556064605713,0.49479445815086365,15,,,,,,,,,,,,,
,,399,,,,,,,15,0.9381008148193359,0.6460126638412476,0.8450000286102295,0.6713916063308716,0.6480258107185364,,,,,,,,
1.4429868980597864e-08,1.4429868980597864e-08,400,,,,,,,,,,,,,,,,,,,,
,,424,0.44158345460891724,0.84698885679245,0.5115556716918945,0.9079999923706055,0.4874556064605713,0.4909123480319977,16,,,,,,,,,,,,,
,,424,,,,,,,16,0.9084740877151489,0.6328030824661255,0.8100000023841858,0.6790223121643066,0.6167929172515869,,,,,,,,
,,425,,,,,,,17,,,,,,,0.4197002649307251,0.8127021789550781,0.5057910680770874,0.921999990940094,0.46204710006713867,0.47184619307518005,0.46204710006713867
