lr-Adam/pg1,lr-Adam/pg2,step,val/loss,val/acc,epoch,train/acc,train/loss,test/loss,test/acc,test/bacc
0.0001442986898059786,0.0001442986898059786,0,,,,,,,,
,,43,0.40383318066596985,0.8928571343421936,0,,,,,
,,43,,,0,0.8142856955528259,,,,
0.0001442986898059786,0.0001442986898059786,44,,,,,,,,
,,49,,,1,,0.6133179664611816,,,
,,87,0.3555721938610077,0.8928571343421936,1,,,,,
,,87,,,1,0.9085714221000671,,,,
0.0001442986898059786,0.0001442986898059786,88,,,,,,,,
,,99,,,2,,0.08334198594093323,,,
,,131,0.37524154782295227,0.8928571343421936,2,,,,,
,,131,,,2,0.9085714221000671,,,,
0.0001442986898059786,0.0001442986898059786,132,,,,,,,,
,,149,,,3,,0.07242778688669205,,,
,,175,0.38204512000083923,0.8928571343421936,3,,,,,
,,175,,,3,0.9114285707473755,,,,
1.442986898059786e-05,1.442986898059786e-05,176,,,,,,,,
,,199,,,4,,0.4320470988750458,,,
,,219,0.32793691754341125,0.8928571343421936,4,,,,,
,,219,,,4,0.9114285707473755,,,,
1.442986898059786e-05,1.442986898059786e-05,220,,,,,,,,
,,249,,,5,,0.06221520155668259,,,
,,263,0.3126470744609833,0.8928571343421936,5,,,,,
,,263,,,5,0.9228571653366089,,,,
1.442986898059786e-05,1.442986898059786e-05,264,,,,,,,,
,,299,,,6,,0.2641834616661072,,,
,,307,0.2981320023536682,0.8928571343421936,6,,,,,
,,307,,,6,0.9314285516738892,,,,
1.442986898059786e-05,1.442986898059786e-05,308,,,,,,,,
,,349,,,7,,0.16474956274032593,,,
,,351,0.2986774444580078,0.8928571343421936,7,,,,,
,,351,,,7,0.9200000166893005,,,,
1.4429868980597862e-06,1.4429868980597862e-06,352,,,,,,,,
,,395,0.2944672405719757,0.8928571343421936,8,,,,,
,,395,,,8,0.9314285516738892,,,,
1.4429868980597862e-06,1.4429868980597862e-06,396,,,,,,,,
,,399,,,9,,0.7381607294082642,,,
,,439,0.29406800866127014,0.8928571343421936,9,,,,,
,,439,,,9,0.9257143139839172,,,,
1.4429868980597862e-06,1.4429868980597862e-06,440,,,,,,,,
,,449,,,10,,0.2663177251815796,,,
,,483,0.2917366623878479,0.8928571343421936,10,,,,,
,,483,,,10,0.9228571653366089,,,,
1.4429868980597862e-06,1.4429868980597862e-06,484,,,,,,,,
,,499,,,11,,0.14563697576522827,,,
,,527,0.29505637288093567,0.8928571343421936,11,,,,,
,,527,,,11,0.9257143139839172,,,,
1.4429868980597863e-07,1.4429868980597863e-07,528,,,,,,,,
,,549,,,12,,0.08619779348373413,,,
,,571,0.2982010543346405,0.8928571343421936,12,,,,,
,,571,,,12,0.9257143139839172,,,,
1.4429868980597863e-07,1.4429868980597863e-07,572,,,,,,,,
,,599,,,13,,0.04787299782037735,,,
,,615,0.28934627771377563,0.8928571343421936,13,,,,,
,,615,,,13,0.9257143139839172,,,,
1.4429868980597863e-07,1.4429868980597863e-07,616,,,,,,,,
,,649,,,14,,0.7847670912742615,,,
,,659,0.28899016976356506,0.8928571343421936,14,,,,,
,,659,,,14,0.9342857003211975,,,,
1.4429868980597863e-07,1.4429868980597863e-07,660,,,,,,,,
,,699,,,15,,0.11059925705194473,,,
,,703,0.28547403216362,0.8928571343421936,15,,,,,
,,703,,,15,0.9314285516738892,,,,
1.4429868980597864e-08,1.4429868980597864e-08,704,,,,,,,,
,,747,0.29324859380722046,0.8928571343421936,16,,,,,
,,747,,,16,0.9285714030265808,,,,
,,748,,,17,,,0.30784085392951965,0.9173333048820496,0.3891526162624359
