lr-Adam/pg1,lr-Adam/pg2,step,val/loss,val/acc,epoch,train/acc,train/loss,test/loss,test/acc,test/bacc
0.0001442986898059786,0.0001442986898059786,0,,,,,,,,
,,24,1.0691311359405518,0.7400000095367432,0,,,,,
,,24,,,0,0.7599999904632568,,,,
0.0001442986898059786,0.0001442986898059786,25,,,,,,,,
,,49,,,1,,0.34119436144828796,,,
,,49,0.7536718845367432,0.7799999713897705,1,,,,,
,,49,,,1,0.8550000190734863,,,,
0.0001442986898059786,0.0001442986898059786,50,,,,,,,,
,,74,0.6265474557876587,0.800000011920929,2,,,,,
,,74,,,2,0.8500000238418579,,,,
0.0001442986898059786,0.0001442986898059786,75,,,,,,,,
,,99,,,3,,0.05797286331653595,,,
,,99,0.6498993039131165,0.800000011920929,3,,,,,
,,99,,,3,0.8999999761581421,,,,
1.442986898059786e-05,1.442986898059786e-05,100,,,,,,,,
,,124,0.6448060870170593,0.800000011920929,4,,,,,
,,124,,,4,0.9150000214576721,,,,
1.442986898059786e-05,1.442986898059786e-05,125,,,,,,,,
,,149,,,5,,0.09371604025363922,,,
,,149,0.6301890015602112,0.800000011920929,5,,,,,
,,149,,,5,0.9100000262260437,,,,
1.442986898059786e-05,1.442986898059786e-05,150,,,,,,,,
,,174,0.5984066128730774,0.800000011920929,6,,,,,
,,174,,,6,0.9049999713897705,,,,
1.442986898059786e-05,1.442986898059786e-05,175,,,,,,,,
,,199,,,7,,0.0535719096660614,,,
,,199,0.5921233892440796,0.800000011920929,7,,,,,
,,199,,,7,0.9150000214576721,,,,
1.4429868980597862e-06,1.4429868980597862e-06,200,,,,,,,,
,,224,0.5985398888587952,0.800000011920929,8,,,,,
,,224,,,8,0.9150000214576721,,,,
1.4429868980597862e-06,1.4429868980597862e-06,225,,,,,,,,
,,249,,,9,,0.07353508472442627,,,
,,249,0.5940095782279968,0.800000011920929,9,,,,,
,,249,,,9,0.9150000214576721,,,,
1.4429868980597862e-06,1.4429868980597862e-06,250,,,,,,,,
,,274,0.5937178134918213,0.800000011920929,10,,,,,
,,274,,,10,0.9200000166893005,,,,
1.4429868980597862e-06,1.4429868980597862e-06,275,,,,,,,,
,,299,,,11,,0.10557948052883148,,,
,,299,0.5871549844741821,0.800000011920929,11,,,,,
,,299,,,11,0.9150000214576721,,,,
1.4429868980597863e-07,1.4429868980597863e-07,300,,,,,,,,
,,324,0.5888252258300781,0.800000011920929,12,,,,,
,,324,,,12,0.9100000262260437,,,,
1.4429868980597863e-07,1.4429868980597863e-07,325,,,,,,,,
,,349,,,13,,0.4313361346721649,,,
,,349,0.5920637249946594,0.800000011920929,13,,,,,
,,349,,,13,0.9049999713897705,,,,
1.4429868980597863e-07,1.4429868980597863e-07,350,,,,,,,,
,,374,0.6038244962692261,0.800000011920929,14,,,,,
,,374,,,14,0.925000011920929,,,,
1.4429868980597863e-07,1.4429868980597863e-07,375,,,,,,,,
,,399,,,15,,0.08379670977592468,,,
,,399,0.5921348333358765,0.800000011920929,15,,,,,
,,399,,,15,0.9200000166893005,,,,
1.4429868980597864e-08,1.4429868980597864e-08,400,,,,,,,,
,,424,0.5942457318305969,0.800000011920929,16,,,,,
,,424,,,16,0.9200000166893005,,,,
,,425,,,17,,,0.2584584653377533,0.9304444193840027,0.3967229723930359
