lr-Adam/pg1,lr-Adam/pg2,step,val/loss,val/auroc,val/av_prec,val/acc,val/w_acc,val/av_f1,epoch,train/auroc,train/av_prec,train/acc,train/w_acc,train/av_f1,train/loss,test/loss,test/auroc,test/av_prec,test/acc,test/w_acc,test/av_f1,test/bacc
0.0001442986898059786,0.0001442986898059786,0,,,,,,,,,,,,,,,,,,,,
,,31,1.3096147775650024,0.7257028222084045,nan,0.9039999842643738,0.40002870559692383,0.3963586986064911,0,,,,,,,,,,,,,
,,31,,,,,,,0,0.5856385231018066,0.3017149567604065,0.4560000002384186,0.29739445447921753,0.2829282879829407,,,,,,,,
0.0001442986898059786,0.0001442986898059786,32,,,,,,,,,,,,,,,,,,,,
,,49,,,,,,,1,,,,,,0.8916526436805725,,,,,,,
,,63,0.6982009410858154,0.854495644569397,0.4476096034049988,0.7440000176429749,0.4602259695529938,0.34430640935897827,1,,,,,,,,,,,,,
,,63,,,,,,,1,0.7972719669342041,0.44975465536117554,0.6639999747276306,0.44337502121925354,0.4296117424964905,,,,,,,,
0.0001442986898059786,0.0001442986898059786,64,,,,,,,,,,,,,,,,,,,,
,,95,0.590914249420166,0.8354440927505493,nan,0.6980000138282776,0.33151641488075256,0.3010541796684265,2,,,,,,,,,,,,,
,,95,,,,,,,2,0.8426101803779602,0.5239754915237427,0.7200000286102295,0.5744000673294067,0.5521379709243774,,,,,,,,
0.0001442986898059786,0.0001442986898059786,96,,,,,,,,,,,,,,,,,,,,
,,99,,,,,,,3,,,,,,0.7503972053527832,,,,,,,
,,127,0.709015965461731,0.8320547342300415,0.4519621729850769,0.6499999761581421,0.378542959690094,0.3404850959777832,3,,,,,,,,,,,,,
,,127,,,,,,,3,0.8730008006095886,0.514866828918457,0.7400000095367432,0.5138806104660034,0.48788899183273315,,,,,,,,
1.442986898059786e-05,1.442986898059786e-05,128,,,,,,,,,,,,,,,,,,,,
,,149,,,,,,,4,,,,,,1.2064483165740967,,,,,,,
,,159,0.777154803276062,0.8158348202705383,0.4619200825691223,0.6340000033378601,0.3797898292541504,0.34458643198013306,4,,,,,,,,,,,,,
,,159,,,,,,,4,0.8821458220481873,0.5136118531227112,0.7080000042915344,0.5764535069465637,0.505340039730072,,,,,,,,
1.442986898059786e-05,1.442986898059786e-05,160,,,,,,,,,,,,,,,,,,,,
,,191,0.735806405544281,0.8244920969009399,0.46264365315437317,0.6299999952316284,0.39639997482299805,0.34992367029190063,5,,,,,,,,,,,,,
,,191,,,,,,,5,0.8845844268798828,0.5882416367530823,0.7239999771118164,0.6546238660812378,0.5581523180007935,,,,,,,,
1.442986898059786e-05,1.442986898059786e-05,192,,,,,,,,,,,,,,,,,,,,
,,199,,,,,,,6,,,,,,1.0728009939193726,,,,,,,
,,223,0.6913195848464966,0.8288397789001465,0.47301653027534485,0.6380000114440918,0.4197898507118225,0.36510026454925537,6,,,,,,,,,,,,,
,,223,,,,,,,6,0.9022666811943054,0.5751513242721558,0.7319999933242798,0.6675063371658325,0.5728310346603394,,,,,,,,
1.442986898059786e-05,1.442986898059786e-05,224,,,,,,,,,,,,,,,,,,,,
,,249,,,,,,,7,,,,,,0.6969739198684692,,,,,,,
,,255,0.6214041709899902,0.8305748105049133,0.4723597764968872,0.7160000205039978,0.4356685280799866,0.3976697027683258,7,,,,,,,,,,,,,
,,255,,,,,,,7,0.9333525896072388,0.6497985124588013,0.7960000038146973,0.7429502606391907,0.6524463891983032,,,,,,,,
1.4429868980597862e-06,1.4429868980597862e-06,256,,,,,,,,,,,,,,,,,,,,
,,287,0.6320380568504333,0.8352680206298828,0.47743523120880127,0.6940000057220459,0.43263548612594604,0.3910994827747345,8,,,,,,,,,,,,,
,,287,,,,,,,8,0.9171679615974426,0.5687261819839478,0.7440000176429749,0.6092379689216614,0.5430940389633179,,,,,,,,
1.4429868980597862e-06,1.4429868980597862e-06,288,,,,,,,,,,,,,,,,,,,,
,,299,,,,,,,9,,,,,,0.49155908823013306,,,,,,,
,,319,0.6420372128486633,0.8244512677192688,0.4803394079208374,0.6840000152587891,0.42698580026626587,0.3926512598991394,9,,,,,,,,,,,,,
,,319,,,,,,,9,0.9188701510429382,0.5773802995681763,0.7919999957084656,0.585389256477356,0.5450473427772522,,,,,,,,
1.4429868980597862e-06,1.4429868980597862e-06,320,,,,,,,,,,,,,,,,,,,,
,,349,,,,,,,10,,,,,,0.9441198110580444,,,,,,,
,,351,0.6399925351142883,0.8308680653572083,0.47820159792900085,0.6700000166893005,0.419076144695282,0.3815678358078003,10,,,,,,,,,,,,,
,,351,,,,,,,10,0.9255651831626892,0.6589673757553101,0.7839999794960022,0.6975136995315552,0.627458930015564,,,,,,,,
1.4429868980597862e-06,1.4429868980597862e-06,352,,,,,,,,,,,,,,,,,,,,
,,383,0.6123651266098022,0.8284819722175598,0.4761980175971985,0.7319999933242798,0.4352343678474426,0.4056544303894043,11,,,,,,,,,,,,,
,,383,,,,,,,11,0.9189280867576599,0.6402591466903687,0.8040000200271606,0.6925932765007019,0.6459396481513977,,,,,,,,
1.4429868980597863e-07,1.4429868980597863e-07,384,,,,,,,,,,,,,,,,,,,,
,,399,,,,,,,12,,,,,,0.48067107796669006,,,,,,,
,,415,0.6439087390899658,0.8243986368179321,0.4754268527030945,0.7080000042915344,0.44054508209228516,0.39750900864601135,12,,,,,,,,,,,,,
,,415,,,,,,,12,0.9268280267715454,0.6457242965698242,0.800000011920929,0.745598316192627,0.6592122316360474,,,,,,,,
1.4429868980597863e-07,1.4429868980597863e-07,416,,,,,,,,,,,,,,,,,,,,
,,447,0.6260266304016113,0.8240019679069519,0.47749489545822144,0.7039999961853027,0.4005451202392578,0.3846677541732788,13,,,,,,,,,,,,,
,,447,,,,,,,13,0.9171045422554016,0.5882622003555298,0.7440000176429749,0.6225206255912781,0.5422183871269226,,,,,,,,
1.4429868980597863e-07,1.4429868980597863e-07,448,,,,,,,,,,,,,,,,,,,,
,,449,,,,,,,14,,,,,,0.45982009172439575,,,,,,,
,,479,0.6092706918716431,0.8352605700492859,0.478736937046051,0.671999990940094,0.42020612955093384,0.38293856382369995,14,,,,,,,,,,,,,
,,479,,,,,,,14,0.9250239729881287,0.6542782783508301,0.7919999957084656,0.6951907277107239,0.6150006651878357,,,,,,,,
1.4429868980597863e-07,1.4429868980597863e-07,480,,,,,,,,,,,,,,,,,,,,
,,499,,,,,,,15,,,,,,0.7441896796226501,,,,,,,
,,511,0.6260340213775635,0.8333708047866821,0.48175495862960815,0.6980000138282776,0.43489542603492737,0.3985324501991272,15,,,,,,,,,,,,,
,,511,,,,,,,15,0.909390389919281,0.5673900842666626,0.7599999904632568,0.6228457689285278,0.5565082430839539,,,,,,,,
1.4429868980597864e-08,1.4429868980597864e-08,512,,,,,,,,,,,,,,,,,,,,
,,543,0.6050200462341309,0.8320960998535156,0.4726495146751404,0.6779999732971191,0.3858558237552643,0.36543822288513184,16,,,,,,,,,,,,,
,,543,,,,,,,16,0.9245869517326355,0.6342024207115173,0.7879999876022339,0.6941550970077515,0.610209584236145,,,,,,,,
,,544,,,,,,,17,,,,,,,0.7215828895568848,0.7740471959114075,0.452171266078949,0.7459999918937683,0.39616790413856506,0.3424524664878845,0.3961678743362427
