lr-Adam/pg1,lr-Adam/pg2,step,val/loss,val/auroc,val/av_prec,val/acc,val/w_acc,val/av_f1,epoch,train/auroc,train/av_prec,train/acc,train/w_acc,train/av_f1,train/loss,test/loss,test/auroc,test/av_prec,test/acc,test/w_acc,test/av_f1,test/bacc
0.0001442986898059786,0.0001442986898059786,0,,,,,,,,,,,,,,,,,,,,
,,12,1.5367121696472168,0.8460163474082947,nan,0.3540000021457672,0.20000000298023224,0.10457901656627655,0,,,,,,,,,,,,,
,,12,,,,,,,0,0.5629670023918152,0.2632427215576172,0.3799999952316284,0.19078947603702545,0.18204733729362488,,,,,,,,
0.0001442986898059786,0.0001442986898059786,13,,,,,,,,,,,,,,,,,,,,
,,25,1.313683032989502,0.733311653137207,nan,0.6679999828338623,0.307089239358902,0.276303231716156,1,,,,,,,,,,,,,
,,25,,,,,,,1,0.7696126699447632,0.3071221709251404,0.6299999952316284,0.2989766001701355,0.25955119729042053,,,,,,,,
0.0001442986898059786,0.0001442986898059786,26,,,,,,,,,,,,,,,,,,,,
,,38,0.9509879946708679,0.7651813626289368,nan,0.8299999833106995,0.36301368474960327,0.3414108157157898,2,,,,,,,,,,,,,
,,38,,,,,,,2,0.8182247281074524,0.39766278862953186,0.8100000023841858,0.3644736707210541,0.3282337486743927,,,,,,,,
0.0001442986898059786,0.0001442986898059786,39,,,,,,,,,,,,,,,,,,,,
,,49,,,,,,,3,,,,,,0.812466561794281,,,,,,,
,,51,0.8092889189720154,0.7758775949478149,nan,0.8100000023841858,0.371003121137619,0.3607085347175598,3,,,,,,,,,,,,,
,,51,,,,,,,3,0.9131719470024109,nan,0.8199999928474426,0.46169590950012207,0.44530758261680603,,,,,,,,
1.442986898059786e-05,1.442986898059786e-05,52,,,,,,,,,,,,,,,,,,,,
,,64,0.7087061405181885,0.8091540336608887,nan,0.8240000009536743,0.36734241247177124,0.3632124364376068,4,,,,,,,,,,,,,
,,64,,,,,,,4,0.8971078991889954,0.5556247234344482,0.8100000023841858,0.4995613992214203,0.48843783140182495,,,,,,,,
1.442986898059786e-05,1.442986898059786e-05,65,,,,,,,,,,,,,,,,,,,,
,,77,0.6682477593421936,0.8219099044799805,nan,0.8479999899864197,0.38045674562454224,0.37447383999824524,5,,,,,,,,,,,,,
,,77,,,,,,,5,0.9033181071281433,nan,0.8199999928474426,0.44736844301223755,0.4325355589389801,,,,,,,,
1.442986898059786e-05,1.442986898059786e-05,78,,,,,,,,,,,,,,,,,,,,
,,90,0.6714438796043396,0.8279968500137329,nan,0.8339999914169312,0.3640407919883728,0.3628142476081848,6,,,,,,,,,,,,,
,,90,,,,,,,6,0.9087075591087341,0.5754469633102417,0.8299999833106995,0.5845029354095459,0.5331465601921082,,,,,,,,
1.442986898059786e-05,1.442986898059786e-05,91,,,,,,,,,,,,,,,,,,,,
,,99,,,,,,,7,,,,,,1.2058782577514648,,,,,,,
,,103,0.6782459020614624,0.8239267468452454,nan,0.8500000238418579,0.36457401514053345,0.36377066373825073,7,,,,,,,,,,,,,
,,103,,,,,,,7,0.9630185961723328,0.5737408995628357,0.8500000238418579,0.4711988568305969,0.4782562255859375,,,,,,,,
1.4429868980597862e-06,1.4429868980597862e-06,104,,,,,,,,,,,,,,,,,,,,
,,116,0.6854939460754395,0.8215625882148743,nan,0.8420000076293945,0.3609442412853241,0.3605380356311798,8,,,,,,,,,,,,,
,,116,,,,,,,8,0.9107300043106079,0.483281672000885,0.8500000238418579,0.4317251145839691,0.4186314046382904,,,,,,,,
1.4429868980597862e-06,1.4429868980597862e-06,117,,,,,,,,,,,,,,,,,,,,
,,129,0.6867675185203552,0.8207544684410095,nan,0.843999981880188,0.37147054076194763,0.36765730381011963,9,,,,,,,,,,,,,
,,129,,,,,,,9,0.8926016092300415,0.5203779935836792,0.8500000238418579,0.5106725096702576,0.49873241782188416,,,,,,,,
1.4429868980597862e-06,1.4429868980597862e-06,130,,,,,,,,,,,,,,,,,,,,
,,142,0.6723551750183105,0.8247568011283875,nan,0.8519999980926514,0.3759903311729431,0.37133997678756714,10,,,,,,,,,,,,,
,,142,,,,,,,10,0.905278205871582,0.5592712759971619,0.8299999833106995,0.5628654956817627,0.5596272349357605,,,,,,,,
1.4429868980597862e-06,1.4429868980597862e-06,143,,,,,,,,,,,,,,,,,,,,
,,149,,,,,,,11,,,,,,1.4832406044006348,,,,,,,
,,155,0.6681911945343018,0.8307111859321594,nan,0.8479999899864197,0.37284043431282043,0.3695301413536072,11,,,,,,,,,,,,,
,,155,,,,,,,11,0.9521932005882263,0.6773756742477417,0.8999999761581421,0.6116958856582642,0.6324862241744995,,,,,,,,
1.4429868980597863e-07,1.4429868980597863e-07,156,,,,,,,,,,,,,,,,,,,,
,,168,0.6631414890289307,0.8328081965446472,nan,0.8460000157356262,0.37171047925949097,0.36862584948539734,12,,,,,,,,,,,,,
,,168,,,,,,,12,0.9244545102119446,0.7006206512451172,0.8600000143051147,0.6106725335121155,0.6105837225914001,,,,,,,,
1.4429868980597863e-07,1.4429868980597863e-07,169,,,,,,,,,,,,,,,,,,,,
,,181,0.6587662100791931,0.8373859524726868,nan,0.8399999737739563,0.3678756356239319,0.36585479974746704,13,,,,,,,,,,,,,
,,181,,,,,,,13,0.9078556895256042,0.5156650543212891,0.8100000023841858,0.5084795355796814,0.4824313521385193,,,,,,,,
1.4429868980597863e-07,1.4429868980597863e-07,182,,,,,,,,,,,,,,,,,,,,
,,194,0.6769071221351624,0.8263000845909119,nan,0.8420000076293945,0.37034061551094055,0.3669874370098114,14,,,,,,,,,,,,,
,,194,,,,,,,14,0.9021212458610535,0.5978862047195435,0.8299999833106995,0.5600877404212952,0.542766809463501,,,,,,,,
1.4429868980597863e-07,1.4429868980597863e-07,195,,,,,,,,,,,,,,,,,,,,
,,199,,,,,,,15,,,,,,1.2701526880264282,,,,,,,
,,207,0.675768256187439,0.8247837424278259,nan,0.8460000157356262,0.3726004958152771,0.3685709834098816,15,,,,,,,,,,,,,
,,207,,,,,,,15,0.8580233454704285,0.5074463486671448,0.8199999928474426,0.4706140160560608,0.45054560899734497,,,,,,,,
1.4429868980597864e-08,1.4429868980597864e-08,208,,,,,,,,,,,,,,,,,,,,
,,220,0.6672572493553162,0.82654869556427,nan,0.8420000076293945,0.37034061551094055,0.3669874370098114,16,,,,,,,,,,,,,
,,220,,,,,,,16,0.9292747378349304,0.6881357431411743,0.8399999737739563,0.6206139922142029,0.6206566095352173,,,,,,,,
,,221,,,,,,,17,,,,,,,0.6592100858688354,0.7835277318954468,nan,0.8489999771118164,0.3904445171356201,0.38047608733177185,0.3904445171356201
