lr-Adam/pg1,lr-Adam/pg2,step,train/loss,epoch,val/loss,val/auroc,val/av_prec,val/acc,val/w_acc,val/av_f1,train/auroc,train/av_prec,train/acc,train/w_acc,train/av_f1,test/loss,test/auroc,test/av_prec,test/acc,test/w_acc,test/av_f1,test/bacc
0.0001442986898059786,0.0001442986898059786,0,,,,,,,,,,,,,,,,,,,,
,,49,1.0361121892929077,0,,,,,,,,,,,,,,,,,,
,,62,,0,0.6116979122161865,0.8369283080101013,nan,0.9300000071525574,0.46169987320899963,0.4653213620185852,,,,,,,,,,,,
,,62,,0,,,,,,,0.651103138923645,0.3499179482460022,0.4659999907016754,0.3696349561214447,0.35007065534591675,,,,,,,
0.0001442986898059786,0.0001442986898059786,63,,,,,,,,,,,,,,,,,,,,
,,99,1.1581025123596191,1,,,,,,,,,,,,,,,,,,
,,125,,1,0.4932260811328888,0.8938248753547668,0.6236156225204468,0.9359999895095825,0.5971027612686157,0.6095985174179077,,,,,,,,,,,,
,,125,,1,,,,,,,0.7480186820030212,0.4205555319786072,0.6320000290870667,0.4223133623600006,0.40810418128967285,,,,,,,
0.0001442986898059786,0.0001442986898059786,126,,,,,,,,,,,,,,,,,,,,
,,149,0.7987927198410034,2,,,,,,,,,,,,,,,,,,
,,188,,2,0.3484511077404022,0.8906707763671875,0.6495769023895264,0.9380000233650208,0.6166577935218811,0.6280092000961304,,,,,,,,,,,,
,,188,,2,,,,,,,0.8083894848823547,0.47096139192581177,0.6159999966621399,0.4922192692756653,0.46989068388938904,,,,,,,
0.0001442986898059786,0.0001442986898059786,189,,,,,,,,,,,,,,,,,,,,
,,199,0.9402024745941162,3,,,,,,,,,,,,,,,,,,
,,249,1.0480544567108154,3,,,,,,,,,,,,,,,,,,
,,251,,3,0.3055304288864136,0.8736515045166016,nan,0.9319999814033508,0.4816225469112396,0.47837501764297485,,,,,,,,,,,,
,,251,,3,,,,,,,0.8298935890197754,0.46904438734054565,0.6480000019073486,0.49932947754859924,0.474456250667572,,,,,,,
1.442986898059786e-05,1.442986898059786e-05,252,,,,,,,,,,,,,,,,,,,,
,,299,1.27786386013031,4,,,,,,,,,,,,,,,,,,
,,314,,4,0.35905539989471436,0.8886159062385559,0.6627681255340576,0.9340000152587891,0.5393626689910889,0.5609191656112671,,,,,,,,,,,,
,,314,,4,,,,,,,0.8536826968193054,0.559387743473053,0.6639999747276306,0.6115747094154358,0.5387221574783325,,,,,,,
1.442986898059786e-05,1.442986898059786e-05,315,,,,,,,,,,,,,,,,,,,,
,,349,1.1692938804626465,5,,,,,,,,,,,,,,,,,,
,,377,,5,0.34637314081192017,0.8855379223823547,0.6581881046295166,0.9340000152587891,0.577102780342102,0.5978593230247498,,,,,,,,,,,,
,,377,,5,,,,,,,0.8740129470825195,0.5562342405319214,0.6779999732971191,0.6166108846664429,0.5578790307044983,,,,,,,
1.442986898059786e-05,1.442986898059786e-05,378,,,,,,,,,,,,,,,,,,,,
,,399,1.3348766565322876,6,,,,,,,,,,,,,,,,,,
,,440,,6,0.3259744346141815,0.8776481747627258,0.6606040000915527,0.9380000233650208,0.5986777544021606,0.619296669960022,,,,,,,,,,,,
,,440,,6,,,,,,,0.887855052947998,0.6015294790267944,0.7139999866485596,0.7018140554428101,0.6098910570144653,,,,,,,
1.442986898059786e-05,1.442986898059786e-05,441,,,,,,,,,,,,,,,,,,,,
,,449,0.8343403935432434,7,,,,,,,,,,,,,,,,,,
,,499,0.5276035070419312,7,,,,,,,,,,,,,,,,,,
,,503,,7,0.3288043439388275,0.8824403882026672,0.635919451713562,0.9340000152587891,0.577102780342102,0.5914286971092224,,,,,,,,,,,,
,,503,,7,,,,,,,0.8807772994041443,0.5920075178146362,0.7080000042915344,0.6307922601699829,0.5909963846206665,,,,,,,
1.4429868980597862e-06,1.4429868980597862e-06,504,,,,,,,,,,,,,,,,,,,,
,,549,0.8290671706199646,8,,,,,,,,,,,,,,,,,,
,,566,,8,0.31615060567855835,0.8893358111381531,0.6375855207443237,0.9359999895095825,0.5777876973152161,0.5922903418540955,,,,,,,,,,,,
,,566,,8,,,,,,,0.8825332522392273,0.5980885028839111,0.7099999785423279,0.6110806465148926,0.5770743489265442,,,,,,,
1.4429868980597862e-06,1.4429868980597862e-06,567,,,,,,,,,,,,,,,,,,,,
,,599,1.365004539489746,9,,,,,,,,,,,,,,,,,,
,,629,,9,0.3227093815803528,0.8695797324180603,0.6635083556175232,0.9399999976158142,0.5998076796531677,0.6219915151596069,,,,,,,,,,,,
,,629,,9,,,,,,,0.8710686564445496,0.6054596900939941,0.722000002861023,0.6662924885749817,0.5967267751693726,,,,,,,
1.4429868980597862e-06,1.4429868980597862e-06,630,,,,,,,,,,,,,,,,,,,,
,,649,0.7348170280456543,10,,,,,,,,,,,,,,,,,,
,,692,,10,0.30964165925979614,0.8896574974060059,0.6528508067131042,0.9359999895095825,0.5782327055931091,0.6003731489181519,,,,,,,,,,,,
,,692,,10,,,,,,,0.8885087966918945,0.6002758741378784,0.699999988079071,0.6464662551879883,0.5819621682167053,,,,,,,
1.4429868980597862e-06,1.4429868980597862e-06,693,,,,,,,,,,,,,,,,,,,,
,,699,1.2895619869232178,11,,,,,,,,,,,,,,,,,,
