lr-Adam/pg1,lr-Adam/pg2,step,val/loss,val/acc,epoch,train/acc,train/loss,test/loss,test/acc,test/bacc
0.0001442986898059786,0.0001442986898059786,0,,,,,,,,
,,24,0.9859618544578552,0.8032786846160889,0,,,,,
,,24,,,0,0.7300000190734863,,,,
0.0001442986898059786,0.0001442986898059786,25,,,,,,,,
,,49,,,1,,0.28051769733428955,,,
,,49,0.5766969323158264,0.7868852615356445,1,,,,,
,,49,,,1,0.8899999856948853,,,,
0.0001442986898059786,0.0001442986898059786,50,,,,,,,,
,,74,0.524757444858551,0.8196721076965332,2,,,,,
,,74,,,2,0.9150000214576721,,,,
0.0001442986898059786,0.0001442986898059786,75,,,,,,,,
,,99,,,3,,0.907380998134613,,,
,,99,0.6097055673599243,0.8196721076965332,3,,,,,
,,99,,,3,0.9200000166893005,,,,
1.442986898059786e-05,1.442986898059786e-05,100,,,,,,,,
,,124,0.5241304039955139,0.8196721076965332,4,,,,,
,,124,,,4,0.9150000214576721,,,,
1.442986898059786e-05,1.442986898059786e-05,125,,,,,,,,
,,149,,,5,,0.2415999174118042,,,
,,149,0.5280420780181885,0.8196721076965332,5,,,,,
,,149,,,5,0.9200000166893005,,,,
1.442986898059786e-05,1.442986898059786e-05,150,,,,,,,,
,,174,0.5091447234153748,0.8196721076965332,6,,,,,
,,174,,,6,0.9200000166893005,,,,
1.442986898059786e-05,1.442986898059786e-05,175,,,,,,,,
,,199,,,7,,0.3192635476589203,,,
,,199,0.5091933012008667,0.8196721076965332,7,,,,,
,,199,,,7,0.9049999713897705,,,,
1.4429868980597862e-06,1.4429868980597862e-06,200,,,,,,,,
,,224,0.50235915184021,0.8196721076965332,8,,,,,
,,224,,,8,0.9100000262260437,,,,
1.4429868980597862e-06,1.4429868980597862e-06,225,,,,,,,,
,,249,,,9,,0.06366309523582458,,,
,,249,0.5117598176002502,0.8196721076965332,9,,,,,
,,249,,,9,0.9200000166893005,,,,
1.4429868980597862e-06,1.4429868980597862e-06,250,,,,,,,,
,,274,0.5108532905578613,0.8196721076965332,10,,,,,
,,274,,,10,0.9200000166893005,,,,
1.4429868980597862e-06,1.4429868980597862e-06,275,,,,,,,,
,,299,,,11,,0.27793365716934204,,,
,,299,0.5109705328941345,0.8196721076965332,11,,,,,
,,299,,,11,0.9150000214576721,,,,
1.4429868980597863e-07,1.4429868980597863e-07,300,,,,,,,,
,,324,0.5070265531539917,0.8196721076965332,12,,,,,
,,324,,,12,0.925000011920929,,,,
1.4429868980597863e-07,1.4429868980597863e-07,325,,,,,,,,
,,349,,,13,,0.07313429564237595,,,
,,349,0.5140959024429321,0.8196721076965332,13,,,,,
,,349,,,13,0.8999999761581421,,,,
1.4429868980597863e-07,1.4429868980597863e-07,350,,,,,,,,
,,374,0.5012743473052979,0.8196721076965332,14,,,,,
,,374,,,14,0.9200000166893005,,,,
1.4429868980597863e-07,1.4429868980597863e-07,375,,,,,,,,
,,399,,,15,,0.7926747798919678,,,
,,399,0.5091845393180847,0.8196721076965332,15,,,,,
,,399,,,15,0.9150000214576721,,,,
1.4429868980597864e-08,1.4429868980597864e-08,400,,,,,,,,
,,424,0.5113738179206848,0.8196721076965332,16,,,,,
,,424,,,16,0.9200000166893005,,,,
,,425,,,17,,,0.3086996376514435,0.9248889088630676,0.39323073625564575
