lr-Adam/pg1,lr-Adam/pg2,step,train/loss,epoch,val/loss,val/acc,train/acc,test/loss,test/acc,test/bacc
0.0001442986898059786,0.0001442986898059786,0,,,,,,,,
,,49,0.7628793716430664,0,,,,,,
,,49,,0,0.6612151265144348,0.800000011920929,,,,
,,49,,0,,,0.824999988079071,,,
0.0001442986898059786,0.0001442986898059786,50,,,,,,,,
,,99,0.32369017601013184,1,,,,,,
,,99,,1,0.7624638080596924,0.7799999713897705,,,,
,,99,,1,,,0.9350000023841858,,,
0.0001442986898059786,0.0001442986898059786,100,,,,,,,,
,,149,0.04827600717544556,2,,,,,,
,,149,,2,0.6926166415214539,0.7799999713897705,,,,
,,149,,2,,,0.9375,,,
0.0001442986898059786,0.0001442986898059786,150,,,,,,,,
,,199,0.40085920691490173,3,,,,,,
,,199,,3,0.745212197303772,0.7799999713897705,,,,
,,199,,3,,,0.9449999928474426,,,
1.442986898059786e-05,1.442986898059786e-05,200,,,,,,,,
,,249,0.031199540942907333,4,,,,,,
,,249,,4,0.6791355609893799,0.800000011920929,,,,
,,249,,4,,,0.9399999976158142,,,
1.442986898059786e-05,1.442986898059786e-05,250,,,,,,,,
,,299,0.04281187802553177,5,,,,,,
,,299,,5,0.6590825915336609,0.800000011920929,,,,
,,299,,5,,,0.9449999928474426,,,
1.442986898059786e-05,1.442986898059786e-05,300,,,,,,,,
,,349,0.022036420181393623,6,,,,,,
,,349,,6,0.6422577500343323,0.800000011920929,,,,
,,349,,6,,,0.9449999928474426,,,
1.442986898059786e-05,1.442986898059786e-05,350,,,,,,,,
,,399,0.04529697448015213,7,,,,,,
,,399,,7,0.6131023168563843,0.800000011920929,,,,
,,399,,7,,,0.9474999904632568,,,
1.4429868980597862e-06,1.4429868980597862e-06,400,,,,,,,,
,,449,0.5267165303230286,8,,,,,,
,,449,,8,0.6201551556587219,0.800000011920929,,,,
,,449,,8,,,0.9474999904632568,,,
1.4429868980597862e-06,1.4429868980597862e-06,450,,,,,,,,
,,499,0.4286278784275055,9,,,,,,
,,499,,9,0.6148490309715271,0.800000011920929,,,,
,,499,,9,,,0.949999988079071,,,
1.4429868980597862e-06,1.4429868980597862e-06,500,,,,,,,,
,,549,0.0950147807598114,10,,,,,,
,,549,,10,0.6150444149971008,0.800000011920929,,,,
,,549,,10,,,0.9524999856948853,,,
1.4429868980597862e-06,1.4429868980597862e-06,550,,,,,,,,
,,599,0.13546842336654663,11,,,,,,
,,599,,11,0.608798623085022,0.7799999713897705,,,,
,,599,,11,,,0.9474999904632568,,,
1.4429868980597863e-07,1.4429868980597863e-07,600,,,,,,,,
,,649,0.6312425136566162,12,,,,,,
,,649,,12,0.6143316030502319,0.800000011920929,,,,
,,649,,12,,,0.949999988079071,,,
1.4429868980597863e-07,1.4429868980597863e-07,650,,,,,,,,
,,699,0.03706556558609009,13,,,,,,
,,699,,13,0.6095667481422424,0.800000011920929,,,,
,,699,,13,,,0.9474999904632568,,,
1.4429868980597863e-07,1.4429868980597863e-07,700,,,,,,,,
,,749,0.03364488482475281,14,,,,,,
,,749,,14,0.6091853976249695,0.7799999713897705,,,,
,,749,,14,,,0.9524999856948853,,,
1.4429868980597863e-07,1.4429868980597863e-07,750,,,,,,,,
,,799,0.06027204915881157,15,,,,,,
,,799,,15,0.6090841293334961,0.800000011920929,,,,
,,799,,15,,,0.9474999904632568,,,
1.4429868980597864e-08,1.4429868980597864e-08,800,,,,,,,,
,,849,0.04571367800235748,16,,,,,,
,,849,,16,0.6099376082420349,0.7799999713897705,,,,
,,849,,16,,,0.9524999856948853,,,
,,850,,17,,,,0.2983313798904419,0.9293333292007446,0.39619332551956177
