lr-Adam/pg1,lr-Adam/pg2,step,val/loss,val/acc,epoch,train/acc,train/loss,test/loss,test/acc,test/bacc
0.0001442986898059786,0.0001442986898059786,0,,,,,,,,
,,12,1.4316753149032593,0.5178571343421936,0,,,,,
,,12,,,0,0.5899999737739563,,,,
0.0001442986898059786,0.0001442986898059786,13,,,,,,,,
,,25,1.0259462594985962,0.8035714030265808,1,,,,,
,,25,,,1,0.800000011920929,,,,
0.0001442986898059786,0.0001442986898059786,26,,,,,,,,
,,38,0.5309535264968872,0.8928571343421936,2,,,,,
,,38,,,2,0.7900000214576721,,,,
0.0001442986898059786,0.0001442986898059786,39,,,,,,,,
,,49,,,3,,0.3190781772136688,,,
,,51,0.3788081705570221,0.8928571343421936,3,,,,,
,,51,,,3,0.8199999928474426,,,,
1.442986898059786e-05,1.442986898059786e-05,52,,,,,,,,
,,64,0.36852455139160156,0.875,4,,,,,
,,64,,,4,0.8500000238418579,,,,
1.442986898059786e-05,1.442986898059786e-05,65,,,,,,,,
,,77,0.35732823610305786,0.875,5,,,,,
,,77,,,5,0.8399999737739563,,,,
1.442986898059786e-05,1.442986898059786e-05,78,,,,,,,,
,,90,0.363583505153656,0.875,6,,,,,
,,90,,,6,0.8700000047683716,,,,
1.442986898059786e-05,1.442986898059786e-05,91,,,,,,,,
,,99,,,7,,0.5227882862091064,,,
,,103,0.34031251072883606,0.875,7,,,,,
,,103,,,7,0.8399999737739563,,,,
1.4429868980597862e-06,1.4429868980597862e-06,104,,,,,,,,
,,116,0.34218829870224,0.875,8,,,,,
,,116,,,8,0.8700000047683716,,,,
1.4429868980597862e-06,1.4429868980597862e-06,117,,,,,,,,
,,129,0.33939075469970703,0.8928571343421936,9,,,,,
,,129,,,9,0.8600000143051147,,,,
1.4429868980597862e-06,1.4429868980597862e-06,130,,,,,,,,
,,142,0.33987611532211304,0.875,10,,,,,
,,142,,,10,0.8500000238418579,,,,
1.4429868980597862e-06,1.4429868980597862e-06,143,,,,,,,,
,,149,,,11,,0.4810584485530853,,,
,,155,0.3410470187664032,0.875,11,,,,,
,,155,,,11,0.8399999737739563,,,,
1.4429868980597863e-07,1.4429868980597863e-07,156,,,,,,,,
,,168,0.33301904797554016,0.8928571343421936,12,,,,,
,,168,,,12,0.8399999737739563,,,,
1.4429868980597863e-07,1.4429868980597863e-07,169,,,,,,,,
,,181,0.3416163921356201,0.875,13,,,,,
,,181,,,13,0.8299999833106995,,,,
1.4429868980597863e-07,1.4429868980597863e-07,182,,,,,,,,
,,194,0.34141960740089417,0.875,14,,,,,
,,194,,,14,0.8600000143051147,,,,
1.4429868980597863e-07,1.4429868980597863e-07,195,,,,,,,,
,,199,,,15,,0.5497065782546997,,,
,,207,0.3455010950565338,0.875,15,,,,,
,,207,,,15,0.8799999952316284,,,,
1.4429868980597864e-08,1.4429868980597864e-08,208,,,,,,,,
,,220,0.34627991914749146,0.875,16,,,,,
,,220,,,16,0.8700000047683716,,,,
,,221,,,17,,,0.4287712275981903,0.9306666851043701,0.4310815632343292
