lr-Adam/pg1,lr-Adam/pg2,step,train/loss,epoch,val/loss,val/auroc,val/av_prec,val/acc,val/w_acc,val/av_f1,train/auroc,train/av_prec,train/acc,train/w_acc,train/av_f1,test/loss,test/auroc,test/av_prec,test/acc,test/w_acc,test/av_f1,test/bacc
0.0001442986898059786,0.0001442986898059786,0,,,,,,,,,,,,,,,,,,,,
,,49,0.872067928314209,0,,,,,,,,,,,,,,,,,,
,,62,,0,0.4033533036708832,0.8391810655593872,nan,0.9240000247955322,0.39520546793937683,0.378959983587265,,,,,,,,,,,,
,,62,,0,,,,,,,0.7024356126785278,0.33328506350517273,0.5680000185966492,0.33469486236572266,0.31143027544021606,,,,,,,
0.0001442986898059786,0.0001442986898059786,63,,,,,,,,,,,,,,,,,,,,
,,99,1.2703074216842651,1,,,,,,,,,,,,,,,,,,
,,125,,1,0.261671245098114,0.8224870562553406,nan,0.9340000152587891,0.3981851041316986,0.38353151082992554,,,,,,,,,,,,
,,125,,1,,,,,,,0.7775338292121887,nan,0.7459999918937683,0.392008513212204,0.3631912171840668,,,,,,,
0.0001442986898059786,0.0001442986898059786,126,,,,,,,,,,,,,,,,,,,,
,,149,0.7240840196609497,2,,,,,,,,,,,,,,,,,,
,,188,,2,0.29208940267562866,0.9135288596153259,nan,0.9340000152587891,0.39863014221191406,0.3828086256980896,,,,,,,,,,,,
,,188,,2,,,,,,,0.7951034903526306,nan,0.7519999742507935,0.4140346646308899,0.4036216735839844,,,,,,,
0.0001442986898059786,0.0001442986898059786,189,,,,,,,,,,,,,,,,,,,,
,,199,1.040365219116211,3,,,,,,,,,,,,,,,,,,
,,249,1.0558247566223145,3,,,,,,,,,,,,,,,,,,
,,251,,3,0.21692392230033875,0.8893972635269165,nan,0.9359999895095825,0.3993150591850281,0.38393887877464294,,,,,,,,,,,,
,,251,,3,,,,,,,0.8338432312011719,nan,0.7459999918937683,0.4030720591545105,0.3845556378364563,,,,,,,
1.442986898059786e-05,1.442986898059786e-05,252,,,,,,,,,,,,,,,,,,,,
,,299,0.40682095289230347,4,,,,,,,,,,,,,,,,,,
,,314,,4,0.23611901700496674,0.8775650858879089,nan,0.9399999976158142,0.42984136939048767,0.4412882924079895,,,,,,,,,,,,
,,314,,4,,,,,,,0.8583847284317017,nan,0.7879999876022339,0.4850127100944519,0.4982008934020996,,,,,,,
1.442986898059786e-05,1.442986898059786e-05,315,,,,,,,,,,,,,,,,,,,,
,,349,1.073557734489441,5,,,,,,,,,,,,,,,,,,
,,377,,5,0.2201469987630844,0.8492485284805298,nan,0.9459999799728394,0.4797680377960205,0.5115015506744385,,,,,,,,,,,,
,,377,,5,,,,,,,0.8595982789993286,nan,0.7760000228881836,0.45972925424575806,0.46643906831741333,,,,,,,
1.442986898059786e-05,1.442986898059786e-05,378,,,,,,,,,,,,,,,,,,,,
,,399,1.0330965518951416,6,,,,,,,,,,,,,,,,,,
,,440,,6,0.2203962206840515,0.8565029501914978,nan,0.9419999718666077,0.4403676986694336,0.4597196578979492,,,,,,,,,,,,
,,440,,6,,,,,,,0.8609253764152527,nan,0.7760000228881836,0.47958311438560486,0.489711195230484,,,,,,,
1.442986898059786e-05,1.442986898059786e-05,441,,,,,,,,,,,,,,,,,,,,
,,449,0.3706141710281372,7,,,,,,,,,,,,,,,,,,
