lr-Adam/pg1,lr-Adam/pg2,step,val/loss,val/auroc,val/av_prec,val/acc,val/w_acc,val/av_f1,epoch,train/auroc,train/av_prec,train/acc,train/w_acc,train/av_f1,train/loss,test/loss,test/auroc,test/av_prec,test/acc,test/w_acc,test/av_f1,test/bacc
0.0001442986898059786,0.0001442986898059786,0,,,,,,,,,,,,,,,,,,,,
,,37,1.2796387672424316,0.8505014777183533,nan,0.6779999732971191,0.44746556878089905,0.37889909744262695,0,,,,,,,,,,,,,
,,37,,,,,,,0,0.5942209959030151,0.2839701771736145,0.4233333468437195,0.25025010108947754,0.2546338140964508,,,,,,,,
0.0001442986898059786,0.0001442986898059786,38,,,,,,,,,,,,,,,,,,,,
,,49,,,,,,,1,,,,,,1.791309118270874,,,,,,,
,,75,0.9046835899353027,0.8384809494018555,0.4614514112472534,0.906000018119812,0.48072129487991333,0.44995713233947754,1,,,,,,,,,,,,,
,,75,,,,,,,1,0.7084752917289734,0.3609105944633484,0.5366666913032532,0.33016616106033325,0.3317251205444336,,,,,,,,
0.0001442986898059786,0.0001442986898059786,76,,,,,,,,,,,,,,,,,,,,
,,99,,,,,,,2,,,,,,1.8737176656723022,,,,,,,
,,113,0.7543616890907288,0.8384681940078735,nan,0.9120000004768372,0.47552746534347534,0.4510345458984375,2,,,,,,,,,,,,,
,,113,,,,,,,2,0.7804622054100037,0.44993019104003906,0.6466666460037231,0.46623969078063965,0.45737653970718384,,,,,,,,
0.0001442986898059786,0.0001442986898059786,114,,,,,,,,,,,,,,,,,,,,
,,149,,,,,,,3,,,,,,1.3719313144683838,,,,,,,
,,151,0.9668846726417542,0.8320615887641907,nan,0.7900000214576721,0.45497021079063416,0.37735849618911743,3,,,,,,,,,,,,,
,,151,,,,,,,3,0.811419665813446,0.4801371395587921,0.6766666769981384,0.46146726608276367,0.46261197328567505,,,,,,,,
1.442986898059786e-05,1.442986898059786e-05,152,,,,,,,,,,,,,,,,,,,,
,,189,0.7290340065956116,0.8956104516983032,nan,0.9020000100135803,0.5326918959617615,0.49157699942588806,4,,,,,,,,,,,,,
,,189,,,,,,,4,0.8230969309806824,0.5007748007774353,0.653333306312561,0.5199323296546936,0.5050325393676758,,,,,,,,
1.442986898059786e-05,1.442986898059786e-05,190,,,,,,,,,,,,,,,,,,,,
,,199,,,,,,,5,,,,,,0.9021697640419006,,,,,,,
,,227,0.6026687622070312,0.9134353995323181,nan,0.9399999976158142,0.5518584847450256,0.5638364553451538,5,,,,,,,,,,,,,
,,227,,,,,,,5,0.8448007702827454,0.5244386196136475,0.6966666579246521,0.5213496088981628,0.5130361914634705,,,,,,,,
1.442986898059786e-05,1.442986898059786e-05,228,,,,,,,,,,,,,,,,,,,,
,,249,,,,,,,6,,,,,,1.3036268949508667,,,,,,,
,,265,0.6144351959228516,0.8982359766960144,0.5807574987411499,0.9200000166893005,0.5603190660476685,0.5414812564849854,6,,,,,,,,,,,,,
,,265,,,,,,,6,0.8330642580986023,0.5231373310089111,0.7266666889190674,0.5326217412948608,0.527009129524231,,,,,,,,
1.442986898059786e-05,1.442986898059786e-05,266,,,,,,,,,,,,,,,,,,,,
,,299,,,,,,,7,,,,,,1.0023963451385498,,,,,,,
,,303,0.6159326434135437,0.8748842477798462,0.6035236120223999,0.9319999814033508,0.5693238377571106,0.5780972242355347,7,,,,,,,,,,,,,
,,303,,,,,,,7,0.8485444188117981,0.5360104441642761,0.70333331823349,0.5365886092185974,0.5279368758201599,,,,,,,,
1.4429868980597862e-06,1.4429868980597862e-06,304,,,,,,,,,,,,,,,,,,,,
,,341,0.5855238437652588,0.9120866060256958,0.5678373575210571,0.9300000071525574,0.5744751691818237,0.5600232481956482,8,,,,,,,,,,,,,
,,341,,,,,,,8,0.8717073798179626,0.5558191537857056,0.7133333086967468,0.5589374899864197,0.534490704536438,,,,,,,,
1.4429868980597862e-06,1.4429868980597862e-06,342,,,,,,,,,,,,,,,,,,,,
,,349,,,,,,,9,,,,,,0.8361111879348755,,,,,,,
,,379,0.6187912821769714,0.8928787112236023,0.5934514999389648,0.9240000247955322,0.5643590688705444,0.562369704246521,9,,,,,,,,,,,,,
,,379,,,,,,,9,0.8888710141181946,0.620398759841919,0.75,0.6214148998260498,0.6051453351974487,,,,,,,,
1.4429868980597862e-06,1.4429868980597862e-06,380,,,,,,,,,,,,,,,,,,,,
,,399,,,,,,,10,,,,,,1.1293894052505493,,,,,,,
,,417,0.6368427276611328,0.8869417309761047,0.5873865485191345,0.921999990940094,0.5636740922927856,0.5590638518333435,10,,,,,,,,,,,,,
,,417,,,,,,,10,0.8859872817993164,0.5865542888641357,0.7099999785423279,0.5544930696487427,0.544986367225647,,,,,,,,
1.4429868980597862e-06,1.4429868980597862e-06,418,,,,,,,,,,,,,,,,,,,,
,,449,,,,,,,11,,,,,,0.9388456344604492,,,,,,,
,,455,0.6066727638244629,0.8998097777366638,0.590645432472229,0.9319999814033508,0.5769401788711548,0.5747665762901306,11,,,,,,,,,,,,,
,,455,,,,,,,11,0.8679885864257812,0.5597090125083923,0.7200000286102295,0.5895677208900452,0.5673538446426392,,,,,,,,
1.4429868980597863e-07,1.4429868980597863e-07,456,,,,,,,,,,,,,,,,,,,,
,,493,0.594050407409668,0.8988885879516602,0.5896708965301514,0.9359999895095825,0.5783100128173828,0.5754562020301819,12,,,,,,,,,,,,,
,,493,,,,,,,12,0.881672203540802,0.5585988759994507,0.7066666483879089,0.5541754961013794,0.5333638787269592,,,,,,,,
1.4429868980597863e-07,1.4429868980597863e-07,494,,,,,,,,,,,,,,,,,,,,
,,499,,,,,,,13,,,,,,0.9962164163589478,,,,,,,
,,531,0.5857568383216858,0.899661660194397,0.5887160897254944,0.9319999814033508,0.5675437450408936,0.5680170655250549,13,,,,,,,,,,,,,
,,531,,,,,,,13,0.8869841694831848,0.5975806713104248,0.7233333587646484,0.5992494225502014,0.5785752534866333,,,,,,,,
1.4429868980597863e-07,1.4429868980597863e-07,532,,,,,,,,,,,,,,,,,,,,
,,549,,,,,,,14,,,,,,0.5793338418006897,,,,,,,
,,569,0.6091088056564331,0.9005973935127258,0.5859740376472473,0.9300000071525574,0.5664138197898865,0.5634130239486694,14,,,,,,,,,,,,,
,,569,,,,,,,14,0.872790515422821,0.5703606605529785,0.7166666388511658,0.5767078995704651,0.5586358904838562,,,,,,,,
1.4429868980597863e-07,1.4429868980597863e-07,570,,,,,,,,,,,,,,,,,,,,
,,599,,,,,,,15,,,,,,0.8369272351264954,,,,,,,
,,607,0.6212456822395325,0.8941702246665955,0.5891820192337036,0.9319999814033508,0.5769401788711548,0.5747665762901306,15,,,,,,,,,,,,,
,,607,,,,,,,15,0.8752771615982056,0.539919376373291,0.7200000286102295,0.5241606831550598,0.519142746925354,,,,,,,,
1.4429868980597864e-08,1.4429868980597864e-08,608,,,,,,,,,,,,,,,,,,,,
,,645,0.6334980726242065,0.8965617418289185,0.5964217185974121,0.9300000071525574,0.5758102536201477,0.5704665780067444,16,,,,,,,,,,,,,
,,645,,,,,,,16,0.872422993183136,0.5616781711578369,0.6933333277702332,0.559704065322876,0.5401664972305298,,,,,,,,
,,646,,,,,,,17,,,,,,,0.5953150987625122,0.8401493430137634,0.7030857801437378,0.9430000185966492,0.610242486000061,0.6412956714630127,0.6102423667907715
