lr-Adam/pg1,lr-Adam/pg2,step,val/loss,val/auroc,val/auprc,val/acc,val/w_acc,val/av_prec,val/av_f1,epoch,train/auroc,train/auprc,train/acc,train/w_acc,train/av_prec,train/av_f1,train/loss,test/loss,test/auroc,test/auprc,test/acc,test/w_acc,test/av_prec,test/av_f1,test/bacc
0.0005,0.0005,0,,,,,,,,,,,,,,,,,,,,,,,
,,6,0.40078023076057434,0.6213440895080566,0.22037570178508759,0.8812764883041382,0.5308040380477905,0.6509996056556702,0.5320857763290405,0,,,,,,,,,,,,,,,
,,6,,,,,,,,0,0.5139505863189697,0.30543431639671326,0.4749999940395355,0.5043349266052246,0.5034920573234558,0.460306853055954,,,,,,,,,
0.0005,0.0005,7,,,,,,,,,,,,,,,,,,,,,,,
,,13,1.048701524734497,0.6831421256065369,0.26435327529907227,0.15309083461761475,0.5173342227935791,0.5454901456832886,0.14835932850837708,1,,,,,,,,,,,,,,,
,,13,,,,,,,,1,0.5391091108322144,0.3003554344177246,0.637499988079071,0.5270816087722778,0.5290241837501526,0.527498722076416,,,,,,,,,
0.0005,0.0005,14,,,,,,,,,,,,,,,,,,,,,,,
,,20,0.37875857949256897,0.7260490655899048,0.28235092759132385,0.8852934837341309,0.5026604533195496,0.742806077003479,0.47532621026039124,2,,,,,,,,,,,,,,,
,,20,,,,,,,,2,0.5784860849380493,0.353349506855011,0.45750001072883606,0.55255526304245,0.5482852458953857,0.45651835203170776,,,,,,,,,
0.0005,0.0005,21,,,,,,,,,,,,,,,,,,,,,,,
,,27,0.6680006384849548,0.7473544478416443,0.30611759424209595,0.6183887720108032,0.6788172721862793,0.5737940669059753,0.5245189666748047,3,,,,,,,,,,,,,,,
,,27,,,,,,,,3,0.562880277633667,0.33903515338897705,0.6100000143051147,0.5454775094985962,0.5403214693069458,0.540040135383606,,,,,,,,,
0.0005,0.0005,28,,,,,,,,,,,,,,,,,,,,,,,
,,34,0.31505244970321655,0.7637814879417419,0.3117031157016754,0.885739803314209,0.5155846476554871,0.7168594598770142,0.5024212002754211,4,,,,,,,,,,,,,,,
,,34,,,,,,,,4,0.5950692296028137,0.35118764638900757,0.5649999976158142,0.5403701066970825,0.5327000617980957,0.5219780206680298,,,,,,,,,
0.0005,0.0005,35,,,,,,,,,,,,,,,,,,,,,,,
,,41,0.4288114607334137,0.770819902420044,0.32309097051620483,0.855389416217804,0.6327624320983887,0.6394113898277283,0.6359431743621826,5,,,,,,,,,,,,,,,
,,41,,,,,,,,5,0.6217724680900574,0.4540572762489319,0.5274999737739563,0.5518931746482849,0.5412986874580383,0.5083214640617371,,,,,,,,,
0.0005,0.0005,42,,,,,,,,,,,,,,,,,,,,,,,
,,48,0.31265175342559814,0.7898511290550232,0.3395771384239197,0.8846239447593689,0.5571944117546082,0.694914698600769,0.5730239152908325,6,,,,,,,,,,,,,,,
,,48,,,,,,,,6,0.651502251625061,0.45524144172668457,0.6399999856948853,0.597654402256012,0.5837728381156921,0.5846673250198364,,,,,,,,,
0.0005,0.0005,49,,,,,,,,,,,,,,,,,,,,,,,
,,49,,,,,,,,7,,,,,,,0.6044089198112488,,,,,,,,
,,55,0.3059811592102051,0.8033478856086731,0.3562473654747009,0.8828386664390564,0.5629442930221558,0.6837459206581116,0.5805761814117432,7,,,,,,,,,,,,,,,
,,55,,,,,,,,7,0.6984772682189941,0.4553920328617096,0.6449999809265137,0.6584696769714355,0.6265770196914673,0.6170855760574341,,,,,,,,,
0.0005,0.0005,56,,,,,,,,,,,,,,,,,,,,,,,
,,62,0.3240511119365692,0.812142550945282,0.36782199144363403,0.8819459676742554,0.609748899936676,0.6918473839759827,0.6340780258178711,8,,,,,,,,,,,,,,,
,,62,,,,,,,,8,0.7547211050987244,0.5654287338256836,0.7225000262260437,0.6715691089630127,0.6590112447738647,0.6639189720153809,,,,,,,,,
0.0005,0.0005,63,,,,,,,,,,,,,,,,,,,,,,,
,,69,0.29750868678092957,0.8146438598632812,0.3728284239768982,0.8870787620544434,0.5315475463867188,0.7315042614936829,0.5321072340011597,9,,,,,,,,,,,,,,,
,,69,,,,,,,,9,0.7141461372375488,0.4927743673324585,0.6050000190734863,0.6395851373672485,0.6107567548751831,0.5858561992645264,,,,,,,,,
0.0005,0.0005,70,,,,,,,,,,,,,,,,,,,,,,,
,,76,0.35858413577079773,0.8174444437026978,0.37741324305534363,0.8643159866333008,0.6614598035812378,0.6648130416870117,0.6631073951721191,10,,,,,,,,,,,,,,,
,,76,,,,,,,,10,0.7499921321868896,0.5316668748855591,0.7275000214576721,0.7036949396133423,0.6763565540313721,0.6835970878601074,,,,,,,,,
0.0005,0.0005,77,,,,,,,,,,,,,,,,,,,,,,,
,,83,0.3072936236858368,0.8169347047805786,0.376001238822937,0.8817228078842163,0.6070883870124817,0.6903986930847168,0.6312857270240784,11,,,,,,,,,,,,,,,
,,83,,,,,,,,11,0.8000567555427551,0.6146773099899292,0.7300000190734863,0.7111510038375854,0.681135892868042,0.6885005235671997,,,,,,,,,
5e-05,5e-05,84,,,,,,,,,,,,,,,,,,,,,,,
,,90,0.33057498931884766,0.8176020383834839,0.3763209581375122,0.8730193972587585,0.641877293586731,0.6751536726951599,0.6557154655456543,12,,,,,,,,,,,,,,,
,,90,,,,,,,,12,0.7954853177070618,0.6141319274902344,0.7275000214576721,0.7323843240737915,0.6911764740943909,0.6958683729171753,,,,,,,,,
5e-05,5e-05,91,,,,,,,,,,,,,,,,,,,,,,,
,,97,0.313763290643692,0.8182585835456848,0.37752676010131836,0.8770363926887512,0.6247161626815796,0.6799538135528564,0.644538402557373,13,,,,,,,,,,,,,,,
,,97,,,,,,,,13,0.7870045900344849,0.60688716173172,0.6800000071525574,0.6997383236885071,0.6598299741744995,0.6538201570510864,,,,,,,,,
5e-05,5e-05,98,,,,,,,,,,,,,,,,,,,,,,,
,,99,,,,,,,,14,,,,,,,0.4098748564720154,,,,,,,,
,,104,0.2925475835800171,0.8186630010604858,0.3780131936073303,0.885962963104248,0.5841397047042847,0.7066358327865601,0.6086748242378235,14,,,,,,,,,,,,,,,
,,104,,,,,,,,14,0.8297865390777588,0.6460444927215576,0.7549999952316284,0.7570226192474365,0.7146807312965393,0.72297602891922,,,,,,,,,
5e-05,5e-05,105,,,,,,,,,,,,,,,,,,,,,,,
,,111,0.292149156332016,0.8195021152496338,0.3790639638900757,0.8846239447593689,0.5842280387878418,0.6990321278572083,0.6081176996231079,15,,,,,,,,,,,,,,,
,,111,,,,,,,,15,0.8099877238273621,0.6502503156661987,0.7599999904632568,0.7403764128684998,0.710162878036499,0.7194950580596924,,,,,,,,,
5e-05,5e-05,112,,,,,,,,,,,,,,,,,,,,,,,
,,118,0.2985433340072632,0.8201807737350464,0.3800114393234253,0.8817228078842163,0.6011747717857361,0.6889793276786804,0.6252583265304565,16,,,,,,,,,,,,,,,
,,118,,,,,,,,16,0.7838834524154663,0.6027844548225403,0.7225000262260437,0.7059963941574097,0.6751930713653564,0.681836724281311,,,,,,,,,
5e-05,5e-05,119,,,,,,,,,,,,,,,,,,,,,,,
,,125,0.31608814001083374,0.8207741379737854,0.3805534243583679,0.8748047351837158,0.6386618614196777,0.6783378720283508,0.6545629501342773,17,,,,,,,,,,,,,,,
,,125,,,,,,,,17,0.7722500562667847,0.5990285873413086,0.6474999785423279,0.6659258008003235,0.6322228908538818,0.621412992477417,,,,,,,,,
5e-05,5e-05,126,,,,,,,,,,,,,,,,,,,,,,,
,,132,0.2977934777736664,0.8208466172218323,0.3802010118961334,0.8814996480941772,0.6035830974578857,0.6886990666389465,0.627597987651825,18,,,,,,,,,,,,,,,
,,132,,,,,,,,18,0.8261609673500061,0.6236565113067627,0.7250000238418579,0.7478798627853394,0.6996825337409973,0.6997488737106323,,,,,,,,,
5e-05,5e-05,133,,,,,,,,,,,,,,,,,,,,,,,
,,139,0.29800647497177124,0.8209533095359802,0.3807889223098755,0.880607008934021,0.6056132316589355,0.685867428779602,0.6290827393531799,19,,,,,,,,,,,,,,,
,,139,,,,,,,,19,0.7999937534332275,0.6505252122879028,0.7400000095367432,0.726630687713623,0.6932860016822815,0.701286792755127,,,,,,,,,
5e-05,5e-05,140,,,,,,,,,,,,,,,,,,,,,,,
,,146,0.30439165234565735,0.8210684061050415,0.37973809242248535,0.8779290318489075,0.6260652542114258,0.6828820705413818,0.6463806629180908,20,,,,,,,,,,,,,,,
,,146,,,,,,,,20,0.8427755832672119,0.6528738737106323,0.737500011920929,0.7421261668205261,0.699999988079071,0.7059626579284668,,,,,,,,,
5e-05,5e-05,147,,,,,,,,,,,,,,,,,,,,,,,
,,149,,,,,,,,21,,,,,,,0.5633770227432251,,,,,,,,
,,153,0.301001638174057,0.8214527368545532,0.3802558183670044,0.8801606893539429,0.6214123368263245,0.6884172558784485,0.6438735127449036,21,,,,,,,,,,,,,,,
,,153,,,,,,,,21,0.7881080508232117,0.6143944263458252,0.6924999952316284,0.6968536376953125,0.6602011322975159,0.6603875160217285,,,,,,,,,
5e-05,5e-05,154,,,,,,,,,,,,,,,,,,,,,,,
,,160,0.30686017870903015,0.8218175172805786,0.3808083236217499,0.8765900731086731,0.6337568163871765,0.6813948750495911,0.6519360542297363,22,,,,,,,,,,,,,,,
,,160,,,,,,,,22,0.8093571662902832,0.6620858311653137,0.7200000286102295,0.7243608236312866,0.6842173337936401,0.6880570650100708,,,,,,,,,
5e-05,5e-05,161,,,,,,,,,,,,,,,,,,,,,,,
,,167,0.2946406602859497,0.8223628997802734,0.38167738914489746,0.8817228078842163,0.6011747717857361,0.6889793276786804,0.6252583265304565,23,,,,,,,,,,,,,,,
,,167,,,,,,,,23,0.83193039894104,0.6616837978363037,0.7275000214576721,0.743860125541687,0.697826087474823,0.7000529766082764,,,,,,,,,
5e-06,5e-06,168,,,,,,,,,,,,,,,,,,,,,,,
,,174,0.29379329085350037,0.8223839402198792,0.3815786838531494,0.8821691870689392,0.5980477333068848,0.6900432705879211,0.6222472786903381,24,,,,,,,,,,,,,,,
,,174,,,,,,,,24,0.814275324344635,0.6371846199035645,0.7475000023841858,0.746130108833313,0.706076443195343,0.7139438390731812,,,,,,,,,
5e-06,5e-06,175,,,,,,,,,,,,,,,,,,,,,,,
,,181,0.2943277955055237,0.8224695920944214,0.381778746843338,0.8823923468589783,0.6007081866264343,0.6915838122367859,0.6251856088638306,25,,,,,,,,,,,,,,,
,,181,,,,,,,,25,0.8354929685592651,0.7063593864440918,0.762499988079071,0.7593083381652832,0.7193333506584167,0.728801965713501,,,,,,,,,
5e-06,5e-06,182,,,,,,,,,,,,,,,,,,,,,,,
,,188,0.2946922481060028,0.8225048780441284,0.38185542821884155,0.8814996480941772,0.6018935441970825,0.6882762908935547,0.625863790512085,26,,,,,,,,,,,,,,,
,,188,,,,,,,,26,0.8190674185752869,0.6422659158706665,0.7350000143051147,0.7404079437255859,0.6981730461120605,0.7037037014961243,,,,,,,,,
5e-06,5e-06,189,,,,,,,,,,,,,,,,,,,,,,,
,,195,0.29504939913749695,0.8225739002227783,0.38202500343322754,0.8814996480941772,0.6052727699279785,0.6891153454780579,0.6293143033981323,27,,,,,,,,,,,,,,,
,,195,,,,,,,,27,0.8160723447799683,0.6564595103263855,0.7300000190734863,0.7254957556724548,0.688347578048706,0.6947082281112671,,,,,,,,,
5e-06,5e-06,196,,,,,,,,,,,,,,,,,,,,,,,
,,199,,,,,,,,28,,,,,,,0.5423866510391235,,,,,,,,
,,202,0.29561904072761536,0.8226273059844971,0.382161021232605,0.880607008934021,0.6081476807594299,0.6865443587303162,0.6316046118736267,28,,,,,,,,,,,,,,,
,,202,,,,,,,,28,0.7872568368911743,0.6081075072288513,0.7049999833106995,0.6968379020690918,0.6636523604393005,0.6677086353302002,,,,,,,,,
5e-06,5e-06,203,,,,,,,,,,,,,,,,,,,,,,,
