lr-Adam/pg1,lr-Adam/pg2,step,val/loss,val/auroc,val/auprc,val/acc,val/w_acc,val/av_prec,val/av_f1,epoch,train/auroc,train/auprc,train/acc,train/w_acc,train/av_prec,train/av_f1,train/loss,test/loss,test/auroc,test/auprc,test/acc,test/w_acc,test/av_prec,test/av_f1,test/bacc
0.0005,0.0005,0,,,,,,,,,,,,,,,,,,,,,,,
,,3,3.7013254165649414,0.6113888025283813,0.19018390774726868,0.11492970585823059,0.5,nan,0.10308246314525604,0,,,,,,,,,,,,,,,
,,3,,,,,,,,0,0.5987114906311035,0.24375101923942566,0.6349999904632568,0.535128116607666,0.5267648100852966,0.5227354764938354,,,,,,,,,
0.0005,0.0005,4,,,,,,,,,,,,,,,,,,,,,,,
,,7,0.33811965584754944,0.6851426362991333,0.24171778559684753,0.8841776251792908,0.512167751789093,0.6643705368041992,0.49647727608680725,1,,,,,,,,,,,,,,,
,,7,,,,,,,,1,0.506212592124939,0.2321166843175888,0.28999999165534973,0.49915632605552673,0.4988909065723419,0.28743475675582886,,,,,,,,,
0.0005,0.0005,8,,,,,,,,,,,,,,,,,,,,,,,
,,11,0.4943384528160095,0.702331006526947,0.25395074486732483,0.8393215537071228,0.5941172242164612,0.5984758138656616,0.5961967706680298,2,,,,,,,,,,,,,,,
,,11,,,,,,,,2,0.6258628368377686,0.3417903780937195,0.7400000095367432,0.6102162599563599,0.6064286828041077,0.6081976890563965,,,,,,,,,
0.0005,0.0005,12,,,,,,,,,,,,,,,,,,,,,,,
,,15,0.36660146713256836,0.7303791046142578,0.27379006147384644,0.8774827122688293,0.548936128616333,0.6445722579956055,0.5602091550827026,3,,,,,,,,,,,,,,,
,,15,,,,,,,,3,0.6059211492538452,0.2834264039993286,0.5249999761581421,0.5655008554458618,0.5428543090820312,0.48912370204925537,,,,,,,,,
0.0005,0.0005,16,,,,,,,,,,,,,,,,,,,,,,,
,,19,0.32880550622940063,0.7556945085525513,0.2927020192146301,0.884847104549408,0.5193043947219849,0.6892004609107971,0.5102109909057617,4,,,,,,,,,,,,,,,
,,19,,,,,,,,4,0.7353888750076294,0.5220410227775574,0.7799999713897705,0.6987267732620239,0.6750912666320801,0.684587836265564,,,,,,,,,
0.0005,0.0005,20,,,,,,,,,,,,,,,,,,,,,,,
,,23,0.3943643271923065,0.771215558052063,0.30853211879730225,0.8596295714378357,0.5954521298408508,0.6269255876541138,0.6072747111320496,5,,,,,,,,,,,,,,,
,,23,,,,,,,,5,0.7082374095916748,0.48139840364456177,0.7799999713897705,0.6715754270553589,0.6656791567802429,0.6684749722480774,,,,,,,,,
0.0005,0.0005,24,,,,,,,,,,,,,,,,,,,,,,,
,,27,0.3125053644180298,0.7826368808746338,0.3220981955528259,0.8819459676742554,0.545543909072876,0.6695241928100586,0.5555764436721802,6,,,,,,,,,,,,,,,
,,27,,,,,,,,6,0.8275809288024902,0.6015748977661133,0.6700000166893005,0.7290995121002197,0.65008544921875,0.6296712160110474,,,,,,,,,
0.0005,0.0005,28,,,,,,,,,,,,,,,,,,,,,,,
,,31,0.31447717547416687,0.7871298789978027,0.33070260286331177,0.8828386664390564,0.5409793853759766,0.6740812659263611,0.5485138297080994,7,,,,,,,,,,,,,,,
,,31,,,,,,,,7,0.7972081899642944,0.5189940929412842,0.7549999952316284,0.7373063564300537,0.6749208569526672,0.687410295009613,,,,,,,,,
0.0005,0.0005,32,,,,,,,,,,,,,,,,,,,,,,,
,,35,0.3484034240245819,0.7869718074798584,0.33591556549072266,0.8663244843482971,0.6110614538192749,0.6484035849571228,0.6252551674842834,8,,,,,,,,,,,,,,,
,,35,,,,,,,,8,0.8002761006355286,0.6304323673248291,0.7149999737739563,0.6940481662750244,0.639011025428772,0.6446273326873779,,,,,,,,,
0.0005,0.0005,36,,,,,,,,,,,,,,,,,,,,,,,
,,39,0.33195847272872925,0.7890214920043945,0.34019508957862854,0.8690024614334106,0.604971170425415,0.6514636278152466,0.6213140487670898,9,,,,,,,,,,,,,,,
,,39,,,,,,,,9,0.8011964559555054,0.6168314814567566,0.6650000214576721,0.7078539133071899,0.6368687152862549,0.6197394728660583,,,,,,,,,
0.0005,0.0005,40,,,,,,,,,,,,,,,,,,,,,,,
,,43,0.3211918771266937,0.7911485433578491,0.3428577780723572,0.8852934837341309,0.5617966055870056,0.7007554769515991,0.5796496868133545,10,,,,,,,,,,,,,,,
,,43,,,,,,,,10,0.8370915651321411,0.5856879949569702,0.6700000166893005,0.7381500005722046,0.655639111995697,0.6323529481887817,,,,,,,,,
0.0005,0.0005,44,,,,,,,,,,,,,,,,,,,,,,,
,,47,0.4266066253185272,0.792879045009613,0.34612712264060974,0.8855166435241699,0.5264409780502319,0.7035945653915405,0.5233299732208252,11,,,,,,,,,,,,,,,
,,47,,,,,,,,11,0.8605614304542542,0.6398571729660034,0.824999988079071,0.7994323968887329,0.7420635223388672,0.7618318796157837,,,,,,,,,
5e-05,5e-05,48,,,,,,,,,,,,,,,,,,,,,,,
,,49,,,,,,,,12,,,,,,,0.5410231947898865,,,,,,,,
,,51,0.38795891404151917,0.7933629751205444,0.346940815448761,0.8846239447593689,0.5360743403434753,0.690596342086792,0.540385365486145,12,,,,,,,,,,,,,,,
,,51,,,,,,,,12,0.8599478006362915,0.7205643653869629,0.8500000238418579,0.7337014675140381,0.7764471173286438,0.7512850165367126,,,,,,,,,
5e-05,5e-05,52,,,,,,,,,,,,,,,,,,,,,,,
,,55,0.34615111351013184,0.7939740419387817,0.34856534004211426,0.8841776251792908,0.5459598302841187,0.6885603666305542,0.5562991499900818,13,,,,,,,,,,,,,,,
,,55,,,,,,,,13,0.8823439478874207,0.724013090133667,0.8700000047683716,0.8277343511581421,0.797107458114624,0.810606062412262,,,,,,,,,
