lr-Adam/pg1,lr-Adam/pg2,step,val/loss,val/auroc,val/auprc,val/acc,val/w_acc,val/av_prec,val/av_f1,epoch,train/auroc,train/auprc,train/acc,train/w_acc,train/av_prec,train/av_f1,train/loss,test/loss,test/auroc,test/auprc,test/acc,test/w_acc,test/av_prec,test/av_f1,test/bacc
0.0005,0.0005,0,,,,,,,,,,,,,,,,,,,,,,,
,,9,0.35023224353790283,0.6115099191665649,0.19773472845554352,0.8850703239440918,0.5025343894958496,0.6927933096885681,0.47525230050086975,0,,,,,,,,,,,,,,,
,,9,,,,,,,,0,0.5127832293510437,0.3137976825237274,0.4950000047683716,0.5048354864120483,0.5041089653968811,0.4796660542488098,,,,,,,,,
0.0005,0.0005,10,,,,,,,,,,,,,,,,,,,,,,,
,,19,0.38589346408843994,0.6955588459968567,0.2549129128456116,0.8850703239440918,0.501689612865448,0.6927071809768677,0.47335493564605713,1,,,,,,,,,,,,,,,
,,19,,,,,,,,1,0.554349958896637,0.38442733883857727,0.5249999761581421,0.5371506214141846,0.5315350294113159,0.5093974471092224,,,,,,,,,
0.0005,0.0005,20,,,,,,,,,,,,,,,,,,,,,,,
,,29,0.334836483001709,0.7540563344955444,0.30924391746520996,0.8861861228942871,0.5082336068153381,0.7895289659500122,0.48681071400642395,2,,,,,,,,,,,,,,,
,,29,,,,,,,,2,0.6218500733375549,0.4647442102432251,0.5699999928474426,0.5771907567977905,0.5654856562614441,0.5508148074150085,,,,,,,,,
0.0005,0.0005,30,,,,,,,,,,,,,,,,,,,,,,,
,,39,0.36353954672813416,0.781080424785614,0.347383975982666,0.8879714608192444,0.5734471082687378,0.7209781408309937,0.5962106585502625,3,,,,,,,,,,,,,,,
,,39,,,,,,,,3,0.6680949926376343,0.4459041357040405,0.6383333206176758,0.6156189441680908,0.6024072766304016,0.6029991507530212,,,,,,,,,
0.0005,0.0005,40,,,,,,,,,,,,,,,,,,,,,,,
,,49,,,,,,,,4,,,,,,,0.6219695210456848,,,,,,,,
,,49,0.3017227351665497,0.7937434315681458,0.36710429191589355,0.8870787620544434,0.5315475463867188,0.7315042614936829,0.5321072340011597,4,,,,,,,,,,,,,,,
