lr-Adam/pg1,lr-Adam/pg2,step,val/loss,val/auroc,val/auprc,val/acc,val/w_acc,val/av_prec,val/av_f1,epoch,train/auroc,train/auprc,train/acc,train/w_acc,train/av_prec,train/av_f1,train/loss,test/loss,test/auroc,test/auprc,test/acc,test/w_acc,test/av_prec,test/av_f1,test/bacc
0.0005,0.0005,0,,,,,,,,,,,,,,,,,,,,,,,
,,15,1.401294469833374,0.5877076387405396,0.20098453760147095,0.12095514684915543,0.4974903166294098,0.47184133529663086,0.11100785434246063,0,,,,,,,,,,,,,,,
,,15,,,,,,,,0,0.5255714058876038,0.32553765177726746,0.5260000228881836,0.5200849175453186,0.5170661211013794,0.5023496747016907,,,,,,,,,
0.0005,0.0005,16,,,,,,,,,,,,,,,,,,,,,,,
,,31,0.4956386983394623,0.69400954246521,0.3060404062271118,0.8645391464233398,0.6100529432296753,0.6442408561706543,0.6232714653015137,1,,,,,,,,,,,,,,,
,,31,,,,,,,,1,0.5308220386505127,0.33047765493392944,0.5210000276565552,0.5192475318908691,0.5163294076919556,0.4995564818382263,,,,,,,,,
0.0005,0.0005,32,,,,,,,,,,,,,,,,,,,,,,,
,,47,0.7506541013717651,0.7202385067939758,0.3476998507976532,0.41843339800834656,0.6097868084907532,0.5500493049621582,0.38852623105049133,2,,,,,,,,,,,,,,,
,,47,,,,,,,,2,0.5781861543655396,0.3535134792327881,0.5669999718666077,0.5587805509567261,0.5502289533615112,0.5407682061195374,,,,,,,,,
0.0005,0.0005,48,,,,,,,,,,,,,,,,,,,,,,,
,,49,,,,,,,,3,,,,,,,0.7655203342437744,,,,,,,,
,,63,0.5684782862663269,0.7751612067222595,0.40516310930252075,0.7600982189178467,0.7149430513381958,0.6094586849212646,0.6184936761856079,3,,,,,,,,,,,,,,,
,,63,,,,,,,,3,0.5702512264251709,0.3522919714450836,0.5389999747276306,0.55335533618927,0.5452863574028015,0.5237401723861694,,,,,,,,,
0.0005,0.0005,64,,,,,,,,,,,,,,,,,,,,,,,
,,79,0.45164668560028076,0.8004083633422852,0.43352213501930237,0.8667708039283752,0.6856562495231628,0.6764948964118958,0.6808816194534302,4,,,,,,,,,,,,,,,
,,79,,,,,,,,4,0.5531878471374512,0.35074594616889954,0.5429999828338623,0.5313951969146729,0.5268091559410095,0.5158030986785889,,,,,,,,,
0.0005,0.0005,80,,,,,,,,,,,,,,,,,,,,,,,
,,95,0.5696895122528076,0.8100916147232056,0.4405719041824341,0.7458156943321228,0.7524937391281128,0.6191915273666382,0.6229417324066162,5,,,,,,,,,,,,,,,
,,95,,,,,,,,5,0.6121287941932678,0.39465993642807007,0.5839999914169312,0.592168927192688,0.5782203674316406,0.5648080110549927,,,,,,,,,
0.0005,0.0005,96,,,,,,,,,,,,,,,,,,,,,,,
,,99,,,,,,,,6,,,,,,,0.7975680232048035,,,,,,,,
,,111,0.37162429094314575,0.8209366798400879,0.46192023158073425,0.8861861228942871,0.6560739278793335,0.7132540941238403,0.6780233979225159,6,,,,,,,,,,,,,,,
,,111,,,,,,,,6,0.5902818441390991,0.36857277154922485,0.5649999976158142,0.5656209588050842,0.5557684898376465,0.5430859327316284,,,,,,,,,
0.0005,0.0005,112,,,,,,,,,,,,,,,,,,,,,,,
,,127,0.5307469367980957,0.8318468928337097,0.4732983410358429,0.7627761363983154,0.7637648582458496,0.6282181739807129,0.6381145715713501,7,,,,,,,,,,,,,,,
,,127,,,,,,,,7,0.6188513040542603,0.4279381036758423,0.5820000171661377,0.5760113000869751,0.5649763345718384,0.5564516186714172,,,,,,,,,
0.0005,0.0005,128,,,,,,,,,,,,,,,,,,,,,,,
,,143,0.47843989729881287,0.836951494216919,0.47659391164779663,0.8067395687103271,0.7564984560012817,0.6441913843154907,0.6669617295265198,8,,,,,,,,,,,,,,,
,,143,,,,,,,,8,0.6290081739425659,0.41133540868759155,0.5920000076293945,0.5878051519393921,0.5750579833984375,0.5670628547668457,,,,,,,,,
0.0005,0.0005,144,,,,,,,,,,,,,,,,,,,,,,,
,,149,,,,,,,,9,,,,,,,0.6048071384429932,,,,,,,,
,,159,0.3124757707118988,0.8433945775032043,0.4856123924255371,0.891095757484436,0.675743579864502,0.7297897338867188,0.6974281072616577,9,,,,,,,,,,,,,,,
,,159,,,,,,,,9,0.6960113048553467,0.5075934529304504,0.6349999904632568,0.6426583528518677,0.6215903162956238,0.6144253611564636,,,,,,,,,
0.0005,0.0005,160,,,,,,,,,,,,,,,,,,,,,,,
,,175,0.3048248291015625,0.8453456163406372,0.4924662113189697,0.8884177803993225,0.6852131485939026,0.7222684621810913,0.7011930346488953,10,,,,,,,,,,,,,,,
,,175,,,,,,,,10,0.6764241456985474,0.477247953414917,0.6269999742507935,0.6194244623184204,0.6030556559562683,0.5997334718704224,,,,,,,,,
0.0005,0.0005,176,,,,,,,,,,,,,,,,,,,,,,,
,,191,0.28113946318626404,0.8491640090942383,0.49390751123428345,0.8962284922599792,0.6727296113967896,0.74790358543396,0.7006433606147766,11,,,,,,,,,,,,,,,
,,191,,,,,,,,11,0.7155702114105225,0.519193708896637,0.6549999713897705,0.6552069783210754,0.6335227489471436,0.6310061812400818,,,,,,,,,
5e-05,5e-05,192,,,,,,,,,,,,,,,,,,,,,,,
,,199,,,,,,,,12,,,,,,,0.6724478006362915,,,,,,,,
,,207,0.26946771144866943,0.8496227264404297,0.49458518624305725,0.8986833095550537,0.6479275226593018,0.7648241519927979,0.6834317445755005,12,,,,,,,,,,,,,,,
,,207,,,,,,,,12,0.7535653114318848,0.5607830882072449,0.6959999799728394,0.6920627355575562,0.667696475982666,0.6701388955116272,,,,,,,,,
5e-05,5e-05,208,,,,,,,,,,,,,,,,,,,,,,,
