lr-Adam/pg1,lr-Adam/pg2,step,val/loss,val/auroc,val/auprc,val/acc,val/w_acc,val/av_prec,val/av_f1,epoch,train/auroc,train/auprc,train/acc,train/w_acc,train/av_prec,train/av_f1,train/loss,test/loss,test/auroc,test/auprc,test/acc,test/w_acc,test/av_prec,test/av_f1,test/bacc
0.0005,0.0005,0,,,,,,,,,,,,,,,,,,,,,,,
,,14,0.40838387608528137,0.6845756769180298,0.2305164337158203,0.8736889362335205,0.5366552472114563,0.6130622625350952,0.542226254940033,0,,,,,,,,,,,,,,,
,,14,,,,,,,,0,0.4947636127471924,0.29542577266693115,0.5133333206176758,0.5060364007949829,0.5051326155662537,0.48961886763572693,,,,,,,,,
0.0005,0.0005,15,,,,,,,,,,,,,,,,,,,,,,,
,,29,0.4849857687950134,0.7381617426872253,0.28448909521102905,0.8359740972518921,0.6344662308692932,0.6172844767570496,0.6247247457504272,1,,,,,,,,,,,,,,,
,,29,,,,,,,,1,0.5591855049133301,0.34281685948371887,0.5555555820465088,0.5333818197250366,0.5288997888565063,0.5221382975578308,,,,,,,,,
0.0005,0.0005,30,,,,,,,,,,,,,,,,,,,,,,,
,,44,0.34156325459480286,0.7594171762466431,0.31707847118377686,0.8830618262290955,0.5529326796531677,0.6816659569740295,0.5666312575340271,2,,,,,,,,,,,,,,,
,,44,,,,,,,,2,0.5360116362571716,0.3221644163131714,0.5322222113609314,0.5277818441390991,0.5236269235610962,0.509181022644043,,,,,,,,,
0.0005,0.0005,45,,,,,,,,,,,,,,,,,,,,,,,
,,49,,,,,,,,3,,,,,,,0.7430174946784973,,,,,,,,
,,59,0.3852209448814392,0.7737470269203186,0.3412843346595764,0.8750278949737549,0.6168230772018433,0.6717965602874756,0.636071503162384,3,,,,,,,,,,,,,,,
,,59,,,,,,,,3,0.5917497873306274,0.3820221424102783,0.5655555725097656,0.5650181770324707,0.5553426146507263,0.5432237386703491,,,,,,,,,
0.0005,0.0005,60,,,,,,,,,,,,,,,,,,,,,,,
,,74,0.3320278227329254,0.7948102951049805,0.36934182047843933,0.885739803314209,0.6034440994262695,0.7067676782608032,0.6301789879798889,4,,,,,,,,,,,,,,,
,,74,,,,,,,,4,0.6139461994171143,0.399453729391098,0.5744444727897644,0.582618236541748,0.5701581239700317,0.5556701421737671,,,,,,,,,
0.0005,0.0005,75,,,,,,,,,,,,,,,,,,,,,,,
,,89,0.29695284366607666,0.7996768951416016,0.37393832206726074,0.8852934837341309,0.52800452709198,0.6992719173431396,0.5262356400489807,5,,,,,,,,,,,,,,,
,,89,,,,,,,,5,0.6092974543571472,0.4026487171649933,0.5888888835906982,0.5879272222518921,0.5750331282615662,0.5656914710998535,,,,,,,,,
0.0005,0.0005,90,,,,,,,,,,,,,,,,,,,,,,,
,,99,,,,,,,,6,,,,,,,0.6309559941291809,,,,,,,,
,,104,0.5108617544174194,0.8038203120231628,0.3874939978122711,0.7625529766082764,0.7290018796920776,0.61552894115448,0.6254639625549316,6,,,,,,,,,,,,,,,
,,104,,,,,,,,6,0.6598807573318481,0.46358513832092285,0.6144444346427917,0.6083636283874512,0.5932201147079468,0.5882505774497986,,,,,,,,,
0.0005,0.0005,105,,,,,,,,,,,,,,,,,,,,,,,
,,119,0.3904492259025574,0.798708975315094,0.38424909114837646,0.8589600324630737,0.6905365586280823,0.6664229035377502,0.6770668625831604,7,,,,,,,,,,,,,,,
,,119,,,,,,,,7,0.6288291215896606,0.4290573298931122,0.554444432258606,0.5814545154571533,0.5695327520370483,0.5432333946228027,,,,,,,,,
0.0005,0.0005,120,,,,,,,,,,,,,,,,,,,,,,,
,,134,0.30645760893821716,0.8018125295639038,0.39112865924835205,0.8879714608192444,0.6047047972679138,0.7178339958190918,0.632988691329956,8,,,,,,,,,,,,,,,
,,134,,,,,,,,8,0.6589323878288269,0.47218790650367737,0.602222204208374,0.6056727170944214,0.5900654196739197,0.580678403377533,,,,,,,,,
0.0005,0.0005,135,,,,,,,,,,,,,,,,,,,,,,,
,,149,,,,,,,,9,,,,,,,0.31088677048683167,,,,,,,,
,,149,0.28997620940208435,0.8087314963340759,0.40384575724601746,0.8888640999794006,0.571416974067688,0.7289577126502991,0.5938670635223389,9,,,,,,,,,,,,,,,
,,149,,,,,,,,9,0.6793890595436096,0.4658200740814209,0.6122221946716309,0.6291636228561401,0.609649121761322,0.5958771705627441,,,,,,,,,
0.0005,0.0005,150,,,,,,,,,,,,,,,,,,,,,,,
