lr-Adam/pg1,lr-Adam/pg2,step,val/loss,val/auroc,val/auprc,val/acc,val/w_acc,val/av_prec,val/av_f1,epoch,train/auroc,train/auprc,train/acc,train/w_acc,train/av_prec,train/av_f1,train/loss,test/loss,test/auroc,test/auprc,test/acc,test/w_acc,test/av_prec,test/av_f1,test/bacc
0.0005,0.0005,0,,,,,,,,,,,,,,,,,,,,,,,
,,12,0.30065688490867615,0.7873961925506592,0.36017367243766785,0.8870787620544434,0.5467539429664612,0.7201257348060608,0.5576412081718445,0,,,,,,,,,,,,,,,
,,12,,,,,,,,0,0.5413843989372253,0.4790043234825134,0.5262500047683716,0.5238608121871948,0.5232827663421631,0.521584689617157,,,,,,,,,
0.0005,0.0005,13,,,,,,,,,,,,,,,,,,,,,,,
,,25,0.2961884140968323,0.8138149976730347,0.41322609782218933,0.8893104195594788,0.6088404655456543,0.7246000170707703,0.638256847858429,1,,,,,,,,,,,,,,,
,,25,,,,,,,,1,0.6721892952919006,0.586715817451477,0.6162499785423279,0.6195094585418701,0.6164507269859314,0.6138553023338318,,,,,,,,,
0.0005,0.0005,26,,,,,,,,,,,,,,,,,,,,,,,
,,38,0.3057502210140228,0.8272774815559387,0.4408720135688782,0.8884177803993225,0.6429730653762817,0.7199486494064331,0.6694819331169128,2,,,,,,,,,,,,,,,
,,38,,,,,,,,2,0.7430213689804077,0.6698626279830933,0.6837499737739563,0.6818041801452637,0.6783639788627625,0.679031252861023,,,,,,,,,
0.0005,0.0005,39,,,,,,,,,,,,,,,,,,,,,,,
,,49,,,,,,,,3,,,,,,,0.6083719730377197,,,,,,,,
,,51,0.27672821283340454,0.8314170837402344,0.445870965719223,0.8922115564346313,0.5978073477745056,0.7450299859046936,0.6281988620758057,3,,,,,,,,,,,,,,,
,,51,,,,,,,,3,0.7645858526229858,0.6978862285614014,0.6924999952316284,0.6975574493408203,0.6924999952316284,0.6905193328857422,,,,,,,,,
0.0005,0.0005,52,,,,,,,,,,,,,,,,,,,,,,,
,,64,0.27791526913642883,0.8297680616378784,0.4464191496372223,0.8913189172744751,0.5913894176483154,0.741109311580658,0.6201858520507812,4,,,,,,,,,,,,,,,
,,64,,,,,,,,4,0.7701854705810547,0.7123850584030151,0.6912500262260437,0.691143274307251,0.6869803667068481,0.687380850315094,,,,,,,,,
0.0005,0.0005,65,,,,,,,,,,,,,,,,,,,,,,,
,,77,0.29964005947113037,0.8379595875740051,0.4593946933746338,0.8935505747795105,0.5664612650871277,0.7874255776405334,0.5885744094848633,5,,,,,,,,,,,,,,,
,,77,,,,,,,,5,0.8053610324859619,0.750830888748169,0.7225000262260437,0.7225985527038574,0.7179679870605469,0.7187808752059937,,,,,,,,,
0.0005,0.0005,78,,,,,,,,,,,,,,,,,,,,,,,
,,90,0.2742728590965271,0.8440349698066711,0.47332194447517395,0.895335853099823,0.6029515266418457,0.765955924987793,0.6361411809921265,6,,,,,,,,,,,,,,,
,,90,,,,,,,,6,0.8240327835083008,0.7844624519348145,0.7350000143051147,0.7305008172988892,0.7284610271453857,0.7293087244033813,,,,,,,,,
0.0005,0.0005,91,,,,,,,,,,,,,,,,,,,,,,,
,,99,,,,,,,,7,,,,,,,0.5962276458740234,,,,,,,,
,,103,0.2735530734062195,0.8456682562828064,0.47586673498153687,0.8946663737297058,0.6110213398933411,0.7563076615333557,0.6444894075393677,7,,,,,,,,,,,,,,,
,,103,,,,,,,,7,0.8491315245628357,0.807365894317627,0.7599999904632568,0.761083722114563,0.755652666091919,0.7567834854125977,,,,,,,,,
0.0005,0.0005,104,,,,,,,,,,,,,,,,,,,,,,,
,,116,0.282224178314209,0.846274197101593,0.4817730784416199,0.8906494379043579,0.6746466159820557,0.7283554077148438,0.6961880922317505,8,,,,,,,,,,,,,,,
,,116,,,,,,,,8,0.8540256023406982,0.805799126625061,0.7762500047683716,0.7705767750740051,0.7703565359115601,0.7704653739929199,,,,,,,,,
0.0005,0.0005,117,,,,,,,,,,,,,,,,,,,,,,,
,,129,0.3092767000198364,0.84493488073349,0.48272228240966797,0.8971211910247803,0.586219310760498,0.8023220300674438,0.617110550403595,9,,,,,,,,,,,,,,,
,,129,,,,,,,,9,0.8624602556228638,0.8120346665382385,0.7699999809265137,0.7754515409469604,0.7685074210166931,0.7681218385696411,,,,,,,,,
0.0005,0.0005,130,,,,,,,,,,,,,,,,,,,,,,,
,,142,0.3230273723602295,0.8442783355712891,0.4820478558540344,0.8955590128898621,0.567595899105072,0.8182532787322998,0.5908618569374084,10,,,,,,,,,,,,,,,
,,142,,,,,,,,10,0.8558343648910522,0.8096379041671753,0.7724999785423279,0.7677544951438904,0.7665032148361206,0.7670832872390747,,,,,,,,,
0.0005,0.0005,143,,,,,,,,,,,,,,,,,,,,,,,
,,149,,,,,,,,11,,,,,,,0.4838099777698517,,,,,,,,
,,155,0.3241960108280182,0.8456825017929077,0.4826120138168335,0.8962284922599792,0.5831805467605591,0.795950174331665,0.6126876473426819,11,,,,,,,,,,,,,,,
,,155,,,,,,,,11,0.8931971192359924,0.8519527912139893,0.8174999952316284,0.8196839094161987,0.8132621049880981,0.8149451017379761,,,,,,,,,
5e-05,5e-05,156,,,,,,,,,,,,,,,,,,,,,,,
,,168,0.2875865399837494,0.8455532789230347,0.4834262728691101,0.8968980312347412,0.6300229430198669,0.7619457244873047,0.6654906868934631,12,,,,,,,,,,,,,,,
,,168,,,,,,,,12,0.8996561765670776,0.8658594489097595,0.8199999928474426,0.8160919547080994,0.8150894641876221,0.8155690431594849,,,,,,,,,
5e-05,5e-05,169,,,,,,,,,,,,,,,,,,,,,,,
,,181,0.29988500475883484,0.84551602602005,0.48331761360168457,0.8982369899749756,0.6147280931472778,0.7803773880004883,0.6512435674667358,13,,,,,,,,,,,,,,,
,,181,,,,,,,,13,0.904595136642456,0.8616248369216919,0.8199999928474426,0.8238916397094727,0.8165575861930847,0.8178955316543579,,,,,,,,,
5e-05,5e-05,182,,,,,,,,,,,,,,,,,,,,,,,
,,194,0.30147549510002136,0.8454033136367798,0.48370361328125,0.8986833095550537,0.6166698336601257,0.7823598384857178,0.6536646485328674,14,,,,,,,,,,,,,,,
,,194,,,,,,,,14,0.9107848405838013,0.8862453699111938,0.8212500214576721,0.8225061893463135,0.816674530506134,0.8184700608253479,,,,,,,,,
5e-05,5e-05,195,,,,,,,,,,,,,,,,,,,,,,,
,,199,,,,,,,,15,,,,,,,0.41307350993156433,,,,,,,,
,,207,0.29749795794487,0.8452805280685425,0.483971506357193,0.8982369899749756,0.624865710735321,0.773240864276886,0.6616630554199219,15,,,,,,,,,,,,,,,
,,207,,,,,,,,15,0.9166603088378906,0.8864060640335083,0.8337500095367432,0.8316400051116943,0.8289246559143066,0.830116331577301,,,,,,,,,
5e-05,5e-05,208,,,,,,,,,,,,,,,,,,,,,,,
,,220,0.3014117479324341,0.8450024127960205,0.48380744457244873,0.8980138301849365,0.6205156445503235,0.7744444608688354,0.6570869088172913,16,,,,,,,,,,,,,,,
,,220,,,,,,,,16,0.90114426612854,0.873615026473999,0.8137500286102295,0.8135775923728943,0.8087942600250244,0.810485303401947,,,,,,,,,
5e-05,5e-05,221,,,,,,,,,,,,,,,,,,,,,,,
,,233,0.29911577701568604,0.8446910381317139,0.4841013550758362,0.8982369899749756,0.624865710735321,0.773240864276886,0.6616630554199219,17,,,,,,,,,,,,,,,
,,233,,,,,,,,17,0.9071736335754395,0.8728452920913696,0.8262500166893005,0.827226996421814,0.8216016888618469,0.8234357237815857,,,,,,,,,
5e-05,5e-05,234,,,,,,,,,,,,,,,,,,,,,,,
,,246,0.30966266989707947,0.8447591066360474,0.48403504490852356,0.8982369899749756,0.6121937036514282,0.782492458820343,0.6485267877578735,18,,,,,,,,,,,,,,,
,,246,,,,,,,,18,0.9066733121871948,0.8748376369476318,0.8137500286102295,0.8131670951843262,0.8087176084518433,0.8103574514389038,,,,,,,,,
5e-05,5e-05,247,,,,,,,,,,,,,,,,,,,,,,,
,,249,,,,,,,,19,,,,,,,0.4353407323360443,,,,,,,,
,,259,0.30366218090057373,0.8448295593261719,0.4840737581253052,0.8986833095550537,0.6242730617523193,0.7767436504364014,0.6614657640457153,19,,,,,,,,,,,,,,,
,,259,,,,,,,,19,0.9123306274414062,0.8782321214675903,0.8287500143051147,0.8260980844497681,0.8238732218742371,0.8248751163482666,,,,,,,,,
5e-05,5e-05,260,,,,,,,,,,,,,,,,,,,,,,,
,,272,0.301246702671051,0.844842791557312,0.48463961482048035,0.8986833095550537,0.6276522874832153,0.7745857238769531,0.6648098230361938,20,,,,,,,,,,,,,,,
,,272,,,,,,,,20,0.8958910703659058,0.859043538570404,0.8137500286102295,0.8139880895614624,0.8088863492012024,0.8106105327606201,,,,,,,,,
5e-05,5e-05,273,,,,,,,,,,,,,,,,,,,,,,,
,,285,0.303756982088089,0.8444702625274658,0.4842107892036438,0.8986833095550537,0.6242730617523193,0.7767436504364014,0.6614657640457153,21,,,,,,,,,,,,,,,
,,285,,,,,,,,21,0.9127732515335083,0.8764209747314453,0.8374999761581421,0.8397988677024841,0.8332327008247375,0.8351258039474487,,,,,,,,,
5e-05,5e-05,286,,,,,,,,,,,,,,,,,,,,,,,
,,298,0.29965144395828247,0.844012975692749,0.4842226505279541,0.8980138301849365,0.6281188726425171,0.7698626518249512,0.6646615266799927,22,,,,,,,,,,,,,,,
,,298,,,,,,,,22,0.9123306274414062,0.8752954006195068,0.8274999856948853,0.8278940916061401,0.8227272629737854,0.8245346546173096,,,,,,,,,
5e-05,5e-05,299,,,,,,,,,,,,,,,,,,,,,,,
,,299,,,,,,,,23,,,,,,,0.42507562041282654,,,,,,,,
,,311,0.30176764726638794,0.8436163663864136,0.4840014576911926,0.8989064693450928,0.6286231279373169,0.7755036950111389,0.6659600734710693,23,,,,,,,,,,,,,,,
,,311,,,,,,,,23,0.9161856174468994,0.8887121677398682,0.831250011920929,0.830305814743042,0.8263557553291321,0.8279374837875366,,,,,,,,,
5e-06,5e-06,312,,,,,,,,,,,,,,,,,,,,,,,
,,324,0.3016379475593567,0.8436340093612671,0.48410964012145996,0.8989064693450928,0.6286231279373169,0.7755036950111389,0.6659600734710693,24,,,,,,,,,,,,,,,
,,324,,,,,,,,24,0.9145948886871338,0.8884943127632141,0.8287500143051147,0.8314347267150879,0.8246564865112305,0.8264039754867554,,,,,,,,,
5e-06,5e-06,325,,,,,,,,,,,,,,,,,,,,,,,
,,337,0.30337953567504883,0.8436300754547119,0.4841923713684082,0.8989064693450928,0.6260887384414673,0.7771178483963013,0.6634712815284729,25,,,,,,,,,,,,,,,
,,337,,,,,,,,25,0.9055444002151489,0.877749502658844,0.8274999856948853,0.8283045887947083,0.8228133916854858,0.824649453163147,,,,,,,,,
5e-06,5e-06,338,,,,,,,,,,,,,,,,,,,,,,,
,,349,,,,,,,,26,,,,,,,0.39908677339553833,,,,,,,,
,,350,0.3039155900478363,0.8436393737792969,0.48420029878616333,0.8989064693450928,0.6252439618110657,0.7776795625686646,0.6626325845718384,26,,,,,,,,,,,,,,,
,,350,,,,,,,,26,0.9119393825531006,0.8854824900627136,0.8299999833106995,0.8321018218994141,0.8256843686103821,0.8275161981582642,,,,,,,,,
5e-06,5e-06,351,,,,,,,,,,,,,,,,,,,,,,,
,,363,0.3046477437019348,0.8436954617500305,0.48429787158966064,0.8989064693450928,0.6252439618110657,0.7776795625686646,0.6626325845718384,27,,,,,,,,,,,,,,,
,,363,,,,,,,,27,0.9246652126312256,0.8943898677825928,0.8575000166893005,0.8570402264595032,0.8529829978942871,0.854651153087616,,,,,,,,,
5e-06,5e-06,364,,,,,,,,,,,,,,,,,,,,,,,
,,376,0.3058412969112396,0.8437284827232361,0.4842258095741272,0.8991296291351318,0.6253700256347656,0.7791864275932312,0.6629571318626404,28,,,,,,,,,,,,,,,
