lr-Adam/pg1,lr-Adam/pg2,step,val/loss,val/auroc,val/auprc,val/acc,val/w_acc,val/av_prec,val/av_f1,epoch,train/auroc,train/auprc,train/acc,train/w_acc,train/av_prec,train/av_f1,train/loss,test/loss,test/auroc,test/auprc,test/acc,test/w_acc,test/av_prec,test/av_f1,test/bacc
0.0005,0.0005,0,,,,,,,,,,,,,,,,,,,,,,,
,,9,1.1196218729019165,0.6196916103363037,0.19176748394966125,0.13166703283786774,0.5043865442276001,0.5234371423721313,0.12367230653762817,0,,,,,,,,,,,,,,,
,,9,,,,,,,,0,0.4961884915828705,0.2592630684375763,0.49666666984558105,0.5060637593269348,0.5046718120574951,0.4702436029911041,,,,,,,,,
0.0005,0.0005,10,,,,,,,,,,,,,,,,,,,,,,,
,,19,0.9656341671943665,0.688445508480072,0.2624218463897705,0.17964740097522736,0.5289575457572937,0.5460174679756165,0.1778930425643921,1,,,,,,,,,,,,,,,
,,19,,,,,,,,1,0.577067494392395,0.2994959056377411,0.596666693687439,0.5445253252983093,0.5367510318756104,0.5326921939849854,,,,,,,,,
0.0005,0.0005,20,,,,,,,,,,,,,,,,,,,,,,,
,,29,0.5591210126876831,0.7299120426177979,0.30242568254470825,0.7799598574638367,0.6526656150817871,0.591354250907898,0.6027207970619202,2,,,,,,,,,,,,,,,
,,29,,,,,,,,2,0.5845605134963989,0.35627269744873047,0.5849999785423279,0.5615904331207275,0.5485926866531372,0.5382033586502075,,,,,,,,,
0.0005,0.0005,30,,,,,,,,,,,,,,,,,,,,,,,
,,39,0.3278675973415375,0.775510311126709,0.34916001558303833,0.8893104195594788,0.529429018497467,0.8011146187782288,0.527626097202301,3,,,,,,,,,,,,,,,
,,39,,,,,,,,3,0.6182721257209778,0.36073821783065796,0.5450000166893005,0.5844594836235046,0.5654545426368713,0.5263692140579224,,,,,,,,,
0.0005,0.0005,40,,,,,,,,,,,,,,,,,,,,,,,
,,49,,,,,,,,4,,,,,,,0.6214322447776794,,,,,,,,
,,49,0.43236836791038513,0.8044313192367554,0.39236947894096375,0.8645391464233398,0.6573618650436401,0.663768470287323,0.6604576110839844,4,,,,,,,,,,,,,,,
,,49,,,,,,,,4,0.6485331654548645,0.3961610794067383,0.6183333396911621,0.6132190227508545,0.5886312127113342,0.579187273979187,,,,,,,,,
0.0005,0.0005,50,,,,,,,,,,,,,,,,,,,,,,,
,,59,0.29173773527145386,0.8187408447265625,0.4154964089393616,0.891095757484436,0.5329720377922058,0.852898359298706,0.5336902141571045,5,,,,,,,,,,,,,,,
,,59,,,,,,,,5,0.7046951055526733,0.4941018223762512,0.6383333206176758,0.6329694986343384,0.604688823223114,0.5984938740730286,,,,,,,,,
0.0005,0.0005,60,,,,,,,,,,,,,,,,,,,,,,,
,,69,0.29612666368484497,0.8256475925445557,0.42552483081817627,0.890872597694397,0.5311563014984131,0.8582329750061035,0.5303765535354614,6,,,,,,,,,,,,,,,
,,69,,,,,,,,6,0.7221933603286743,0.49684494733810425,0.6616666913032532,0.6487352848052979,0.6190721392631531,0.6179314851760864,,,,,,,,,
0.0005,0.0005,70,,,,,,,,,,,,,,,,,,,,,,,
,,79,0.31576022505760193,0.8297622203826904,0.43270590901374817,0.8904262185096741,0.527525007724762,0.8718270063400269,0.5236423015594482,7,,,,,,,,,,,,,,,
,,79,,,,,,,,7,0.7145270109176636,0.47405701875686646,0.6433333158493042,0.6612958908081055,0.6249328851699829,0.6129919290542603,,,,,,,,,
0.0005,0.0005,80,,,,,,,,,,,,,,,,,,,,,,,
,,89,0.2806495726108551,0.837715208530426,0.4504164457321167,0.8933273553848267,0.5570423603057861,0.804774284362793,0.5744014978408813,8,,,,,,,,,,,,,,,
,,89,,,,,,,,8,0.767353892326355,0.5587831735610962,0.6933333277702332,0.6784477233886719,0.6452409029006958,0.6486359238624573,,,,,,,,,
0.0005,0.0005,90,,,,,,,,,,,,,,,,,,,,,,,
,,99,,,,,,,,9,,,,,,,0.42652612924575806,,,,,,,,
,,99,0.2717303931713104,0.843652606010437,0.45994868874549866,0.8928810358047485,0.5736863017082214,0.7680822610855103,0.5984761118888855,9,,,,,,,,,,,,,,,
,,99,,,,,,,,9,0.7857761383056641,0.5649433135986328,0.7166666388511658,0.7129244804382324,0.6722012162208557,0.6771130561828613,,,,,,,,,
0.0005,0.0005,100,,,,,,,,,,,,,,,,,,,,,,,
,,109,0.26987606287002563,0.8456854224205017,0.46381765604019165,0.8933273553848267,0.6153337359428406,0.7459983229637146,0.6479586958885193,10,,,,,,,,,,,,,,,
,,109,,,,,,,,10,0.8132075071334839,0.6448377966880798,0.7200000286102295,0.7110186815261841,0.6723259687423706,0.6783088445663452,,,,,,,,,
0.0005,0.0005,110,,,,,,,,,,,,,,,,,,,,,,,
,,119,0.2741073668003082,0.8454768657684326,0.4654834568500519,0.8937737345695496,0.5961554050445557,0.7578031420707703,0.6272906064987183,11,,,,,,,,,,,,,,,
,,119,,,,,,,,11,0.8333333730697632,0.6217632293701172,0.7683333158493042,0.7582293748855591,0.7169814705848694,0.7280189394950867,,,,,,,,,
5e-05,5e-05,120,,,,,,,,,,,,,,,,,,,,,,,
,,129,0.2806835472583771,0.8460452556610107,0.46671563386917114,0.8922115564346313,0.5749976634979248,0.7592263221740723,0.5999743938446045,12,,,,,,,,,,,,,,,
,,129,,,,,,,,12,0.8409563302993774,0.6524964570999146,0.7516666650772095,0.7739951610565186,0.7171421051025391,0.7223386764526367,,,,,,,,,
5e-05,5e-05,130,,,,,,,,,,,,,,,,,,,,,,,
,,139,0.2937142550945282,0.8468986749649048,0.467723548412323,0.8942200541496277,0.5676842927932739,0.7953828573226929,0.5905538201332092,13,,,,,,,,,,,,,,,
,,139,,,,,,,,13,0.8589743375778198,0.672799825668335,0.7866666913032532,0.7747747898101807,0.7344881892204285,0.7468321323394775,,,,,,,,,
5e-05,5e-05,140,,,,,,,,,,,,,,,,,,,,,,,
,,149,,,,,,,,14,,,,,,,0.4378768503665924,,,,,,,,
,,149,0.27999624609947205,0.8480007648468018,0.47018492221832275,0.8922115564346313,0.5809112787246704,0.75438392162323,0.6077351570129395,14,,,,,,,,,,,,,,,
,,149,,,,,,,,14,0.8620062470436096,0.670910656452179,0.7799999713897705,0.7723492383956909,0.7293328046798706,0.7413252592086792,,,,,,,,,
5e-05,5e-05,150,,,,,,,,,,,,,,,,,,,,,,,
,,159,0.2994363307952881,0.8485103845596313,0.4708471894264221,0.8939968943595886,0.5667133927345276,0.7938253283500671,0.5890785455703735,15,,,,,,,,,,,,,,,
,,159,,,,,,,,15,0.8640996813774109,0.6762320399284363,0.7716666460037231,0.7708766460418701,0.7239998579025269,0.7350703477859497,,,,,,,,,
