lr-Adam/pg1,lr-Adam/pg2,step,val/loss,val/auroc,val/auprc,val/acc,val/w_acc,val/av_prec,val/av_f1,epoch,train/auroc,train/auprc,train/acc,train/w_acc,train/av_prec,train/av_f1,train/loss,test/loss,test/auroc,test/auprc,test/acc,test/w_acc,test/av_prec,test/av_f1,test/bacc
0.0005,0.0005,0,,,,,,,,,,,,,,,,,,,,,,,
,,10,0.5160477161407471,0.5897728204727173,0.18448473513126373,0.8295023441314697,0.5505539774894714,0.5577225089073181,0.5535264611244202,0,,,,,,,,,,,,,,,
,,10,,,,,,,,0,0.5046151876449585,0.34865567088127136,0.508571445941925,0.5211156606674194,0.5190742015838623,0.500680148601532,,,,,,,,,
0.0005,0.0005,11,,,,,,,,,,,,,,,,,,,,,,,
,,21,0.471221923828125,0.6761139631271362,0.24909594655036926,0.8594064116477966,0.5725163817405701,0.6109169125556946,0.5844413042068481,1,,,,,,,,,,,,,,,
,,21,,,,,,,,1,0.5601067543029785,0.3911733627319336,0.5471428632736206,0.5403252840042114,0.5364407300949097,0.5296486616134644,,,,,,,,,
0.0005,0.0005,22,,,,,,,,,,,,,,,,,,,,,,,
,,32,0.37357112765312195,0.742306649684906,0.32209861278533936,0.8886409401893616,0.5527052879333496,0.7364853024482727,0.5670251846313477,2,,,,,,,,,,,,,,,
,,32,,,,,,,,2,0.5890233516693115,0.44813138246536255,0.5671428442001343,0.5696139931678772,0.5626634359359741,0.5538108944892883,,,,,,,,,
0.0005,0.0005,33,,,,,,,,,,,,,,,,,,,,,,,
,,43,0.34892338514328003,0.774878740310669,0.3615076541900635,0.8884177803993225,0.5399071574211121,0.7466636896133423,0.5464097261428833,3,,,,,,,,,,,,,,,
,,43,,,,,,,,3,0.5994699001312256,0.41535142064094543,0.5899999737739563,0.587975025177002,0.5795003175735474,0.5741614103317261,,,,,,,,,
0.0005,0.0005,44,,,,,,,,,,,,,,,,,,,,,,,
,,49,,,,,,,,4,,,,,,,0.6911121010780334,,,,,,,,
,,54,0.3923397958278656,0.7888739109039307,0.3924722671508789,0.8866324424743652,0.6166204214096069,0.7117037773132324,0.6441404819488525,4,,,,,,,,,,,,,,,
,,54,,,,,,,,4,0.658719003200531,0.5030568838119507,0.6000000238418579,0.6026194095611572,0.5925162434577942,0.5861626267433167,,,,,,,,,
0.0005,0.0005,55,,,,,,,,,,,,,,,,,,,,,,,
,,65,0.30430272221565247,0.7974311113357544,0.4027279019355774,0.8906494379043579,0.5758047699928284,0.7430245876312256,0.6003912687301636,5,,,,,,,,,,,,,,,
,,65,,,,,,,,5,0.6748836040496826,0.5146204233169556,0.6328571438789368,0.6275651454925537,0.6162530779838562,0.6149392127990723,,,,,,,,,
0.0005,0.0005,66,,,,,,,,,,,,,,,,,,,,,,,
,,76,0.30619508028030396,0.813737154006958,0.4330572485923767,0.8928810358047485,0.6252192258834839,0.7408889532089233,0.6574015021324158,6,,,,,,,,,,,,,,,
,,76,,,,,,,,6,0.709717869758606,0.5305424332618713,0.6571428775787354,0.658092737197876,0.6434672474861145,0.6419925689697266,,,,,,,,,
0.0005,0.0005,77,,,,,,,,,,,,,,,,,,,,,,,
,,87,0.2775250971317291,0.8303124904632568,0.45328372716903687,0.8960053324699402,0.6092433929443359,0.766973614692688,0.6435953974723816,7,,,,,,,,,,,,,,,
,,87,,,,,,,,7,0.7418745756149292,0.5838626623153687,0.6728571653366089,0.6659935712814331,0.6526678800582886,0.6541016697883606,,,,,,,,,
0.0005,0.0005,88,,,,,,,,,,,,,,,,,,,,,,,
,,98,0.27632009983062744,0.831652045249939,0.45611751079559326,0.8962284922599792,0.6262655258178711,0.7595054507255554,0.6612773537635803,8,,,,,,,,,,,,,,,
,,98,,,,,,,,8,0.8129316568374634,0.6993429660797119,0.7385714054107666,0.7390564680099487,0.7198654413223267,0.723583459854126,,,,,,,,,
0.0005,0.0005,99,,,,,,,,,,,,,,,,,,,,,,,
,,99,,,,,,,,9,,,,,,,0.4194265604019165,,,,,,,,
,,109,0.31459787487983704,0.8332410454750061,0.4551774859428406,0.8944432139396667,0.5593623518943787,0.8207846879959106,0.5782030820846558,9,,,,,,,,,,,,,,,
,,109,,,,,,,,9,0.8065329790115356,0.7034443020820618,0.7099999785423279,0.7133346796035767,0.694416880607605,0.6958469152450562,,,,,,,,,
0.0005,0.0005,110,,,,,,,,,,,,,,,,,,,,,,,
,,120,0.2858441174030304,0.8416011929512024,0.4701860547065735,0.8973443508148193,0.6066206097602844,0.7798041105270386,0.641715407371521,10,,,,,,,,,,,,,,,
,,120,,,,,,,,10,0.8063606023788452,0.6857206225395203,0.7257142663002014,0.7172056436538696,0.702790379524231,0.7067525386810303,,,,,,,,,
0.0005,0.0005,121,,,,,,,,,,,,,,,,,,,,,,,
,,131,0.2808728516101837,0.8419816493988037,0.473063588142395,0.8960053324699402,0.6236050128936768,0.7592789530754089,0.6584755182266235,11,,,,,,,,,,,,,,,
,,131,,,,,,,,11,0.8219987750053406,0.707405686378479,0.7528571486473083,0.7478874921798706,0.7311755418777466,0.7359763383865356,,,,,,,,,
5e-05,5e-05,132,,,,,,,,,,,,,,,,,,,,,,,
,,142,0.330111026763916,0.8415693640708923,0.4712185263633728,0.8966748714447021,0.5766742825508118,0.8145732283592224,0.6041743755340576,12,,,,,,,,,,,,,,,
