lr-Adam/pg1,lr-Adam/pg2,step,val/loss,val/auroc,val/auprc,val/acc,val/w_acc,val/av_prec,val/av_f1,epoch,train/auroc,train/auprc,train/acc,train/w_acc,train/av_prec,train/av_f1,train/loss,test/loss,test/auroc,test/auprc,test/acc,test/w_acc,test/av_prec,test/av_f1,test/bacc
0.0005,0.0005,0,,,,,,,,,,,,,,,,,,,,,,,
,,3,2.7007222175598145,0.6672659516334534,0.2522723376750946,0.11492970585823059,0.5,nan,0.10308246314525604,0,,,,,,,,,,,,,,,
,,3,,,,,,,,0,0.559003472328186,0.33744823932647705,0.6449999809265137,0.5358391404151917,0.5301803350448608,0.5297857522964478,,,,,,,,,
0.0005,0.0005,4,,,,,,,,,,,,,,,,,,,,,,,
,,7,0.5014851093292236,0.7285441160202026,0.2876093089580536,0.8855166435241699,0.5027865767478943,0.8178188800811768,0.4754001498222351,1,,,,,,,,,,,,,,,
,,7,,,,,,,,1,0.6078088283538818,0.3987729251384735,0.36500000953674316,0.5276806354522705,0.5272401571273804,0.3649841248989105,,,,,,,,,
0.0005,0.0005,8,,,,,,,,,,,,,,,,,,,,,,,
,,11,0.3471478521823883,0.7514333128929138,0.32063615322113037,0.8844007849693298,0.5486202836036682,0.6913132667541504,0.5603827238082886,2,,,,,,,,,,,,,,,
,,11,,,,,,,,2,0.7316433787345886,0.5106735229492188,0.8100000023841858,0.6008158326148987,0.7657450437545776,0.6168582439422607,,,,,,,,,
0.0005,0.0005,12,,,,,,,,,,,,,,,,,,,,,,,
,,15,0.4505711793899536,0.7623873353004456,0.33119913935661316,0.8625307083129883,0.6418655514717102,0.6545762419700623,0.647757887840271,3,,,,,,,,,,,,,,,
,,15,,,,,,,,3,0.7982226014137268,0.6240956783294678,0.6700000166893005,0.7231934666633606,0.6537535190582275,0.6349153518676758,,,,,,,,,
0.0005,0.0005,16,,,,,,,,,,,,,,,,,,,,,,,
,,19,0.33915063738822937,0.755034327507019,0.324826180934906,0.8868556022644043,0.5170598030090332,0.7609488368034363,0.5047447681427002,4,,,,,,,,,,,,,,,
,,19,,,,,,,,4,0.8200757503509521,0.6814553737640381,0.7250000238418579,0.7176573276519775,0.6611476540565491,0.6677840948104858,,,,,,,,,
0.0005,0.0005,20,,,,,,,,,,,,,,,,,,,,,,,
,,23,0.3551245927810669,0.7672845125198364,0.33796343207359314,0.8841776251792908,0.5653902888298035,0.6931830048561096,0.5842414498329163,5,,,,,,,,,,,,,,,
,,23,,,,,,,,5,0.810168981552124,0.6315541863441467,0.8299999833106995,0.7441724538803101,0.7525618076324463,0.7481854557991028,,,,,,,,,
0.0005,0.0005,24,,,,,,,,,,,,,,,,,,,,,,,
,,27,0.3464662432670593,0.7707411050796509,0.3423561453819275,0.885739803314209,0.5679624080657959,0.7044764161109924,0.5881670713424683,6,,,,,,,,,,,,,,,
,,27,,,,,,,,6,0.8814102411270142,0.727637767791748,0.75,0.8152680397033691,0.7195616960525513,0.7173224687576294,,,,,,,,,
0.0005,0.0005,28,,,,,,,,,,,,,,,,,,,,,,,
,,31,0.31038737297058105,0.7724865078926086,0.3437533974647522,0.8886409401893616,0.5442572236061096,0.7447420954704285,0.5536386370658875,7,,,,,,,,,,,,,,,
,,31,,,,,,,,7,0.8661130666732788,0.7304683923721313,0.7799999713897705,0.7773892879486084,0.7121212482452393,0.7271825075149536,,,,,,,,,
0.0005,0.0005,32,,,,,,,,,,,,,,,,,,,,,,,
,,35,0.31986305117607117,0.7782236337661743,0.35170772671699524,0.8873019218444824,0.5713793039321899,0.7160834074020386,0.593241274356842,8,,,,,,,,,,,,,,,
,,35,,,,,,,,8,0.9007867574691772,0.8403623104095459,0.8299999833106995,0.8420746326446533,0.765490710735321,0.7868338823318481,,,,,,,,,
0.0005,0.0005,36,,,,,,,,,,,,,,,,,,,,,,,
,,39,0.31684935092926025,0.7796033620834351,0.3547390103340149,0.8893104195594788,0.5497042536735535,0.7487735748291016,0.5624188780784607,9,,,,,,,,,,,,,,,
,,39,,,,,,,,9,0.8410547971725464,0.6909314393997192,0.7300000190734863,0.753496527671814,0.6812499761581421,0.6844319701194763,,,,,,,,,
0.0005,0.0005,40,,,,,,,,,,,,,,,,,,,,,,,
,,43,0.3621295392513275,0.7822449207305908,0.35981908440589905,0.8895335793495178,0.5405375361442566,0.76815265417099,0.54737788438797,10,,,,,,,,,,,,,,,
,,43,,,,,,,,10,0.8668414950370789,0.751069188117981,0.8349999785423279,0.7963286638259888,0.7610704898834229,0.7754414081573486,,,,,,,,,
0.0005,0.0005,44,,,,,,,,,,,,,,,,,,,,,,,
,,47,0.3101889491081238,0.7857032418251038,0.369284987449646,0.8895335793495178,0.5743296146392822,0.7336912155151367,0.5979894995689392,11,,,,,,,,,,,,,,,
,,47,,,,,,,,11,0.9122960567474365,0.7977810502052307,0.8500000238418579,0.8385781049728394,0.7821757793426514,0.8026056289672852,,,,,,,,,
5e-05,5e-05,48,,,,,,,,,,,,,,,,,,,,,,,
,,49,,,,,,,,12,,,,,,,0.3636219799518585,,,,,,,,
,,51,0.31092941761016846,0.7858726382255554,0.3695712983608246,0.8895335793495178,0.5734847784042358,0.7340492010116577,0.5968739986419678,12,,,,,,,,,,,,,,,
,,51,,,,,,,,12,0.9220571517944336,0.8120182156562805,0.8050000071525574,0.8342074155807495,0.7474382519721985,0.7644287347793579,,,,,,,,,
5e-05,5e-05,52,,,,,,,,,,,,,,,,,,,,,,,
,,55,0.3157620429992676,0.7859715223312378,0.36932373046875,0.8904262185096741,0.5663858652114868,0.7471023797988892,0.5875009894371033,13,,,,,,,,,,,,,,,
,,55,,,,,,,,13,0.9057400822639465,0.8153135180473328,0.7749999761581421,0.8068181872367859,0.7223629951477051,0.7334043979644775,,,,,,,,,
5e-05,5e-05,56,,,,,,,,,,,,,,,,,,,,,,,
,,59,0.32626768946647644,0.7865257859230042,0.3697182238101959,0.8893104195594788,0.5530834794044495,0.745089054107666,0.5676877498626709,14,,,,,,,,,,,,,,,
,,59,,,,,,,,14,0.9216200113296509,0.8257915377616882,0.8199999928474426,0.8438228368759155,0.7593406438827515,0.7791682481765747,,,,,,,,,
5e-05,5e-05,60,,,,,,,,,,,,,,,,,,,,,,,
,,63,0.35585179924964905,0.7868364453315735,0.36943721771240234,0.8897567391395569,0.5440428256988525,0.7652753591537476,0.5532601475715637,15,,,,,,,,,,,,,,,
,,63,,,,,,,,15,0.9165209531784058,0.7899993658065796,0.8550000190734863,0.8254661560058594,0.7867411375045776,0.8026607036590576,,,,,,,,,
5e-05,5e-05,64,,,,,,,,,,,,,,,,,,,,,,,
,,67,0.38303717970848083,0.7874016761779785,0.3696141839027405,0.8888640999794006,0.5376248955726624,0.7598533630371094,0.5424513220787048,16,,,,,,,,,,,,,,,
,,67,,,,,,,,16,0.9041375517845154,0.8020259737968445,0.8650000095367432,0.8237179517745972,0.8003108501434326,0.8108647465705872,,,,,,,,,
5e-05,5e-05,68,,,,,,,,,,,,,,,,,,,,,,,
,,71,0.38470831513404846,0.7881255149841309,0.3701211214065552,0.8888640999794006,0.5376248955726624,0.7598533630371094,0.5424513220787048,17,,,,,,,,,,,,,,,
,,71,,,,,,,,17,0.9319639205932617,0.8173259496688843,0.8500000238418579,0.8385781049728394,0.7821757793426514,0.8026056289672852,,,,,,,,,
5e-05,5e-05,72,,,,,,,,,,,,,,,,,,,,,,,
,,75,0.36877143383026123,0.7886471748352051,0.37118133902549744,0.8893104195594788,0.5421010851860046,0.760223925113678,0.5500384569168091,18,,,,,,,,,,,,,,,
,,75,,,,,,,,18,0.9303613305091858,0.8206998109817505,0.8899999856948853,0.864219069480896,0.8333333730697632,0.8470309972763062,,,,,,,,,
5e-05,5e-05,76,,,,,,,,,,,,,,,,,,,,,,,
