lr-Adam/pg1,lr-Adam/pg2,step,val/loss,val/auroc,val/auprc,val/acc,val/w_acc,val/av_prec,val/av_f1,epoch,train/auroc,train/auprc,train/acc,train/w_acc,train/av_prec,train/av_f1,train/loss,test/loss,test/auroc,test/auprc,test/acc,test/w_acc,test/av_prec,test/av_f1,test/bacc
0.0005,0.0005,0,,,,,,,,,,,,,,,,,,,,,,,
,,3,3.914341926574707,0.6468193531036377,0.2367776781320572,0.11492970585823059,0.5,nan,0.10308246314525604,0,,,,,,,,,,,,,,,
,,3,,,,,,,,0,0.46296876668930054,0.19946442544460297,0.6200000047683716,0.4906250238418579,0.49271491169929504,0.48641708493232727,,,,,,,,,
0.0005,0.0005,4,,,,,,,,,,,,,,,,,,,,,,,
,,7,0.42650991678237915,0.7168216705322266,0.26949650049209595,0.8850703239440918,0.5,nan,0.4695158004760742,1,,,,,,,,,,,,,,,
,,7,,,,,,,,1,0.5134375095367432,0.29845619201660156,0.3050000071525574,0.48124998807907104,0.480888694524765,0.30498260259628296,,,,,,,,,
0.0005,0.0005,8,,,,,,,,,,,,,,,,,,,,,,,
,,11,0.5063373446464539,0.7490665912628174,0.31154513359069824,0.8359740972518921,0.6412246823310852,0.6204977631568909,0.6292586326599121,2,,,,,,,,,,,,,,,
,,11,,,,,,,,2,0.5139062404632568,0.23858240246772766,0.7549999952316284,0.4906249940395355,0.4753187894821167,0.4671306610107422,,,,,,,,,
0.0005,0.0005,12,,,,,,,,,,,,,,,,,,,,,,,
,,15,0.6486819982528687,0.7648208737373352,0.33020132780075073,0.642044186592102,0.690491259098053,0.57974773645401,0.5411777496337891,3,,,,,,,,,,,,,,,
,,15,,,,,,,,3,0.6575000286102295,0.3834614157676697,0.5649999976158142,0.5874999761581421,0.5560504198074341,0.5170825123786926,,,,,,,,,
0.0005,0.0005,16,,,,,,,,,,,,,,,,,,,,,,,
,,19,0.3605717122554779,0.7762064933776855,0.34156888723373413,0.8852934837341309,0.5389869809150696,0.6993304491043091,0.5451512336730957,4,,,,,,,,,,,,,,,
,,19,,,,,,,,4,0.6707812547683716,0.36820244789123535,0.6299999952316284,0.590624988079071,0.5615450143814087,0.5507527589797974,,,,,,,,,
0.0005,0.0005,20,,,,,,,,,,,,,,,,,,,,,,,
,,23,0.5752203464508057,0.7869184017181396,0.3529300093650818,0.7571970820426941,0.7200624942779541,0.6104840040206909,0.6186370849609375,5,,,,,,,,,,,,,,,
,,23,,,,,,,,5,0.7320312261581421,0.4624861478805542,0.75,0.6656249761581421,0.6377338767051697,0.6470920443534851,,,,,,,,,
0.0005,0.0005,24,,,,,,,,,,,,,,,,,,,,,,,
,,27,0.7862339615821838,0.7943388223648071,0.361341655254364,0.4398571848869324,0.6539921760559082,0.5697503685951233,0.40981435775756836,6,,,,,,,,,,,,,,,
,,27,,,,,,,,6,0.6526562571525574,0.38722479343414307,0.5450000166893005,0.574999988079071,0.5480048060417175,0.5016292929649353,,,,,,,,,
0.0005,0.0005,28,,,,,,,,,,,,,,,,,,,,,,,
,,31,0.4627176821231842,0.802229642868042,0.3776284456253052,0.8558357357978821,0.6744099259376526,0.656754732131958,0.6647555828094482,7,,,,,,,,,,,,,,,
,,31,,,,,,,,7,0.6907812356948853,0.4394006133079529,0.5649999976158142,0.625,0.5802004933357239,0.529411792755127,,,,,,,,,
0.0005,0.0005,32,,,,,,,,,,,,,,,,,,,,,,,
