lr-Adam/pg1,lr-Adam/pg2,step,val/loss,val/auroc,val/auprc,val/acc,val/w_acc,val/av_prec,val/av_f1,epoch,train/auroc,train/auprc,train/acc,train/w_acc,train/av_prec,train/av_f1,train/loss,test/loss,test/auroc,test/auprc,test/acc,test/w_acc,test/av_prec,test/av_f1,test/bacc
0.0005,0.0005,0,,,,,,,,,,,,,,,,,,,,,,,
,,14,0.34073418378829956,0.6545153260231018,0.2298593372106552,0.8852934837341309,0.5161772966384888,0.7009511590003967,0.5038614273071289,0,,,,,,,,,,,,,,,
,,14,,,,,,,,0,0.5549151301383972,0.4032288193702698,0.5144444704055786,0.528083324432373,0.5261718034744263,0.5100744366645813,,,,,,,,,
0.0005,0.0005,15,,,,,,,,,,,,,,,,,,,,,,,
,,29,0.4091953933238983,0.7163918018341064,0.28948974609375,0.8870787620544434,0.5121170878410339,0.8261253833770752,0.4944242238998413,1,,,,,,,,,,,,,,,
,,29,,,,,,,,1,0.6309728026390076,0.4839406907558441,0.6044444441795349,0.592199444770813,0.5870166420936584,0.5867960453033447,,,,,,,,,
0.0005,0.0005,30,,,,,,,,,,,,,,,,,,,,,,,
,,44,0.36577674746513367,0.7478780746459961,0.3214645981788635,0.8864092826843262,0.5168076753616333,0.7411321401596069,0.5044913291931152,2,,,,,,,,,,,,,,,
,,44,,,,,,,,2,0.6721104383468628,0.5367650389671326,0.6233333349227905,0.6221320629119873,0.613656222820282,0.6115112900733948,,,,,,,,,
0.0005,0.0005,45,,,,,,,,,,,,,,,,,,,,,,,
,,49,,,,,,,,3,,,,,,,0.7919921875,,,,,,,,
,,59,0.345063179731369,0.7776610851287842,0.33958297967910767,0.8864092826843262,0.5176524519920349,0.7384621500968933,0.5061790943145752,3,,,,,,,,,,,,,,,
,,59,,,,,,,,3,0.7363839745521545,0.615607500076294,0.6677777767181396,0.6649134755134583,0.6545000076293945,0.6550314426422119,,,,,,,,,
0.0005,0.0005,60,,,,,,,,,,,,,,,,,,,,,,,
,,74,0.32532045245170593,0.79638671875,0.35858792066574097,0.8855166435241699,0.5205273628234863,0.7055144309997559,0.5122486352920532,4,,,,,,,,,,,,,,,
,,74,,,,,,,,4,0.7699643969535828,0.6611019372940063,0.6933333277702332,0.6915477514266968,0.6797301769256592,0.6811394691467285,,,,,,,,,
0.0005,0.0005,75,,,,,,,,,,,,,,,,,,,,,,,
,,89,0.30840182304382324,0.8092548847198486,0.37261155247688293,0.8852934837341309,0.593899130821228,0.7037134170532227,0.6195728182792664,5,,,,,,,,,,,,,,,
,,89,,,,,,,,5,0.7831361293792725,0.7063542604446411,0.7144444584846497,0.7041884660720825,0.6957542896270752,0.6984947919845581,,,,,,,,,
0.0005,0.0005,90,,,,,,,,,,,,,,,,,,,,,,,
,,99,,,,,,,,6,,,,,,,0.5948026776313782,,,,,,,,
,,104,0.28922659158706665,0.818593442440033,0.38877084851264954,0.8875250816345215,0.5478509068489075,0.7252902984619141,0.5593897104263306,6,,,,,,,,,,,,,,,
,,104,,,,,,,,6,0.7792774438858032,0.6763179898262024,0.70333331823349,0.7112172842025757,0.6960916519165039,0.6949729919433594,,,,,,,,,
0.0005,0.0005,105,,,,,,,,,,,,,,,,,,,,,,,
,,119,0.30709290504455566,0.8185112476348877,0.4034655690193176,0.8868556022644043,0.5187494158744812,0.7532804608345032,0.5081194043159485,7,,,,,,,,,,,,,,,
,,119,,,,,,,,7,0.7811988592147827,0.6765437126159668,0.7211111187934875,0.718614399433136,0.706195592880249,0.7088073492050171,,,,,,,,,
0.0005,0.0005,120,,,,,,,,,,,,,,,,,,,,,,,
,,134,0.34026792645454407,0.8156005144119263,0.4055147171020508,0.8788216710090637,0.6679648160934448,0.6953238844871521,0.6800269484519958,8,,,,,,,,,,,,,,,
,,134,,,,,,,,8,0.7976794838905334,0.7004479169845581,0.7322221994400024,0.7266839742660522,0.7155778408050537,0.7187467217445374,,,,,,,,,
0.0005,0.0005,135,,,,,,,,,,,,,,,,,,,,,,,
,,149,,,,,,,,9,,,,,,,0.35293298959732056,,,,,,,,
,,149,0.3206874430179596,0.8160382509231567,0.4098811745643616,0.8808301687240601,0.6640306711196899,0.6994132399559021,0.6790506839752197,9,,,,,,,,,,,,,,,
,,149,,,,,,,,9,0.8290183544158936,0.7556318044662476,0.7444444298744202,0.7467857599258423,0.7315602898597717,0.7342828512191772,,,,,,,,,
0.0005,0.0005,150,,,,,,,,,,,,,,,,,,,,,,,
,,164,0.2842990756034851,0.8225019574165344,0.41440171003341675,0.8928810358047485,0.5897375345230103,0.7544118762016296,0.6191083192825317,10,,,,,,,,,,,,,,,
,,164,,,,,,,,10,0.8375735878944397,0.7386817932128906,0.7699999809265137,0.7668555974960327,0.7541682720184326,0.7581772804260254,,,,,,,,,
0.0005,0.0005,165,,,,,,,,,,,,,,,,,,,,,,,
,,179,0.2884003818035126,0.8181743621826172,0.4073835611343384,0.8904262185096741,0.578213095664978,0.7397352457046509,0.6034311056137085,11,,,,,,,,,,,,,,,
,,179,,,,,,,,11,0.851284384727478,0.7724974155426025,0.7755555510520935,0.7777831554412842,0.7618410587310791,0.7657650709152222,,,,,,,,,
5e-05,5e-05,180,,,,,,,,,,,,,,,,,,,,,,,
,,194,0.2877464294433594,0.8185229897499084,0.40918588638305664,0.890872597694397,0.5809996724128723,0.7422149181365967,0.6072043776512146,12,,,,,,,,,,,,,,,
,,194,,,,,,,,12,0.8514658212661743,0.7770087718963623,0.7722222208976746,0.7745088338851929,0.7585972547531128,0.7623987197875977,,,,,,,,,
5e-05,5e-05,195,,,,,,,,,,,,,,,,,,,,,,,
,,199,,,,,,,,13,,,,,,,0.39092448353767395,,,,,,,,
,,209,0.2903245687484741,0.8193797469139099,0.4110400080680847,0.8922115564346313,0.5699288845062256,0.7643669843673706,0.5930497646331787,13,,,,,,,,,,,,,,,
,,209,,,,,,,,13,0.8741481304168701,0.7930682897567749,0.79666668176651,0.7963318824768066,0.781813383102417,0.7864342331886292,,,,,,,,,
5e-05,5e-05,210,,,,,,,,,,,,,,,,,,,,,,,
,,224,0.2848329544067383,0.820539116859436,0.41508346796035767,0.8937737345695496,0.5927762389183044,0.7600346207618713,0.6232959032058716,14,,,,,,,,,,,,,,,
,,224,,,,,,,,14,0.871863842010498,0.7898411750793457,0.7877777814865112,0.7932897806167603,0.7753427028656006,0.7792392373085022,,,,,,,,,
5e-05,5e-05,225,,,,,,,,,,,,,,,,,,,,,,,
,,239,0.28443604707717896,0.8210669159889221,0.4166628122329712,0.8935505747795105,0.5884261131286621,0.7612379789352417,0.6178866624832153,15,,,,,,,,,,,,,,,
,,239,,,,,,,,15,0.858318567276001,0.7649247646331787,0.7733333110809326,0.7688169479370117,0.7570621967315674,0.7610569596290588,,,,,,,,,
5e-05,5e-05,240,,,,,,,,,,,,,,,,,,,,,,,
,,249,,,,,,,,16,,,,,,,0.4107026159763336,,,,,,,,
,,254,0.2902963161468506,0.8215649127960205,0.41666266322135925,0.8917652368545532,0.5620735287666321,0.7684496641159058,0.5816742181777954,16,,,,,,,,,,,,,,,
,,254,,,,,,,,16,0.8854625821113586,0.8071565628051758,0.8133333325386047,0.8127031326293945,0.7985417246818542,0.8034311532974243,,,,,,,,,
5e-05,5e-05,255,,,,,,,,,,,,,,,,,,,,,,,
,,269,0.28515779972076416,0.8213279247283936,0.41521260142326355,0.8933273553848267,0.6001272797584534,0.752110481262207,0.6315697431564331,17,,,,,,,,,,,,,,,
,,269,,,,,,,,17,0.8675355315208435,0.7906222343444824,0.7900000214576721,0.7786237001419067,0.7729525566101074,0.7754630446434021,,,,,,,,,
5e-05,5e-05,270,,,,,,,,,,,,,,,,,,,,,,,
,,284,0.28502586483955383,0.8222268223762512,0.4166378378868103,0.8944432139396667,0.6075160503387451,0.756482720375061,0.6405536532402039,18,,,,,,,,,,,,,,,
,,284,,,,,,,,18,0.8753381967544556,0.8039016127586365,0.7644444704055786,0.7723393440246582,0.7541019916534424,0.7563542127609253,,,,,,,,,
5e-05,5e-05,285,,,,,,,,,,,,,,,,,,,,,,,
,,299,,,,,,,,19,,,,,,,0.14532659947872162,,,,,,,,
,,299,0.28443285822868347,0.8227124214172363,0.4183409810066223,0.8926578760147095,0.5836978554725647,0.7565467357635498,0.6115078330039978,19,,,,,,,,,,,,,,,
,,299,,,,,,,,19,0.8863004446029663,0.8104250431060791,0.804444432258606,0.8109740018844604,0.7921042442321777,0.7964836955070496,,,,,,,,,
5e-05,5e-05,300,,,,,,,,,,,,,,,,,,,,,,,
,,314,0.28489598631858826,0.8226488828659058,0.41838502883911133,0.8951126933097839,0.6154975295066833,0.7572013139724731,0.649535059928894,20,,,,,,,,,,,,,,,
,,314,,,,,,,,20,0.8837814331054688,0.8059695959091187,0.8033333420753479,0.7982852458953857,0.7875000238418579,0.7916642427444458,,,,,,,,,
5e-05,5e-05,315,,,,,,,,,,,,,,,,,,,,,,,
,,329,0.2849152982234955,0.8226167559623718,0.4180818796157837,0.8924347162246704,0.5827269554138184,0.7551692724227905,0.6101644039154053,21,,,,,,,,,,,,,,,
,,329,,,,,,,,21,0.8876773715019226,0.8011945486068726,0.804444432258606,0.8076916933059692,0.790770411491394,0.795522153377533,,,,,,,,,
5e-05,5e-05,330,,,,,,,,,,,,,,,,,,,,,,,
,,344,0.2849458158016205,0.8228138089179993,0.4176725149154663,0.8931041955947876,0.5915532112121582,0.755156397819519,0.6214293241500854,22,,,,,,,,,,,,,,,
,,344,,,,,,,,22,0.8810701966285706,0.8057231903076172,0.8022222518920898,0.797412633895874,0.786395251750946,0.790603518486023,,,,,,,,,
5e-05,5e-05,345,,,,,,,,,,,,,,,,,,,,,,,
,,349,,,,,,,,23,,,,,,,0.40108007192611694,,,,,,,,
,,359,0.2866857647895813,0.8229719400405884,0.41787004470825195,0.8922115564346313,0.5758424997329712,0.7584660649299622,0.6011036038398743,23,,,,,,,,,,,,,,,
,,359,,,,,,,,23,0.880760669708252,0.800755500793457,0.8111110925674438,0.8109579086303711,0.7964043617248535,0.8012987375259399,,,,,,,,,
5e-06,5e-06,360,,,,,,,,,,,,,,,,,,,,,,,
,,374,0.28622227907180786,0.8229092955589294,0.4176865816116333,0.8915420770645142,0.576309084892273,0.7512525320053101,0.6014360785484314,24,,,,,,,,,,,,,,,
,,374,,,,,,,,24,0.8751940727233887,0.8069739937782288,0.7855555415153503,0.7797284722328186,0.7691213488578796,0.7730832695960999,,,,,,,,,
5e-06,5e-06,375,,,,,,,,,,,,,,,,,,,,,,,
,,389,0.28600364923477173,0.8228657245635986,0.41767334938049316,0.8919883966445923,0.5782508254051208,0.7542093992233276,0.6041837334632874,25,,,,,,,,,,,,,,,
,,389,,,,,,,,25,0.8937722444534302,0.8105167150497437,0.8222222328186035,0.8203403949737549,0.8073742389678955,0.8121908903121948,,,,,,,,,
5e-06,5e-06,390,,,,,,,,,,,,,,,,,,,,,,,
,,399,,,,,,,,26,,,,,,,0.4358314871788025,,,,,,,,
,,404,0.2857828736305237,0.8228334188461304,0.41755104064941406,0.8917652368545532,0.5789695382118225,0.7515180706977844,0.605017900466919,26,,,,,,,,,,,,,,,
