lr-Adam/pg1,lr-Adam/pg2,step,val/loss,val/auroc,val/auprc,val/acc,val/w_acc,val/av_prec,val/av_f1,epoch,train/auroc,train/auprc,train/acc,train/w_acc,train/av_prec,train/av_f1,train/loss,test/loss,test/auroc,test/auprc,test/acc,test/w_acc,test/av_prec,test/av_f1,test/bacc
0.0005,0.0005,0,,,,,,,,,,,,,,,,,,,,,,,
,,9,0.47286853194236755,0.696229100227356,0.23626604676246643,0.8426690697669983,0.5757330656051636,0.589545726776123,0.581451416015625,0,,,,,,,,,,,,,,,
,,9,,,,,,,,0,0.5207839012145996,0.1179487481713295,0.54666668176651,0.5358225107192993,0.5146852731704712,0.445772647857666,,,,,,,,,
0.0005,0.0005,10,,,,,,,,,,,,,,,,,,,,,,,
,,19,0.7080373167991638,0.7680708765983582,0.3103715181350708,0.5713010430335999,0.6826289892196655,0.5743132829666138,0.498429536819458,1,,,,,,,,,,,,,,,
,,19,,,,,,,,1,0.6053112745285034,0.16891822218894958,0.6266666650772095,0.5684107542037964,0.5298141241073608,0.49309033155441284,,,,,,,,,
0.0005,0.0005,20,,,,,,,,,,,,,,,,,,,,,,,
,,29,0.7641787528991699,0.7944709062576294,0.3423481583595276,0.5398348569869995,0.6935762166976929,0.5795762538909912,0.48185086250305176,2,,,,,,,,,,,,,,,
,,29,,,,,,,,2,0.6223423480987549,0.22384324669837952,0.6166666746139526,0.5879800319671631,0.5374690294265747,0.49554765224456787,,,,,,,,,
0.0005,0.0005,30,,,,,,,,,,,,,,,,,,,,,,,
,,39,0.6773852705955505,0.8037968277931213,0.36019742488861084,0.6275385022163391,0.715243935585022,0.588532567024231,0.5396420955657959,3,,,,,,,,,,,,,,,
,,39,,,,,,,,3,0.6812958717346191,0.33756208419799805,0.6549999713897705,0.6474658250808716,0.563922643661499,0.5347878932952881,,,,,,,,,
0.0005,0.0005,40,,,,,,,,,,,,,,,,,,,,,,,
,,49,,,,,,,,4,,,,,,,0.4069165885448456,,,,,,,,
