lr-Adam/pg1,lr-Adam/pg2,step,val/loss,val/auroc,val/auprc,val/acc,val/w_acc,val/av_prec,val/av_f1,epoch,train/auroc,train/auprc,train/acc,train/w_acc,train/av_prec,train/av_f1,train/loss,test/loss,test/auroc,test/auprc,test/acc,test/w_acc,test/av_prec,test/av_f1,test/bacc
0.0005,0.0005,0,,,,,,,,,,,,,,,,,,,,,,,
,,7,0.40971603989601135,0.742992103099823,0.30923014879226685,0.8866324424743652,0.5076408982276917,0.8877583742141724,0.48516523838043213,0,,,,,,,,,,,,,,,
,,7,,,,,,,,0,0.528181791305542,0.38214436173439026,0.5040000081062317,0.5073083639144897,0.5065616965293884,0.4922693967819214,,,,,,,,,
0.0005,0.0005,8,,,,,,,,,,,,,,,,,,,,,,,
,,15,0.38872000575065613,0.7813609838485718,0.3558160066604614,0.8886409401893616,0.5206027626991272,0.8375011682510376,0.5108802914619446,1,,,,,,,,,,,,,,,
,,15,,,,,,,,1,0.7487700581550598,0.6374917030334473,0.6759999990463257,0.6860962510108948,0.6675654649734497,0.6641290187835693,,,,,,,,,
0.0005,0.0005,16,,,,,,,,,,,,,,,,,,,,,,,
,,23,0.3453291058540344,0.7964410781860352,0.37580347061157227,0.8877482414245605,0.522632896900177,0.7738044261932373,0.5152995586395264,2,,,,,,,,,,,,,,,
,,23,,,,,,,,2,0.7874331474304199,0.6611480712890625,0.7379999756813049,0.728787899017334,0.7142773866653442,0.7186897397041321,,,,,,,,,
0.0005,0.0005,24,,,,,,,,,,,,,,,,,,,,,,,
,,31,0.3141013979911804,0.8106218576431274,0.39794397354125977,0.8890872597694397,0.5352165699005127,0.7711660265922546,0.538196861743927,3,,,,,,,,,,,,,,,
,,31,,,,,,,,3,0.7929946780204773,0.6687997579574585,0.7260000109672546,0.7025846242904663,0.6968340277671814,0.6992963552474976,,,,,,,,,
0.0005,0.0005,32,,,,,,,,,,,,,,,,,,,,,,,
,,39,0.48718252778053284,0.8174307346343994,0.39935413002967834,0.8877482414245605,0.5116505026817322,0.9437234401702881,0.49295416474342346,4,,,,,,,,,,,,,,,
,,39,,,,,,,,4,0.7955614924430847,0.6558140516281128,0.7160000205039978,0.7221033573150635,0.7015398740768433,0.7026352286338806,,,,,,,,,
0.0005,0.0005,40,,,,,,,,,,,,,,,,,,,,,,,
,,47,0.3394635319709778,0.8204166889190674,0.4109223484992981,0.8888640999794006,0.5283320546150208,0.7898907661437988,0.5257213711738586,5,,,,,,,,,,,,,,,
,,47,,,,,,,,5,0.8554189205169678,0.7596023082733154,0.7699999809265137,0.76871657371521,0.7492765188217163,0.7546666860580444,,,,,,,,,
0.0005,0.0005,48,,,,,,,,,,,,,,,,,,,,,,,
,,49,,,,,,,,6,,,,,,,0.7759970426559448,,,,,,,,
,,55,0.5272359848022461,0.8213215470314026,0.4082687795162201,0.8873019218444824,0.5097087621688843,0.943524956703186,0.48911991715431213,6,,,,,,,,,,,,,,,
,,55,,,,,,,,6,0.8386274576187134,0.7623050808906555,0.7580000162124634,0.7624777555465698,0.7403100728988647,0.7444831728935242,,,,,,,,,
0.0005,0.0005,56,,,,,,,,,,,,,,,,,,,,,,,
,,63,0.34386634826660156,0.8217920064926147,0.4143196940422058,0.8893104195594788,0.531118631362915,0.7926743626594543,0.5307528376579285,7,,,,,,,,,,,,,,,
,,63,,,,,,,,7,0.891283392906189,0.8106666207313538,0.8159999847412109,0.8135472536087036,0.7952134609222412,0.8017617464065552,,,,,,,,,
0.0005,0.0005,64,,,,,,,,,,,,,,,,,,,,,,,
,,71,0.4942820072174072,0.8224574327468872,0.41117727756500244,0.8875250816345215,0.5132139921188354,0.8556491136550903,0.49642252922058105,8,,,,,,,,,,,,,,,
,,71,,,,,,,,8,0.8960427641868591,0.8288135528564453,0.8320000171661377,0.8342245817184448,0.8125,0.8198198080062866,,,,,,,,,
0.0005,0.0005,72,,,,,,,,,,,,,,,,,,,,,,,
,,79,0.5934966802597046,0.8220230937004089,0.41207247972488403,0.8875250816345215,0.5115244388580322,0.905249297618866,0.4928482174873352,9,,,,,,,,,,,,,,,
,,79,,,,,,,,9,0.8968449831008911,0.8300563097000122,0.7960000038146973,0.8140820264816284,0.7841202020645142,0.7871416807174683,,,,,,,,,
0.0005,0.0005,80,,,,,,,,,,,,,,,,,,,,,,,
,,87,0.3052075505256653,0.8267436027526855,0.4234924912452698,0.890872597694397,0.5607243776321411,0.7579584121704102,0.5794728994369507,10,,,,,,,,,,,,,,,
,,87,,,,,,,,10,0.8772727251052856,0.7769842743873596,0.7979999780654907,0.7785204648971558,0.7747252583503723,0.7765239477157593,,,,,,,,,
0.0005,0.0005,88,,,,,,,,,,,,,,,,,,,,,,,
,,95,0.47555994987487793,0.829744815826416,0.4257298409938812,0.8881946206092834,0.5169714689254761,0.8533608913421631,0.5037866234779358,11,,,,,,,,,,,,,,,
,,95,,,,,,,,11,0.9133511781692505,0.8447126150131226,0.8299999833106995,0.8255792856216431,0.8094766139984131,0.8157613277435303,,,,,,,,,
5e-05,5e-05,96,,,,,,,,,,,,,,,,,,,,,,,
,,99,,,,,,,,12,,,,,,,0.2158183604478836,,,,,,,,
,,103,0.45948415994644165,0.8302857875823975,0.4275233745574951,0.8875250816345215,0.5174380540847778,0.7961715459823608,0.5051265954971313,12,,,,,,,,,,,,,,,
,,103,,,,,,,,12,0.9234046936035156,0.8681893348693848,0.843999981880188,0.8490195870399475,0.8252707719802856,0.8330594301223755,,,,,,,,,
5e-05,5e-05,104,,,,,,,,,,,,,,,,,,,,,,,
,,111,0.46175360679626465,0.8304163217544556,0.4281649589538574,0.8879714608192444,0.5193797945976257,0.8065882921218872,0.5087859034538269,13,,,,,,,,,,,,,,,
,,111,,,,,,,,13,0.9352941513061523,0.8891505599021912,0.8519999980926514,0.8493760824203491,0.8327674269676208,0.8394097089767456,,,,,,,,,
5e-05,5e-05,112,,,,,,,,,,,,,,,,,,,,,,,
,,119,0.44671395421028137,0.8302513360977173,0.4283643364906311,0.8886409401893616,0.5231372117996216,0.8125537633895874,0.5158808827400208,14,,,,,,,,,,,,,,,
,,119,,,,,,,,14,0.9218358993530273,0.8647847771644592,0.8420000076293945,0.8446524143218994,0.8227933645248413,0.8303548693656921,,,,,,,,,
5e-05,5e-05,120,,,,,,,,,,,,,,,,,,,,,,,
,,127,0.4520803987979889,0.8295247554779053,0.4273223876953125,0.8884177803993225,0.5213215351104736,0.815686821937561,0.5124192237854004,15,,,,,,,,,,,,,,,
,,127,,,,,,,,15,0.9180748462677002,0.863383412361145,0.8259999752044678,0.8296791315078735,0.8067622184753418,0.8140000104904175,,,,,,,,,
5e-05,5e-05,128,,,,,,,,,,,,,,,,,,,,,,,
,,135,0.4841078221797943,0.8288037776947021,0.42562955617904663,0.8875250816345215,0.5140588283538818,0.8387081623077393,0.4981895387172699,16,,,,,,,,,,,,,,,
,,135,,,,,,,,16,0.9310338497161865,0.8653266429901123,0.8519999980926514,0.8493760824203491,0.8327674269676208,0.8394097089767456,,,,,,,,,
5e-05,5e-05,136,,,,,,,,,,,,,,,,,,,,,,,
,,143,0.45981264114379883,0.8285269737243652,0.4260239601135254,0.8884177803993225,0.518787145614624,0.8444569110870361,0.507352888584137,17,,,,,,,,,,,,,,,
,,143,,,,,,,,17,0.9273083209991455,0.8513823747634888,0.843999981880188,0.8390374183654785,0.8242634534835815,0.8303138017654419,,,,,,,,,
5e-05,5e-05,144,,,,,,,,,,,,,,,,,,,,,,,
