lr-Adam/pg1,lr-Adam/pg2,step,val/loss,val/auroc,val/auprc,val/acc,val/w_acc,val/av_prec,val/av_f1,epoch,train/auroc,train/auprc,train/acc,train/w_acc,train/av_prec,train/av_f1,train/loss,test/loss,test/auroc,test/auprc,test/acc,test/w_acc,test/av_prec,test/av_f1,test/bacc
0.0005,0.0005,0,,,,,,,,,,,,,,,,,,,,,,,
,,9,0.7817569971084595,0.7483507394790649,0.3288238048553467,0.45704084634780884,0.6408900618553162,0.5614968538284302,0.4193257689476013,0,,,,,,,,,,,,,,,
,,9,,,,,,,,0,0.5105568170547485,0.3154571056365967,0.5166666507720947,0.5127971172332764,0.5109264850616455,0.4951018989086151,,,,,,,,,
0.0005,0.0005,10,,,,,,,,,,,,,,,,,,,,,,,
,,19,0.37921395897865295,0.7850726246833801,0.3648192882537842,0.8696719408035278,0.6408310532569885,0.6675737500190735,0.6523085236549377,1,,,,,,,,,,,,,,,
,,19,,,,,,,,1,0.7278541326522827,0.5463234186172485,0.6850000023841858,0.6539563536643982,0.6425057649612427,0.6460663080215454,,,,,,,,,
0.0005,0.0005,20,,,,,,,,,,,,,,,,,,,,,,,
,,29,0.29780313372612,0.7992244958877563,0.37547773122787476,0.890203058719635,0.553587794303894,0.7573851346969604,0.5685781240463257,2,,,,,,,,,,,,,,,
,,29,,,,,,,,2,0.7931097149848938,0.6374492645263672,0.7316666841506958,0.7206447124481201,0.6984164118766785,0.7041447162628174,,,,,,,,,
0.0005,0.0005,30,,,,,,,,,,,,,,,,,,,,,,,
,,39,0.29790282249450684,0.8077723979949951,0.3885176181793213,0.8879714608192444,0.5455686450004578,0.7329808473587036,0.5557702779769897,3,,,,,,,,,,,,,,,
,,39,,,,,,,,3,0.834685742855072,0.6954763531684875,0.753333330154419,0.7602735161781311,0.7281133532524109,0.7334165573120117,,,,,,,,,
0.0005,0.0005,40,,,,,,,,,,,,,,,,,,,,,,,
,,49,,,,,,,,4,,,,,,,0.3880244791507721,,,,,,,,
,,49,0.2866816222667694,0.8178023099899292,0.40726375579833984,0.8913189172744751,0.5753381848335266,0.7497451901435852,0.6000562906265259,4,,,,,,,,,,,,,,,
,,49,,,,,,,,4,0.839713454246521,0.7226625680923462,0.7850000262260437,0.7891566753387451,0.7569444179534912,0.7650094628334045,,,,,,,,,
0.0005,0.0005,50,,,,,,,,,,,,,,,,,,,,,,,
,,59,0.31326550245285034,0.8185837268829346,0.4084179401397705,0.8888640999794006,0.545228123664856,0.747224748134613,0.5552224516868591,5,,,,,,,,,,,,,,,
,,59,,,,,,,,5,0.8748811483383179,0.7608540654182434,0.8033333420753479,0.7994138598442078,0.772444486618042,0.7814140319824219,,,,,,,,,
0.0005,0.0005,60,,,,,,,,,,,,,,,,,,,,,,,
,,69,0.3953665494918823,0.8194904327392578,0.4102809727191925,0.8895335793495178,0.527865469455719,0.8203951716423035,0.5246143341064453,6,,,,,,,,,,,,,,,
,,69,,,,,,,,6,0.8735135197639465,0.7531063556671143,0.800000011920929,0.8089873194694519,0.773455023765564,0.7820929288864136,,,,,,,,,
0.0005,0.0005,70,,,,,,,,,,,,,,,,,,,,,,,
,,79,0.4300296902656555,0.8154468536376953,0.41172587871551514,0.8888640999794006,0.5232632756233215,0.8237069845199585,0.5160269141197205,7,,,,,,,,,,,,,,,
,,79,,,,,,,,7,0.8974275588989258,0.7780303955078125,0.824999988079071,0.8375447988510132,0.799125075340271,0.8091319799423218,,,,,,,,,
0.0005,0.0005,80,,,,,,,,,,,,,,,,,,,,,,,
,,89,0.35671257972717285,0.8202379941940308,0.4205540418624878,0.8904262185096741,0.5418866276741028,0.7850968241691589,0.5496028065681458,8,,,,,,,,,,,,,,,
,,89,,,,,,,,8,0.8832172155380249,0.7696099281311035,0.8266666531562805,0.8177791833877563,0.795974850654602,0.8045088052749634,,,,,,,,,
0.0005,0.0005,90,,,,,,,,,,,,,,,,,,,,,,,
,,99,,,,,,,,9,,,,,,,0.5542583465576172,,,,,,,,
,,99,0.35275721549987793,0.8201509118080139,0.4218432307243347,0.8913189172744751,0.5550629496574402,0.7727242708206177,0.5710129737854004,9,,,,,,,,,,,,,,,
,,99,,,,,,,,9,0.8914099335670471,0.7888534069061279,0.8083333373069763,0.8000325560569763,0.7766103148460388,0.785174548625946,,,,,,,,,
0.0005,0.0005,100,,,,,,,,,,,,,,,,,,,,,,,
,,109,0.4670213460922241,0.8158649206161499,0.419630765914917,0.8890872597694397,0.5233893394470215,0.8355564475059509,0.516173243522644,10,,,,,,,,,,,,,,,
,,109,,,,,,,,10,0.9101660251617432,0.8157073259353638,0.8233333230018616,0.8243569135665894,0.7941089868545532,0.8041003346443176,,,,,,,,,
0.0005,0.0005,110,,,,,,,,,,,,,,,,,,,,,,,
,,119,0.469181627035141,0.8130345940589905,0.42192864418029785,0.890203058719635,0.5299333333969116,0.8358520269393921,0.5282891392707825,11,,,,,,,,,,,,,,,
,,119,,,,,,,,11,0.9131357669830322,0.8100671768188477,0.8199999928474426,0.8219472169876099,0.7909344434738159,0.8008629083633423,,,,,,,,,
5e-05,5e-05,120,,,,,,,,,,,,,,,,,,,,,,,
,,129,0.39692801237106323,0.8130360245704651,0.4232657849788666,0.8917652368545532,0.5485566854476929,0.7962437868118286,0.5607094764709473,12,,,,,,,,,,,,,,,
,,129,,,,,,,,12,0.917382001876831,0.8383359313011169,0.8550000190734863,0.8307717442512512,0.829788088798523,0.8302764892578125,,,,,,,,,
5e-05,5e-05,130,,,,,,,,,,,,,,,,,,,,,,,
,,139,0.3645097315311432,0.8137023448944092,0.4254162311553955,0.8931041955947876,0.5619851350784302,0.7889842391014099,0.5818761587142944,13,,,,,,,,,,,,,,,
,,139,,,,,,,,13,0.9275285005569458,0.8506777882575989,0.8500000238418579,0.8586128354072571,0.8230035305023193,0.8344289660453796,,,,,,,,,
5e-05,5e-05,140,,,,,,,,,,,,,,,,,,,,,,,
,,149,,,,,,,,14,,,,,,,0.3313711881637573,,,,,,,,
,,149,0.3477976620197296,0.8135290145874023,0.42545586824417114,0.8926578760147095,0.5701810121536255,0.7695459723472595,0.5935600996017456,14,,,,,,,,,,,,,,,
,,149,,,,,,,,14,0.9226831793785095,0.8479022979736328,0.8583333492279053,0.8586453795433044,0.8306474685668945,0.841215968132019,,,,,,,,,
5e-05,5e-05,150,,,,,,,,,,,,,,,,,,,,,,,
,,159,0.4005119800567627,0.8130182027816772,0.4229709804058075,0.8919883966445923,0.5486827492713928,0.8009048104286194,0.5609246492385864,15,,,,,,,,,,,,,,,
,,159,,,,,,,,15,0.9291826486587524,0.8561907410621643,0.8616666793823242,0.8610550165176392,0.8342013955116272,0.8445687890052795,,,,,,,,,
5e-05,5e-05,160,,,,,,,,,,,,,,,,,,,,,,,
,,169,0.3683457374572754,0.8132377862930298,0.42459142208099365,0.8926578760147095,0.5600433945655823,0.7855140566825867,0.5788613557815552,16,,,,,,,,,,,,,,,
,,169,,,,,,,,16,0.938052773475647,0.872268557548523,0.8450000286102295,0.8430153131484985,0.8162375688552856,0.8262715935707092,,,,,,,,,
5e-05,5e-05,170,,,,,,,,,,,,,,,,,,,,,,,
,,179,0.39163655042648315,0.813317060470581,0.42483896017074585,0.8924347162246704,0.5523141026496887,0.7998063564300537,0.5668305158615112,17,,,,,,,,,,,,,,,
,,179,,,,,,,,17,0.929885983467102,0.861793041229248,0.8550000190734863,0.8502441644668579,0.8269062638282776,0.8362563848495483,,,,,,,,,
5e-05,5e-05,180,,,,,,,,,,,,,,,,,,,,,,,
,,189,0.39694181084632874,0.812732994556427,0.42351776361465454,0.8924347162246704,0.5506244897842407,0.804917573928833,0.5641120672225952,18,,,,,,,,,,,,,,,
,,189,,,,,,,,18,0.931475043296814,0.8565186262130737,0.8566666841506958,0.8499511480331421,0.8287791013717651,0.8375130891799927,,,,,,,,,
5e-05,5e-05,190,,,,,,,,,,,,,,,,,,,,,,,
,,199,,,,,,,,19,,,,,,,0.3922984302043915,,,,,,,,
,,199,0.36839616298675537,0.8119586706161499,0.4234766960144043,0.8924347162246704,0.5607621073722839,0.7805415987968445,0.5798901319503784,19,,,,,,,,,,,,,,,
,,199,,,,,,,,19,0.9187756180763245,0.8180667161941528,0.8349999785423279,0.8327906131744385,0.8056219816207886,0.8155136108398438,,,,,,,,,
5e-05,5e-05,200,,,,,,,,,,,,,,,,,,,,,,,
,,209,0.3963295817375183,0.8113914728164673,0.42192748188972473,0.8926578760147095,0.5515953302383423,0.806850790977478,0.5656980872154236,20,,,,,,,,,,,,,,,
,,209,,,,,,,,20,0.9339889287948608,0.8497790098190308,0.8633333444595337,0.8592641353607178,0.8360481858253479,0.84546959400177,,,,,,,,,
5e-05,5e-05,210,,,,,,,,,,,,,,,,,,,,,,,
,,219,0.41636061668395996,0.811321496963501,0.4213164746761322,0.8913189172744751,0.544925332069397,0.7971774935722351,0.5546929836273193,21,,,,,,,,,,,,,,,
,,219,,,,,,,,21,0.9323347210884094,0.849205732345581,0.8516666889190674,0.8493324518203735,0.8233506679534912,0.8333327770233154,,,,,,,,,
5e-05,5e-05,220,,,,,,,,,,,,,,,,,,,,,,,
,,229,0.38587015867233276,0.8110634088516235,0.42222845554351807,0.8933273553848267,0.5570423603057861,0.804774284362793,0.5744014978408813,22,,,,,,,,,,,,,,,
,,229,,,,,,,,22,0.9370368123054504,0.8613530397415161,0.8516666889190674,0.8583197593688965,0.8243491649627686,0.8357080221176147,,,,,,,,,
5e-05,5e-05,230,,,,,,,,,,,,,,,,,,,,,,,
,,239,0.427090048789978,0.8110935688018799,0.42066940665245056,0.8915420770645142,0.5433617830276489,0.8085493445396423,0.5520437955856323,23,,,,,,,,,,,,,,,
,,239,,,,,,,,23,0.935708224773407,0.8767799139022827,0.8650000095367432,0.8649625778198242,0.8378182649612427,0.8483141660690308,,,,,,,,,
5e-06,5e-06,240,,,,,,,,,,,,,,,,,,,,,,,
,,249,,,,,,,,24,,,,,,,0.1954720914363861,,,,,,,,
,,249,0.4225660562515259,0.8112267255783081,0.4210459291934967,0.891095757484436,0.5439544320106506,0.7949022054672241,0.5530678629875183,24,,,,,,,,,,,,,,,
,,249,,,,,,,,24,0.9348746538162231,0.8695112466812134,0.8766666650772095,0.8704005479812622,0.8511886596679688,0.8594492077827454,,,,,,,,,
5e-06,5e-06,250,,,,,,,,,,,,,,,,,,,,,,,
,,259,0.4161394536495209,0.8112553358078003,0.42121779918670654,0.8913189172744751,0.544925332069397,0.7971774935722351,0.5546929836273193,25,,,,,,,,,,,,,,,
,,259,,,,,,,,25,0.9430153369903564,0.885036289691925,0.8766666650772095,0.8704005479812622,0.8511886596679688,0.8594492077827454,,,,,,,,,
5e-06,5e-06,260,,,,,,,,,,,,,,,,,,,,,,,
,,269,0.4116964042186737,0.8112524747848511,0.42115408182144165,0.8915420770645142,0.5458961725234985,0.7993916273117065,0.5563127994537354,26,,,,,,,,,,,,,,,
,,269,,,,,,,,26,0.9481601715087891,0.879902184009552,0.8683333396911621,0.873363733291626,0.8415915966033936,0.8531375527381897,,,,,,,,,
5e-06,5e-06,270,,,,,,,,,,,,,,,,,,,,,,,
,,279,0.4073529541492462,0.8112798929214478,0.42131906747817993,0.8917652368545532,0.5468670725822449,0.8015470504760742,0.5579272508621216,27,,,,,,,,,,,,,,,
,,279,,,,,,,,27,0.9423379898071289,0.8845959305763245,0.8533333539962769,0.8400521278381348,0.8255339860916138,0.8319562673568726,,,,,,,,,
5e-06,5e-06,280,,,,,,,,,,,,,,,,,,,,,,,
,,289,0.3999943137168884,0.8113561868667603,0.42167484760284424,0.8926578760147095,0.5507505536079407,0.8096287250518799,0.5643324851989746,28,,,,,,,,,,,,,,,
,,289,,,,,,,,28,0.95002281665802,0.880561113357544,0.8733333349227905,0.8664929866790771,0.84748375415802,0.8556505441665649,,,,,,,,,
5e-06,5e-06,290,,,,,,,,,,,,,,,,,,,,,,,
,,299,,,,,,,,29,,,,,,,0.18346261978149414,,,,,,,,
,,299,0.40000173449516296,0.8114267587661743,0.4216143488883972,0.8926578760147095,0.5507505536079407,0.8096287250518799,0.5643324851989746,29,,,,,,,,,,,,,,,
,,299,,,,,,,,29,0.9405405521392822,0.8794479966163635,0.875,0.8781830072402954,0.848659873008728,0.8598964214324951,,,,,,,,,
5e-06,5e-06,300,,,,,,,,,,,,,,,,,,,,,,,
,,309,0.4025374948978424,0.8114762306213379,0.4216638207435608,0.8926578760147095,0.5507505536079407,0.8096287250518799,0.5643324851989746,30,,,,,,,,,,,,,,,
