lr-Adam/pg1,lr-Adam/pg2,step,val/loss,val/auroc,val/auprc,val/acc,val/w_acc,val/av_prec,val/av_f1,epoch,train/auroc,train/auprc,train/acc,train/w_acc,train/av_prec,train/av_f1,train/loss,test/loss,test/auroc,test/auprc,test/acc,test/w_acc,test/av_prec,test/av_f1,test/bacc
0.0005,0.0005,0,,,,,,,,,,,,,,,,,,,,,,,
,,12,0.3250759243965149,0.7853463292121887,0.3580555319786072,0.8873019218444824,0.5485696196556091,0.7221006155014038,0.5605040788650513,0,,,,,,,,,,,,,,,
,,12,,,,,,,,0,0.621160626411438,0.4486744701862335,0.5912500023841858,0.5829423666000366,0.5754126310348511,0.5721568465232849,,,,,,,,,
0.0005,0.0005,13,,,,,,,,,,,,,,,,,,,,,,,
,,25,0.29169774055480957,0.8105787038803101,0.3973398506641388,0.8893104195594788,0.5843411684036255,0.7286059260368347,0.6105990409851074,1,,,,,,,,,,,,,,,
,,25,,,,,,,,1,0.7773422002792358,0.634036660194397,0.7037500143051147,0.7071716785430908,0.688569188117981,0.6895666122436523,,,,,,,,,
0.0005,0.0005,26,,,,,,,,,,,,,,,,,,,,,,,
,,38,0.38143599033355713,0.8317130208015442,0.42656052112579346,0.8623075485229492,0.7017204761505127,0.6744844913482666,0.6864132285118103,2,,,,,,,,,,,,,,,
,,38,,,,,,,,2,0.7766332626342773,0.6574135422706604,0.7250000238418579,0.7206525802612305,0.7041367292404175,0.7078179121017456,,,,,,,,,
0.0005,0.0005,39,,,,,,,,,,,,,,,,,,,,,,,
,,49,,,,,,,,3,,,,,,,0.7508071660995483,,,,,,,,
,,51,0.2799379527568817,0.8328958749771118,0.43292778730392456,0.8919883966445923,0.5782508254051208,0.7542093992233276,0.6041837334632874,3,,,,,,,,,,,,,,,
,,51,,,,,,,,3,0.7957754135131836,0.6646857261657715,0.7250000238418579,0.7294799089431763,0.7092356085777283,0.711344838142395,,,,,,,,,
0.0005,0.0005,52,,,,,,,,,,,,,,,,,,,,,,,
,,64,0.28592607378959656,0.832236647605896,0.4401931166648865,0.890872597694397,0.5691724419593811,0.7497816681861877,0.5915326476097107,4,,,,,,,,,,,,,,,
,,64,,,,,,,,4,0.8418583273887634,0.7359439134597778,0.7712500095367432,0.7672324180603027,0.7497920989990234,0.7551736831665039,,,,,,,,,
0.0005,0.0005,65,,,,,,,,,,,,,,,,,,,,,,,
,,77,0.33829259872436523,0.8336821794509888,0.4393516182899475,0.8915420770645142,0.5467410087585449,0.7966834902763367,0.5577163100242615,5,,,,,,,,,,,,,,,
,,77,,,,,,,,5,0.8543208837509155,0.7393525242805481,0.78125,0.7783535718917847,0.7601873874664307,0.7658765316009521,,,,,,,,,
0.0005,0.0005,78,,,,,,,,,,,,,,,,,,,,,,,
,,90,0.2986214756965637,0.840601921081543,0.44941043853759766,0.8917652368545532,0.5747455358505249,0.7547277212142944,0.5994518399238586,6,,,,,,,,,,,,,,,
,,90,,,,,,,,6,0.8622863292694092,0.773322582244873,0.7799999713897705,0.7685774564743042,0.7565923929214478,0.7612847089767456,,,,,,,,,
0.0005,0.0005,91,,,,,,,,,,,,,,,,,,,,,,,
,,99,,,,,,,,7,,,,,,,0.5316675901412964,,,,,,,,
,,103,0.29060813784599304,0.8429334163665771,0.45543763041496277,0.8866324424743652,0.6639293432235718,0.7153682708740234,0.684401273727417,7,,,,,,,,,,,,,,,
,,103,,,,,,,,7,0.875548243522644,0.7807811498641968,0.8075000047683716,0.799160361289978,0.7858105897903442,0.7911241054534912,,,,,,,,,
0.0005,0.0005,104,,,,,,,,,,,,,,,,,,,,,,,
