lr-Adam/pg1,lr-Adam/pg2,step,val/loss,val/auroc,val/auprc,val/acc,val/w_acc,val/av_prec,val/av_f1,epoch,train/auroc,train/auprc,train/acc,train/w_acc,train/av_prec,train/av_f1,train/loss,test/loss,test/auroc,test/auprc,test/acc,test/w_acc,test/av_prec,test/av_f1,test/bacc
0.0005,0.0005,0,,,,,,,,,,,,,,,,,,,,,,,
,,6,0.39296451210975647,0.691887617111206,0.28384125232696533,0.8870787620544434,0.5112722516059875,0.8436856269836426,0.4926367700099945,0,,,,,,,,,,,,,,,
,,6,,,,,,,,0,0.5711809992790222,0.379313588142395,0.574999988079071,0.5593291521072388,0.5540475249290466,0.5512617230415344,,,,,,,,,
0.0005,0.0005,7,,,,,,,,,,,,,,,,,,,,,,,
,,13,0.4632648825645447,0.7281479835510254,0.3221004903316498,0.8873019218444824,0.5122431516647339,0.8500349521636963,0.49453309178352356,1,,,,,,,,,,,,,,,
,,13,,,,,,,,1,0.6971628069877625,0.6058160066604614,0.550000011920929,0.6113207340240479,0.6097742319107056,0.5499550104141235,,,,,,,,,
0.0005,0.0005,14,,,,,,,,,,,,,,,,,,,,,,,
,,20,0.3259715735912323,0.7497333884239197,0.33750247955322266,0.8879714608192444,0.5396550297737122,0.7388471961021423,0.5460254549980164,2,,,,,,,,,,,,,,,
,,20,,,,,,,,2,0.770957350730896,0.650568962097168,0.7225000262260437,0.6888189911842346,0.6895129680633545,0.6891605257987976,,,,,,,,,
0.0005,0.0005,21,,,,,,,,,,,,,,,,,,,,,,,
,,27,0.49075964093208313,0.7652365565299988,0.3433600068092346,0.8875250816345215,0.5140588283538818,0.8387081623077393,0.4981895387172699,3,,,,,,,,,,,,,,,
,,27,,,,,,,,3,0.7963382005691528,0.7040859460830688,0.7049999833106995,0.7210342288017273,0.6980886459350586,0.6945458054542542,,,,,,,,,
0.0005,0.0005,28,,,,,,,,,,,,,,,,,,,,,,,
,,34,0.37453511357307434,0.7865629196166992,0.367417573928833,0.8873019218444824,0.5206911563873291,0.7641013860702515,0.5117220878601074,4,,,,,,,,,,,,,,,
,,34,,,,,,,,4,0.8151502013206482,0.7322111129760742,0.7400000095367432,0.7383648157119751,0.7191540002822876,0.723396897315979,,,,,,,,,
0.0005,0.0005,35,,,,,,,,,,,,,,,,,,,,,,,
,,41,0.45892634987831116,0.7966932654380798,0.37964850664138794,0.8873019218444824,0.5139327645301819,0.8189587593078613,0.49807414412498474,5,,,,,,,,,,,,,,,
,,41,,,,,,,,5,0.8539482951164246,0.7560675144195557,0.7699999809265137,0.7719078063964844,0.7499935626983643,0.7553126811981201,,,,,,,,,
0.0005,0.0005,42,,,,,,,,,,,,,,,,,,,,,,,
