lr-Adam/pg1,lr-Adam/pg2,step,val/loss,val/auroc,val/auprc,val/acc,val/w_acc,val/av_prec,val/av_f1,epoch,train/auroc,train/auprc,train/acc,train/w_acc,train/av_prec,train/av_f1,train/loss,test/loss,test/auroc,test/auprc,test/acc,test/w_acc,test/av_prec,test/av_f1,test/bacc
0.0005,0.0005,0,,,,,,,,,,,,,,,,,,,,,,,
,,10,0.34883394837379456,0.711611270904541,0.30700817704200745,0.8866324424743652,0.5532602667808533,0.7130553722381592,0.5676090717315674,0,,,,,,,,,,,,,,,
,,10,,,,,,,,0,0.550421953201294,0.4114574193954468,0.5171428322792053,0.5210797786712646,0.5194995999336243,0.5090267658233643,,,,,,,,,
0.0005,0.0005,11,,,,,,,,,,,,,,,,,,,,,,,
,,21,0.40706080198287964,0.774603545665741,0.37191900610923767,0.8716804385185242,0.6368969082832336,0.6705193519592285,0.6507411599159241,1,,,,,,,,,,,,,,,
,,21,,,,,,,,1,0.6853395104408264,0.5675251483917236,0.618571400642395,0.6125401854515076,0.6052497029304504,0.6042861938476562,,,,,,,,,
0.0005,0.0005,22,,,,,,,,,,,,,,,,,,,,,,,
,,32,0.38494548201560974,0.7855690717697144,0.381351113319397,0.8745815753936768,0.6444494128227234,0.6795244216918945,0.6589668989181519,2,,,,,,,,,,,,,,,
,,32,,,,,,,,2,0.7323276400566101,0.5866881012916565,0.6857143044471741,0.675399899482727,0.6671152114868164,0.6692894697189331,,,,,,,,,
0.0005,0.0005,33,,,,,,,,,,,,,,,,,,,,,,,
,,43,0.3235885798931122,0.8002604246139526,0.4094844460487366,0.8873019218444824,0.6119297742843628,0.7145198583602905,0.6399838328361511,3,,,,,,,,,,,,,,,
,,43,,,,,,,,3,0.7632322311401367,0.6576045155525208,0.7057142853736877,0.6978743672370911,0.6881546974182129,0.6907464265823364,,,,,,,,,
0.0005,0.0005,44,,,,,,,,,,,,,,,,,,,,,,,
,,49,,,,,,,,4,,,,,,,0.5363016128540039,,,,,,,,
,,54,0.31470268964767456,0.8085459470748901,0.4214756488800049,0.8879714608192444,0.6325832605361938,0.7179217338562012,0.6600891351699829,4,,,,,,,,,,,,,,,
,,54,,,,,,,,4,0.7984181642532349,0.7032396793365479,0.7300000190734863,0.7262543439865112,0.7141430974006653,0.7171862125396729,,,,,,,,,
0.0005,0.0005,55,,,,,,,,,,,,,,,,,,,,,,,
,,65,0.2900386154651642,0.8143856525421143,0.4264339208602905,0.8926578760147095,0.5651121735572815,0.776597797870636,0.5863527059555054,5,,,,,,,,,,,,,,,
,,65,,,,,,,,5,0.8299230337142944,0.743802011013031,0.7557142972946167,0.7515183091163635,0.739398717880249,0.7431192398071289,,,,,,,,,
0.0005,0.0005,66,,,,,,,,,,,,,,,,,,,,,,,
,,76,0.2929806113243103,0.8209494352340698,0.4370115101337433,0.8948895335197449,0.5798897743225098,0.7842415571212769,0.6076900362968445,6,,,,,,,,,,,,,,,
