lr-Adam/pg1,lr-Adam/pg2,step,val/loss,val/auroc,val/auprc,val/acc,val/w_acc,val/av_prec,val/av_f1,epoch,train/auroc,train/auprc,train/acc,train/w_acc,train/av_prec,train/av_f1,train/loss,test/loss,test/auroc,test/auprc,test/acc,test/w_acc,test/av_prec,test/av_f1,test/bacc
0.0005,0.0005,0,,,,,,,,,,,,,,,,,,,,,,,
,,15,0.8100684881210327,0.7595469355583191,0.3341448903083801,0.39366212487220764,0.6278953552246094,0.5626336932182312,0.373492956161499,0,,,,,,,,,,,,,,,
,,15,,,,,,,,0,0.5655237436294556,0.4073931872844696,0.5370000004768372,0.5373125076293945,0.5345631837844849,0.5270563364028931,,,,,,,,,
0.0005,0.0005,16,,,,,,,,,,,,,,,,,,,,,,,
,,31,0.305326908826828,0.7871823310852051,0.36330246925354004,0.8868556022644043,0.5238182544708252,0.7384613752365112,0.5179533958435059,1,,,,,,,,,,,,,,,
,,31,,,,,,,,1,0.6941953897476196,0.5510048866271973,0.6449999809265137,0.6451292037963867,0.6352146863937378,0.6337846517562866,,,,,,,,,
0.0005,0.0005,32,,,,,,,,,,,,,,,,,,,,,,,
,,47,0.3078758716583252,0.8083921670913696,0.3995305895805359,0.8913189172744751,0.576183021068573,0.7491529583930969,0.601173996925354,2,,,,,,,,,,,,,,,
,,47,,,,,,,,2,0.7232272624969482,0.5784764885902405,0.6650000214576721,0.6596776247024536,0.6502493619918823,0.6511866450309753,,,,,,,,,
0.0005,0.0005,48,,,,,,,,,,,,,,,,,,,,,,,
,,49,,,,,,,,3,,,,,,,0.6735005378723145,,,,,,,,
,,63,0.2946673035621643,0.8215340375900269,0.41881412267684937,0.8895335793495178,0.5979840755462646,0.7272542715072632,0.6266940236091614,3,,,,,,,,,,,,,,,
,,63,,,,,,,,3,0.7448035478591919,0.6176002621650696,0.6690000295639038,0.6657595634460449,0.6555171012878418,0.6561935544013977,,,,,,,,,
0.0005,0.0005,64,,,,,,,,,,,,,,,,,,,,,,,
,,79,0.2925330102443695,0.8275763988494873,0.437018483877182,0.8948895335197449,0.6339570879936218,0.7493084073066711,0.6673639416694641,4,,,,,,,,,,,,,,,
,,79,,,,,,,,4,0.7934550046920776,0.6842260360717773,0.7229999899864197,0.7270112037658691,0.712090015411377,0.7134021520614624,,,,,,,,,
0.0005,0.0005,80,,,,,,,,,,,,,,,,,,,,,,,
,,95,0.2753239870071411,0.8348060250282288,0.45212188363075256,0.8939968943595886,0.5819198489189148,0.7715633511543274,0.6099111437797546,5,,,,,,,,,,,,,,,
,,95,,,,,,,,5,0.8138779401779175,0.7008246183395386,0.7419999837875366,0.7437106966972351,0.7289772629737854,0.7316927313804626,,,,,,,,,
0.0005,0.0005,96,,,,,,,,,,,,,,,,,,,,,,,
,,99,,,,,,,,6,,,,,,,0.5768685340881348,,,,,,,,
,,111,0.29216551780700684,0.8368794918060303,0.45913636684417725,0.8931041955947876,0.6574477553367615,0.7374148368835449,0.6857285499572754,6,,,,,,,,,,,,,,,
,,111,,,,,,,,6,0.8033468127250671,0.6946386098861694,0.734000027179718,0.7291969060897827,0.7178161144256592,0.7209821343421936,,,,,,,,,
0.0005,0.0005,112,,,,,,,,,,,,,,,,,,,,,,,
,,127,0.297866553068161,0.8417128324508667,0.47132444381713867,0.8913189172744751,0.5542181730270386,0.7742528319358826,0.5697025656700134,7,,,,,,,,,,,,,,,
,,127,,,,,,,,7,0.8043014407157898,0.6975317001342773,0.7170000076293945,0.7164195775985718,0.7034358978271484,0.7055736184120178,,,,,,,,,
0.0005,0.0005,128,,,,,,,,,,,,,,,,,,,,,,,
,,143,0.2954414486885071,0.8432320356369019,0.4754623770713806,0.8890872597694397,0.6872809529304504,0.7242701053619385,0.7032665610313416,8,,,,,,,,,,,,,,,
,,143,,,,,,,,8,0.8280806541442871,0.7538639903068542,0.7480000257492065,0.7454903721809387,0.7327044010162354,0.7361410856246948,,,,,,,,,
0.0005,0.0005,144,,,,,,,,,,,,,,,,,,,,,,,
,,149,,,,,,,,9,,,,,,,0.5814757943153381,,,,,,,,
,,159,0.2971027195453644,0.8403664231300354,0.4698743522167206,0.8939968943595886,0.567558228969574,0.7921695709228516,0.5902994871139526,9,,,,,,,,,,,,,,,
,,159,,,,,,,,9,0.8507974147796631,0.7555586099624634,0.7620000243186951,0.7617838382720947,0.7475491762161255,0.7512375116348267,,,,,,,,,
0.0005,0.0005,160,,,,,,,,,,,,,,,,,,,,,,,
,,175,0.2754956781864166,0.8455243706703186,0.48322904109954834,0.900468647480011,0.6092303991317749,0.8061526417732239,0.6470377445220947,10,,,,,,,,,,,,,,,
,,175,,,,,,,,10,0.8399466276168823,0.7532105445861816,0.7549999952316284,0.7562806606292725,0.7413996458053589,0.7446850538253784,,,,,,,,,
0.0005,0.0005,176,,,,,,,,,,,,,,,,,,,,,,,
,,191,0.2867971956729889,0.8424437642097473,0.48110753297805786,0.8984601497650146,0.5920445322990417,0.8093428611755371,0.6252852082252502,11,,,,,,,,,,,,,,,
,,191,,,,,,,,11,0.8605855703353882,0.7860472202301025,0.7730000019073486,0.7745438814163208,0.7591675519943237,0.7630418539047241,,,,,,,,,
5e-05,5e-05,192,,,,,,,,,,,,,,,,,,,,,,,
,,199,,,,,,,,12,,,,,,,0.49691101908683777,,,,,,,,
,,207,0.2784709930419922,0.8427576422691345,0.48149311542510986,0.8989064693450928,0.6100375056266785,0.7903077602386475,0.6467026472091675,12,,,,,,,,,,,,,,,
,,207,,,,,,,,12,0.8803044557571411,0.8126092553138733,0.8050000071525574,0.8008760213851929,0.789512038230896,0.7938059568405151,,,,,,,,,
5e-05,5e-05,208,,,,,,,,,,,,,,,,,,,,,,,
,,223,0.2907973825931549,0.8432354927062988,0.481802374124527,0.8975675106048584,0.5923850536346436,0.7981395721435547,0.625151515007019,13,,,,,,,,,,,,,,,
,,223,,,,,,,,13,0.8835700750350952,0.8099501729011536,0.7910000085830688,0.7951568961143494,0.7780184745788574,0.7822006940841675,,,,,,,,,
5e-05,5e-05,224,,,,,,,,,,,,,,,,,,,,,,,
,,239,0.2839820086956024,0.8433382511138916,0.4825139343738556,0.9000223278999329,0.6098230481147766,0.8009758591651917,0.6473458409309387,14,,,,,,,,,,,,,,,
,,239,,,,,,,,14,0.8847407102584839,0.8044686317443848,0.8109999895095825,0.8102927207946777,0.7963069677352905,0.8011093735694885,,,,,,,,,
5e-05,5e-05,240,,,,,,,,,,,,,,,,,,,,,,,
,,249,,,,,,,,15,,,,,,,0.5144261717796326,,,,,,,,
,,255,0.28907638788223267,0.8433314561843872,0.48321446776390076,0.8993528485298157,0.6060656309127808,0.7989826202392578,0.6426013708114624,15,,,,,,,,,,,,,,,
,,255,,,,,,,,15,0.8831984996795654,0.8098404407501221,0.8009999990463257,0.8012561798095703,0.7864865660667419,0.7911662459373474,,,,,,,,,
5e-05,5e-05,256,,,,,,,,,,,,,,,,,,,,,,,
,,271,0.2825634181499481,0.8433270454406738,0.48399314284324646,0.9000223278999329,0.6132022738456726,0.7970763444900513,0.6510619521141052,16,,,,,,,,,,,,,,,
,,271,,,,,,,,16,0.8887233138084412,0.817267894744873,0.8019999861717224,0.8002799153327942,0.7869526147842407,0.7915403842926025,,,,,,,,,
5e-05,5e-05,272,,,,,,,,,,,,,,,,,,,,,,,
,,287,0.2977508008480072,0.8431556820869446,0.48386621475219727,0.8977906703948975,0.5950455069541931,0.7969112992286682,0.6285524964332581,17,,,,,,,,,,,,,,,
,,287,,,,,,,,17,0.888451099395752,0.8112205266952515,0.7990000247955322,0.8037960529327393,0.7861560583114624,0.7905374765396118,,,,,,,,,
5e-05,5e-05,288,,,,,,,,,,,,,,,,,,,,,,,
,,299,,,,,,,,18,,,,,,,0.5333327054977417,,,,,,,,
,,303,0.28549277782440186,0.842879056930542,0.48345747590065,0.9002454876899719,0.6150179505348206,0.7971271872520447,0.6532092094421387,18,,,,,,,,,,,,,,,
,,303,,,,,,,,18,0.8786154985427856,0.8050955533981323,0.8090000152587891,0.8022582530975342,0.7933292984962463,0.7970138788223267,,,,,,,,,
5e-05,5e-05,304,,,,,,,,,,,,,,,,,,,,,,,
,,319,0.30172309279441833,0.8432878255844116,0.48395854234695435,0.8973443508148193,0.5922589302062988,0.7957755327224731,0.6248571276664734,19,,,,,,,,,,,,,,,
,,319,,,,,,,,19,0.878922164440155,0.8032355904579163,0.7860000133514404,0.7912260890007019,0.7736201286315918,0.7774505615234375,,,,,,,,,
5e-05,5e-05,320,,,,,,,,,,,,,,,,,,,,,,,
,,335,0.27950671315193176,0.8431767225265503,0.4840104281902313,0.8989064693450928,0.6235543489456177,0.7788405418395996,0.6609411239624023,20,,,,,,,,,,,,,,,
,,335,,,,,,,,20,0.8810949325561523,0.8023072481155396,0.8069999814033508,0.8071480393409729,0.7924836874008179,0.7972772121429443,,,,,,,,,
5e-05,5e-05,336,,,,,,,,,,,,,,,,,,,,,,,
,,349,,,,,,,,21,,,,,,,0.30924516916275024,,,,,,,,
,,351,0.29200172424316406,0.8431909084320068,0.4844539165496826,0.9000223278999329,0.6098230481147766,0.8009758591651917,0.6473458409309387,21,,,,,,,,,,,,,,,
,,351,,,,,,,,21,0.8863734006881714,0.8151773810386658,0.8009999990463257,0.7989063262939453,0.78584885597229,0.7903884053230286,,,,,,,,,
5e-05,5e-05,352,,,,,,,,,,,,,,,,,,,,,,,
,,367,0.298919677734375,0.8435434103012085,0.48473477363586426,0.8989064693450928,0.6032791137695312,0.7979520559310913,0.6390760540962219,22,,,,,,,,,,,,,,,
,,367,,,,,,,,22,0.8837212324142456,0.8057337403297424,0.7929999828338623,0.7996665239334106,0.7811498641967773,0.7849911451339722,,,,,,,,,
5e-05,5e-05,368,,,,,,,,,,,,,,,,,,,,,,,
,,383,0.2956737279891968,0.8433231115341187,0.4851667284965515,0.8991296291351318,0.6050947308540344,0.7979507446289062,0.6413270235061646,23,,,,,,,,,,,,,,,
