lr-Adam/pg1,lr-Adam/pg2,step,val/loss,val/auroc,val/auprc,val/acc,val/w_acc,val/av_prec,val/av_f1,epoch,train/auroc,train/auprc,train/acc,train/w_acc,train/av_prec,train/av_f1,train/loss,test/loss,test/auroc,test/auprc,test/acc,test/w_acc,test/av_prec,test/av_f1,test/bacc
0.0005,0.0005,0,,,,,,,,,,,,,,,,,,,,,,,
,,9,0.9927728772163391,0.7165322303771973,0.2875933349132538,0.19080562889575958,0.5335715413093567,0.545986533164978,0.18986114859580994,0,,,,,,,,,,,,,,,
,,9,,,,,,,,0,0.49396246671676636,0.34411418437957764,0.49000000953674316,0.4950000047683716,0.49555063247680664,0.47826087474823,,,,,,,,,
0.0005,0.0005,10,,,,,,,,,,,,,,,,,,,,,,,
,,19,0.6654358506202698,0.7634450793266296,0.33598846197128296,0.6284311413764954,0.7005417346954346,0.5828222632408142,0.5362280607223511,1,,,,,,,,,,,,,,,
,,19,,,,,,,,1,0.6157875061035156,0.4485774636268616,0.6050000190734863,0.5750000476837158,0.5703903436660767,0.5709617733955383,,,,,,,,,
0.0005,0.0005,20,,,,,,,,,,,,,,,,,,,,,,,
,,29,0.31482791900634766,0.7886878252029419,0.36216503381729126,0.8875250816345215,0.5419372916221619,0.7292364835739136,0.5498636960983276,2,,,,,,,,,,,,,,,
,,29,,,,,,,,2,0.7006000280380249,0.5339990854263306,0.6600000262260437,0.6487500071525574,0.6359999775886536,0.637333333492279,,,,,,,,,
0.0005,0.0005,30,,,,,,,,,,,,,,,,,,,,,,,
,,39,0.30004414916038513,0.8031084537506104,0.3810465931892395,0.8879714608192444,0.5320518016815186,0.750923752784729,0.5327940583229065,3,,,,,,,,,,,,,,,
,,39,,,,,,,,3,0.7190124988555908,0.5722557306289673,0.6183333396911621,0.6537500023841858,0.6383405923843384,0.6135140657424927,,,,,,,,,
0.0005,0.0005,40,,,,,,,,,,,,,,,,,,,,,,,
,,49,,,,,,,,4,,,,,,,0.7069210410118103,,,,,,,,
,,49,0.299272745847702,0.811835527420044,0.3958977460861206,0.8884177803993225,0.5813024640083313,0.7228137254714966,0.6064127683639526,4,,,,,,,,,,,,,,,
,,49,,,,,,,,4,0.757099986076355,0.6151938438415527,0.70333331823349,0.6875,0.6751435995101929,0.6787428855895996,,,,,,,,,
0.0005,0.0005,50,,,,,,,,,,,,,,,,,,,,,,,
,,59,0.371536523103714,0.8174914121627808,0.3997178375720978,0.8886409401893616,0.5222923755645752,0.8198190927505493,0.5142262578010559,5,,,,,,,,,,,,,,,
,,59,,,,,,,,5,0.7776874899864197,0.6231346726417542,0.6933333277702332,0.7012500166893005,0.6802427172660828,0.6791853904724121,,,,,,,,,
0.0005,0.0005,60,,,,,,,,,,,,,,,,,,,,,,,
,,69,0.33015069365501404,0.8217670917510986,0.41207557916641235,0.8893104195594788,0.537877082824707,0.7695217132568359,0.5428265929222107,6,,,,,,,,,,,,,,,
,,69,,,,,,,,6,0.7883750200271606,0.6597786545753479,0.7116666436195374,0.7087500095367432,0.6902245283126831,0.6932542324066162,,,,,,,,,
0.0005,0.0005,70,,,,,,,,,,,,,,,,,,,,,,,
,,79,0.2995830178260803,0.8288339376449585,0.4292573928833008,0.8913189172744751,0.5626661777496338,0.7615730166435242,0.5824285745620728,7,,,,,,,,,,,,,,,
,,79,,,,,,,,7,0.8295749425888062,0.7013731598854065,0.7483333349227905,0.7437499761581421,0.7247812747955322,0.7298352718353271,,,,,,,,,
0.0005,0.0005,80,,,,,,,,,,,,,,,,,,,,,,,
,,89,0.3008206784725189,0.8334841728210449,0.4396684169769287,0.8926578760147095,0.5668017864227295,0.77406907081604,0.5887858867645264,8,,,,,,,,,,,,,,,
,,89,,,,,,,,8,0.8663250207901001,0.7806737422943115,0.7833333611488342,0.7712500095367432,0.7576462626457214,0.762935221195221,,,,,,,,,
0.0005,0.0005,90,,,,,,,,,,,,,,,,,,,,,,,
,,99,,,,,,,,9,,,,,,,0.808921217918396,,,,,,,,
,,99,0.3531602621078491,0.8356584310531616,0.4425215423107147,0.8915420770645142,0.5458961725234985,0.7993916273117065,0.5563127994537354,9,,,,,,,,,,,,,,,
,,99,,,,,,,,9,0.8340499997138977,0.733468234539032,0.7516666650772095,0.7487499713897705,0.7288013696670532,0.7339087724685669,,,,,,,,,
0.0005,0.0005,100,,,,,,,,,,,,,,,,,,,,,,,
,,109,0.4167320132255554,0.8339722752571106,0.44152140617370605,0.890203058719635,0.5324677228927612,0.8182132244110107,0.5329918265342712,10,,,,,,,,,,,,,,,
,,109,,,,,,,,10,0.8607000112533569,0.771038293838501,0.7683333158493042,0.7849999666213989,0.7554020881652832,0.7574672102928162,,,,,,,,,
0.0005,0.0005,110,,,,,,,,,,,,,,,,,,,,,,,
,,119,0.3352767825126648,0.8348413705825806,0.44635963439941406,0.8924347162246704,0.5548484921455383,0.7930524349212646,0.5708400011062622,11,,,,,,,,,,,,,,,
,,119,,,,,,,,11,0.8500624895095825,0.75618577003479,0.7716666460037231,0.7737499475479126,0.7505749464035034,0.7562270164489746,,,,,,,,,
5e-05,5e-05,120,,,,,,,,,,,,,,,,,,,,,,,
,,129,0.3224498927593231,0.8349553346633911,0.447451114654541,0.8928810358047485,0.5618590116500854,0.7856062650680542,0.5816333293914795,12,,,,,,,,,,,,,,,
,,129,,,,,,,,12,0.8690249919891357,0.7683598399162292,0.7883333563804626,0.7775000333786011,0.7631111145019531,0.7686527371406555,,,,,,,,,
5e-05,5e-05,130,,,,,,,,,,,,,,,,,,,,,,,
