lr-Adam/pg1,lr-Adam/pg2,step,val/loss,val/auroc,val/auprc,val/acc,val/w_acc,val/av_prec,val/av_f1,epoch,train/auroc,train/auprc,train/acc,train/w_acc,train/av_prec,train/av_f1,train/loss,test/loss,test/auroc,test/auprc,test/acc,test/w_acc,test/av_prec,test/av_f1,test/bacc
0.0005,0.0005,0,,,,,,,,,,,,,,,,,,,,,,,
,,7,0.39037609100341797,0.726236879825592,0.2919679880142212,0.885739803314209,0.5037574172019958,0.842917799949646,0.47736772894859314,0,,,,,,,,,,,,,,,
,,7,,,,,,,,0,0.4845861792564392,0.34157103300094604,0.46399998664855957,0.4830155372619629,0.48490262031555176,0.4566892385482788,,,,,,,,,
0.0005,0.0005,8,,,,,,,,,,,,,,,,,,,,,,,
,,15,0.3414834439754486,0.7884371280670166,0.3706740736961365,0.8870787620544434,0.5864596366882324,0.7133837938308716,0.6120035648345947,1,,,,,,,,,,,,,,,
,,15,,,,,,,,1,0.6750127673149109,0.5233662128448486,0.6579999923706055,0.6409708261489868,0.6284380555152893,0.6302398443222046,,,,,,,,,
0.0005,0.0005,16,,,,,,,,,,,,,,,,,,,,,,,
,,23,0.31497928500175476,0.7992318868637085,0.3824895918369293,0.8886409401893616,0.5290508270263672,0.778855562210083,0.5271324515342712,2,,,,,,,,,,,,,,,
,,23,,,,,,,,2,0.7465300559997559,0.5981119275093079,0.7099999785423279,0.6794323921203613,0.6727472543716431,0.6755150556564331,,,,,,,,,
0.0005,0.0005,24,,,,,,,,,,,,,,,,,,,,,,,
,,31,0.30920055508613586,0.8076274991035461,0.3954324722290039,0.8893104195594788,0.5319634675979614,0.7889611721038818,0.5322995781898499,3,,,,,,,,,,,,,,,
,,31,,,,,,,,3,0.7412703633308411,0.5798751711845398,0.6759999990463257,0.6703557968139648,0.6527777910232544,0.6540294885635376,,,,,,,,,
0.0005,0.0005,32,,,,,,,,,,,,,,,,,,,,,,,
,,39,0.30168092250823975,0.814895749092102,0.4064788818359375,0.8897567391395569,0.5364395976066589,0.7852743268013,0.5402395725250244,4,,,,,,,,,,,,,,,
,,39,,,,,,,,4,0.7880414724349976,0.678870677947998,0.7319999933242798,0.7198115587234497,0.7027491331100464,0.7077604532241821,,,,,,,,,
0.0005,0.0005,40,,,,,,,,,,,,,,,,,,,,,,,
,,47,0.34103453159332275,0.8204534649848938,0.4133957624435425,0.8884177803993225,0.5230110883712769,0.8020371198654175,0.5157350897789001,5,,,,,,,,,,,,,,,
,,47,,,,,,,,5,0.8054825067520142,0.6903871297836304,0.7039999961853027,0.7055299878120422,0.6834572553634644,0.6852617263793945,,,,,,,,,
0.0005,0.0005,48,,,,,,,,,,,,,,,,,,,,,,,
,,49,,,,,,,,6,,,,,,,0.5049557685852051,,,,,,,,
,,55,0.46596759557724,0.8223966956138611,0.4168121814727783,0.8875250816345215,0.5140588283538818,0.8387081623077393,0.4981895387172699,6,,,,,,,,,,,,,,,
,,55,,,,,,,,6,0.8339816927909851,0.7233409881591797,0.7260000109672546,0.7394806146621704,0.7115989923477173,0.7117961645126343,,,,,,,,,
0.0005,0.0005,56,,,,,,,,,,,,,,,,,,,,,,,
,,63,0.27866777777671814,0.8290767669677734,0.43940114974975586,0.8942200541496277,0.5997867584228516,0.7591286897659302,0.6317798495292664,7,,,,,,,,,,,,,,,
,,63,,,,,,,,7,0.8558879494667053,0.7656899690628052,0.800000011920929,0.7797501683235168,0.7715187072753906,0.7752243280410767,,,,,,,,,
0.0005,0.0005,64,,,,,,,,,,,,,,,,,,,,,,,
,,71,0.3698611855506897,0.8323536515235901,0.4419139325618744,0.889979898929596,0.5306520462036133,0.820684015750885,0.5296992063522339,8,,,,,,,,,,,,,,,
,,71,,,,,,,,8,0.8424282073974609,0.7197998762130737,0.7540000081062317,0.7489407062530518,0.7275664210319519,0.7333957552909851,,,,,,,,,
0.0005,0.0005,72,,,,,,,,,,,,,,,,,,,,,,,
,,79,0.48070263862609863,0.8337700366973877,0.44485944509506226,0.8884177803993225,0.5179423093795776,0.8574131727218628,0.505638837814331,9,,,,,,,,,,,,,,,
