lr-Adam/pg1,lr-Adam/pg2,step,val/loss,val/auroc,val/auprc,val/acc,val/w_acc,val/av_prec,val/av_f1,epoch,train/auroc,train/auprc,train/acc,train/w_acc,train/av_prec,train/av_f1,train/loss,test/loss,test/auroc,test/auprc,test/acc,test/w_acc,test/av_prec,test/av_f1,test/bacc
0.0005,0.0005,0,,,,,,,,,,,,,,,,,,,,,,,
,,7,0.38760292530059814,0.7186448574066162,0.2812859117984772,0.8861861228942871,0.5065439343452454,0.8320910334587097,0.4831383526325226,0,,,,,,,,,,,,,,,
,,7,,,,,,,,0,0.5026499032974243,0.40092164278030396,0.4819999933242798,0.49564462900161743,0.4959789514541626,0.4769769012928009,,,,,,,,,
0.0005,0.0005,8,,,,,,,,,,,,,,,,,,,,,,,
,,15,0.3046359419822693,0.7775866985321045,0.3554341197013855,0.8879714608192444,0.5464134812355042,0.7323026657104492,0.5571255683898926,1,,,,,,,,,,,,,,,
,,15,,,,,,,,1,0.6919766664505005,0.5826491117477417,0.6380000114440918,0.6342638731002808,0.6241589188575745,0.6232290863990784,,,,,,,,,
0.0005,0.0005,16,,,,,,,,,,,,,,,,,,,,,,,
,,23,0.3031539022922516,0.7964422702789307,0.3796268403530121,0.8893104195594788,0.5556179285049438,0.7427235841751099,0.5715499520301819,2,,,,,,,,,,,,,,,
,,23,,,,,,,,2,0.754525899887085,0.6336312294006348,0.6919999718666077,0.6709520816802979,0.6662753820419312,0.6681663990020752,,,,,,,,,
0.0005,0.0005,24,,,,,,,,,,,,,,,,,,,,,,,
,,31,0.3491167426109314,0.8068680763244629,0.3947449028491974,0.8904262185096741,0.5334386229515076,0.8209733963012695,0.5347135066986084,3,,,,,,,,,,,,,,,
,,31,,,,,,,,3,0.7597732543945312,0.6572529077529907,0.671999990940094,0.666964054107666,0.6554362773895264,0.6565645933151245,,,,,,,,,
0.0005,0.0005,32,,,,,,,,,,,,,,,,,,,,,,,
,,39,0.3168962895870209,0.8123936653137207,0.40792885422706604,0.8922115564346313,0.5513432025909424,0.7978527545928955,0.565254271030426,4,,,,,,,,,,,,,,,
,,39,,,,,,,,4,0.7937066555023193,0.70698082447052,0.7400000095367432,0.7361949682235718,0.7220276594161987,0.7257430553436279,,,,,,,,,
0.0005,0.0005,40,,,,,,,,,,,,,,,,,,,,,,,
,,47,0.3145614564418793,0.8184886574745178,0.41957423090934753,0.8931041955947876,0.5526922941207886,0.8133746385574341,0.5675038695335388,5,,,,,,,,,,,,,,,
,,47,,,,,,,,5,0.8203459978103638,0.7195876836776733,0.734000027179718,0.7289972305297852,0.7155558466911316,0.7191426753997803,,,,,,,,,
0.0005,0.0005,48,,,,,,,,,,,,,,,,,,,,,,,
,,49,,,,,,,,6,,,,,,,0.5122741460800171,,,,,,,,
,,55,0.4229595363140106,0.8190069794654846,0.41773396730422974,0.8884177803993225,0.518787145614624,0.8444569110870361,0.507352888584137,6,,,,,,,,,,,,,,,
,,55,,,,,,,,6,0.8216403126716614,0.7526351809501648,0.7139999866485596,0.7275629043579102,0.7084935903549194,0.7058956623077393,,,,,,,,,
0.0005,0.0005,56,,,,,,,,,,,,,,,,,,,,,,,
,,63,0.34685349464416504,0.8248696327209473,0.43081825971603394,0.8937737345695496,0.5505360960960388,0.8390604257583618,0.5640580058097839,7,,,,,,,,,,,,,,,
,,63,,,,,,,,7,0.8505536317825317,0.7715535759925842,0.7599999904632568,0.7580591440200806,0.7425804138183594,0.746839702129364,,,,,,,,,
0.0005,0.0005,64,,,,,,,,,,,,,,,,,,,,,,,
,,71,0.3424503207206726,0.8330180644989014,0.44374895095825195,0.8951126933097839,0.5580509901046753,0.8409512042999268,0.5762939453125,8,,,,,,,,,,,,,,,
,,71,,,,,,,,8,0.862255334854126,0.8002354502677917,0.7639999985694885,0.7522170543670654,0.7433629631996155,0.7468897104263306,,,,,,,,,
0.0005,0.0005,72,,,,,,,,,,,,,,,,,,,,,,,
,,79,0.4455244243144989,0.8368545174598694,0.44953352212905884,0.8895335793495178,0.5219518542289734,0.8870888352394104,0.5131230354309082,9,,,,,,,,,,,,,,,
,,79,,,,,,,,9,0.8700739741325378,0.7984001636505127,0.7720000147819519,0.7801157832145691,0.7592560052871704,0.762499988079071,,,,,,,,,
0.0005,0.0005,80,,,,,,,,,,,,,,,,,,,,,,,
,,87,0.3320249021053314,0.837140679359436,0.4512516260147095,0.8946663737297058,0.5603331923484802,0.8223570585250854,0.5797437429428101,10,,,,,,,,,,,,,,,
,,87,,,,,,,,10,0.8625701665878296,0.781407356262207,0.777999997138977,0.7707141637802124,0.7588300704956055,0.7631999850273132,,,,,,,,,
0.0005,0.0005,88,,,,,,,,,,,,,,,,,,,,,,,
,,95,0.3210209608078003,0.8372148275375366,0.4502602517604828,0.8951126933097839,0.5774813890457153,0.7906427979469299,0.6045740842819214,11,,,,,,,,,,,,,,,
,,95,,,,,,,,11,0.8944045305252075,0.8287000060081482,0.8240000009536743,0.8267478346824646,0.807999849319458,0.8139880895614624,,,,,,,,,
5e-05,5e-05,96,,,,,,,,,,,,,,,,,,,,,,,
,,99,,,,,,,,12,,,,,,,0.4442982077598572,,,,,,,,
,,103,0.3541105389595032,0.8372464179992676,0.45032429695129395,0.8960053324699402,0.5653136968612671,0.8339320421218872,0.5876274108886719,12,,,,,,,,,,,,,,,
,,103,,,,,,,,12,0.8870931267738342,0.8272007703781128,0.7799999713897705,0.7888615131378174,0.7673503756523132,0.7708333730697632,,,,,,,,,
5e-05,5e-05,104,,,,,,,,,,,,,,,,,,,,,,,
,,111,0.35990917682647705,0.8373411893844604,0.4504094421863556,0.895335853099823,0.5615562200546265,0.8326401710510254,0.5817700624465942,13,,,,,,,,,,,,,,,
,,111,,,,,,,,13,0.9117734432220459,0.8531355261802673,0.8339999914169312,0.8255496621131897,0.817307710647583,0.8209470510482788,,,,,,,,,
5e-05,5e-05,112,,,,,,,,,,,,,,,,,,,,,,,
,,119,0.33902764320373535,0.8374812602996826,0.4513310492038727,0.8955590128898621,0.572664737701416,0.805970311164856,0.5981270670890808,14,,,,,,,,,,,,,,,
,,119,,,,,,,,14,0.8837522268295288,0.8259396553039551,0.8019999861717224,0.8007818460464478,0.7847774028778076,0.7901110649108887,,,,,,,,,
