lr-Adam/pg1,lr-Adam/pg2,step,val/loss,val/auroc,val/auprc,val/acc,val/w_acc,val/av_prec,val/av_f1,epoch,train/auroc,train/auprc,train/acc,train/w_acc,train/av_prec,train/av_f1,train/loss,test/loss,test/auroc,test/auprc,test/acc,test/w_acc,test/av_prec,test/av_f1,test/bacc
0.0005,0.0005,0,,,,,,,,,,,,,,,,,,,,,,,
,,10,0.44512003660202026,0.7007691264152527,0.26336491107940674,0.8736889362335205,0.5721369385719299,0.6464852690696716,0.5892000198364258,0,,,,,,,,,,,,,,,
,,10,,,,,,,,0,0.468825101852417,0.21041296422481537,0.46000000834465027,0.48239123821258545,0.48773449659347534,0.43023255467414856,,,,,,,,,
0.0005,0.0005,11,,,,,,,,,,,,,,,,,,,,,,,
,,21,0.38428205251693726,0.7582474946975708,0.33131492137908936,0.8861861228942871,0.5563873052597046,0.7082807421684265,0.572154700756073,1,,,,,,,,,,,,,,,
,,21,,,,,,,,1,0.5560343265533447,0.2870429456233978,0.545714259147644,0.5305119752883911,0.5212072134017944,0.49285072088241577,,,,,,,,,
0.0005,0.0005,22,,,,,,,,,,,,,,,,,,,,,,,
,,32,0.5799393653869629,0.7857903838157654,0.36397552490234375,0.7346574664115906,0.7166221141815186,0.603060781955719,0.6033797860145569,2,,,,,,,,,,,,,,,
,,32,,,,,,,,2,0.5916306376457214,0.31949734687805176,0.5771428346633911,0.5553122162818909,0.5389053821563721,0.5186589360237122,,,,,,,,,
0.0005,0.0005,33,,,,,,,,,,,,,,,,,,,,,,,
,,43,0.5816611647605896,0.7983904480934143,0.3839239180088043,0.7190359234809875,0.7263827323913574,0.6033386588096619,0.5972620844841003,3,,,,,,,,,,,,,,,
,,43,,,,,,,,3,0.6648831367492676,0.3722747266292572,0.6528571248054504,0.629328191280365,0.5940998792648315,0.5895022749900818,,,,,,,,,
0.0005,0.0005,44,,,,,,,,,,,,,,,,,,,,,,,
,,49,,,,,,,,4,,,,,,,0.6781424283981323,,,,,,,,
,,54,0.3470401167869568,0.803379237651825,0.3892406225204468,0.8841776251792908,0.6118544340133667,0.700938880443573,0.6376913785934448,4,,,,,,,,,,,,,,,
,,54,,,,,,,,4,0.6514116525650024,0.36515718698501587,0.6214285492897034,0.6276117563247681,0.5892857313156128,0.5724141597747803,,,,,,,,,
0.0005,0.0005,55,,,,,,,,,,,,,,,,,,,,,,,
,,65,0.3425193727016449,0.8080040216445923,0.4005742073059082,0.8832849860191345,0.6248669624328613,0.6996316909790039,0.6493646502494812,5,,,,,,,,,,,,,,,
,,65,,,,,,,,5,0.6858952045440674,0.41630256175994873,0.6371428370475769,0.6492453813552856,0.604495644569397,0.5897137522697449,,,,,,,,,
0.0005,0.0005,66,,,,,,,,,,,,,,,,,,,,,,,
,,76,0.33802273869514465,0.8126018047332764,0.4088866710662842,0.8846239447593689,0.6273130178451538,0.7047833204269409,0.6526261568069458,6,,,,,,,,,,,,,,,
,,76,,,,,,,,6,0.7324652671813965,0.4488031566143036,0.6857143044471741,0.6758213043212891,0.6281061172485352,0.6278611421585083,,,,,,,,,
0.0005,0.0005,77,,,,,,,,,,,,,,,,,,,,,,,
,,87,0.35225674510002136,0.8169156312942505,0.41639256477355957,0.8681098222732544,0.6686718463897705,0.6736851930618286,0.6711177229881287,7,,,,,,,,,,,,,,,
,,87,,,,,,,,7,0.7615507245063782,0.4837369918823242,0.6985714435577393,0.6933116316795349,0.64104825258255,0.6426073908805847,,,,,,,,,
0.0005,0.0005,88,,,,,,,,,,,,,,,,,,,,,,,
,,98,0.3830762207508087,0.820734977722168,0.42533186078071594,0.8455702066421509,0.712540328502655,0.6580147743225098,0.6779029369354248,8,,,,,,,,,,,,,,,
,,98,,,,,,,,8,0.7861024141311646,0.5572918653488159,0.7171428799629211,0.7029298543930054,0.6515814661979675,0.657554566860199,,,,,,,,,
0.0005,0.0005,99,,,,,,,,,,,,,,,,,,,,,,,
,,99,,,,,,,,9,,,,,,,0.6480933427810669,,,,,,,,
,,109,0.3458903729915619,0.8229729533195496,0.4300123155117035,0.8748047351837158,0.6648507118225098,0.6856203079223633,0.6742507815361023,9,,,,,,,,,,,,,,,
,,109,,,,,,,,9,0.7973010540008545,0.5860673189163208,0.7114285826683044,0.7177271842956543,0.6577793955802917,0.6601092219352722,,,,,,,,,
0.0005,0.0005,110,,,,,,,,,,,,,,,,,,,,,,,
,,120,0.379483163356781,0.8270835876464844,0.4324296712875366,0.8924347162246704,0.6139846444129944,0.7410920858383179,0.6458834409713745,10,,,,,,,,,,,,,,,
,,120,,,,,,,,10,0.8394554853439331,0.6396517753601074,0.75,0.75865638256073,0.690996527671814,0.7003241181373596,,,,,,,,,
0.0005,0.0005,121,,,,,,,,,,,,,,,,,,,,,,,
,,131,0.34965938329696655,0.8276094198226929,0.43384185433387756,0.8797143697738647,0.6625555157661438,0.6963395476341248,0.6769688129425049,11,,,,,,,,,,,,,,,
,,131,,,,,,,,11,0.8052678108215332,0.6133564710617065,0.7371428608894348,0.7342408895492554,0.6743776202201843,0.6826804876327515,,,,,,,,,
5e-05,5e-05,132,,,,,,,,,,,,,,,,,,,,,,,
,,142,0.3570871949195862,0.8276256322860718,0.43419474363327026,0.8681098222732544,0.6821886301040649,0.6777044534683228,0.6799001097679138,12,,,,,,,,,,,,,,,
,,142,,,,,,,,12,0.8704350590705872,0.6830590963363647,0.8071428537368774,0.7953536510467529,0.736268937587738,0.7541463375091553,,,,,,,,,
5e-05,5e-05,143,,,,,,,,,,,,,,,,,,,,,,,
,,149,,,,,,,,13,,,,,,,0.4391616880893707,,,,,,,,
,,153,0.35521742701530457,0.827743649482727,0.43417298793792725,0.8705645799636841,0.6742826104164124,0.6797787547111511,0.6769607663154602,13,,,,,,,,,,,,,,,
,,153,,,,,,,,13,0.8770879507064819,0.6907241344451904,0.8028571605682373,0.8064516186714172,0.7369022965431213,0.7547601461410522,,,,,,,,,
5e-05,5e-05,154,,,,,,,,,,,,,,,,,,,,,,,
,,164,0.3546081781387329,0.8277925252914429,0.4344731569290161,0.8732425570487976,0.6656578779220581,0.6825765371322632,0.6734541654586792,14,,,,,,,,,,,,,,,
,,164,,,,,,,,14,0.8687067031860352,0.6798158884048462,0.8114285469055176,0.8050310611724854,0.7422417402267456,0.7608175873756409,,,,,,,,,
5e-05,5e-05,165,,,,,,,,,,,,,,,,,,,,,,,
,,175,0.3638637959957123,0.8277665972709656,0.43456554412841797,0.8654318451881409,0.6823654174804688,0.6733664274215698,0.677674412727356,15,,,,,,,,,,,,,,,
,,175,,,,,,,,15,0.8557088375091553,0.6929280161857605,0.7614285945892334,0.7659958600997925,0.699032723903656,0.7107516527175903,,,,,,,,,
5e-05,5e-05,176,,,,,,,,,,,,,,,,,,,,,,,
,,186,0.3611454367637634,0.8277950286865234,0.4346282482147217,0.8685561418533325,0.678216814994812,0.6773187518119812,0.6777659058570862,16,,,,,,,,,,,,,,,
,,186,,,,,,,,16,0.8573423624038696,0.6460572481155396,0.7785714268684387,0.7700799107551575,0.709227442741394,0.7241144180297852,,,,,,,,,
5e-05,5e-05,187,,,,,,,,,,,,,,,,,,,,,,,
,,197,0.3617922365665436,0.8278201818466187,0.4347577393054962,0.8692256212234497,0.6785950064659119,0.6785950064659119,0.6785950064659119,17,,,,,,,,,,,,,,,
,,197,,,,,,,,17,0.8676649928092957,0.6926062107086182,0.795714259147644,0.7972477078437805,0.729306697845459,0.7462732791900635,,,,,,,,,
5e-05,5e-05,198,,,,,,,,,,,,,,,,,,,,,,,
,,199,,,,,,,,18,,,,,,,0.568025529384613,,,,,,,,
,,208,0.35969793796539307,0.8283869028091431,0.4353332221508026,0.8765900731086731,0.6667041182518005,0.6899610757827759,0.6771292686462402,18,,,,,,,,,,,,,,,
,,208,,,,,,,,18,0.8732643127441406,0.7158491611480713,0.7928571701049805,0.7815625667572021,0.7220324277877808,0.738563060760498,,,,,,,,,
5e-05,5e-05,209,,,,,,,,,,,,,,,,,,,,,,,
,,219,0.3694291412830353,0.8280074596405029,0.43541884422302246,0.8629770278930664,0.6852025985717773,0.6704524159431458,0.6773067712783813,19,,,,,,,,,,,,,,,
,,219,,,,,,,,19,0.8385913372039795,0.6550151109695435,0.7628571391105652,0.7530630826950073,0.6940251588821411,0.706835150718689,,,,,,,,,
5e-05,5e-05,220,,,,,,,,,,,,,,,,,,,,,,,
,,230,0.3628811836242676,0.8283541202545166,0.4358295798301697,0.870118260383606,0.6723408699035645,0.6784044504165649,0.6752866506576538,20,,,,,,,,,,,,,,,
,,230,,,,,,,,20,0.8750754594802856,0.7076643705368042,0.7742857336997986,0.7881029844284058,0.7144745588302612,0.7275190949440002,,,,,,,,,
5e-05,5e-05,231,,,,,,,,,,,,,,,,,,,,,,,
,,241,0.3750442564487457,0.8280909657478333,0.4356510639190674,0.8611916899681091,0.690952479839325,0.669647753238678,0.6792188882827759,21,,,,,,,,,,,,,,,
,,241,,,,,,,,21,0.8653566241264343,0.6929238438606262,0.7857142686843872,0.7746670246124268,0.7151187658309937,0.7308685779571533,,,,,,,,,
5e-05,5e-05,242,,,,,,,,,,,,,,,,,,,,,,,
,,249,,,,,,,,22,,,,,,,0.6484530568122864,,,,,,,,
,,252,0.371463805437088,0.8282293081283569,0.43600183725357056,0.8640928268432617,0.6799193620681763,0.6705034971237183,0.6749973893165588,22,,,,,,,,,,,,,,,
,,252,,,,,,,,22,0.8711097836494446,0.6624282002449036,0.7871428728103638,0.8032850027084351,0.726934552192688,0.7419281601905823,,,,,,,,,
5e-05,5e-05,253,,,,,,,,,,,,,,,,,,,,,,,
,,263,0.3675044775009155,0.8284324407577515,0.4360727071762085,0.8774827122688293,0.6638292074203491,0.6913021206855774,0.6758890151977539,23,,,,,,,,,,,,,,,
,,263,,,,,,,,23,0.8759632706642151,0.679969847202301,0.8257142901420593,0.8026635050773621,0.7534170150756836,0.7710676789283752,,,,,,,,,
5e-06,5e-06,264,,,,,,,,,,,,,,,,,,,,,,,
